cancer_type,n_samples,optimal_k,expected_range,silhouette,davies_bouldin,calinski_harabasz,balance_ratio,overall_silhouette,min_cluster_silhouette,negative_ratio,de_genes,cluster_sizes
BRCA,1215,7,"(4, 8)",0.4636550843715668,0.7270144717519317,7387.776479743323,0.26047904191616766,0.4636550843715668,0.24223783612251282,0.07242798353909465,"[{'gene': '653553', 'p_value': 0.0, 'gene_index': 22}, {'gene': '8225', 'p_value': 0.0, 'gene_index': 27}, {'gene': '90288', 'p_value': 0.0, 'gene_index': 28}, {'gene': 'A1BG', 'p_value': 0.0, 'gene_index': 29}, {'gene': 'A2ML1', 'p_value': 0.0, 'gene_index': 34}, {'gene': 'AAAS', 'p_value': 0.0, 'gene_index': 38}, {'gene': 'AADAT', 'p_value': 0.0, 'gene_index': 45}, {'gene': 'AAGAB', 'p_value': 0.0, 'gene_index': 46}, {'gene': 'AAMP', 'p_value': 0.0, 'gene_index': 48}, {'gene': 'ABAT', 'p_value': 0.0, 'gene_index': 58}]","[100, 87, 223, 108, 184, 179, 334]"
KIRC,606,5,"(3, 5)",0.47991660237312317,0.7679113048662739,37481.566951220186,0.22439024390243903,0.47991660237312317,0.39870738983154297,0.026402640264026403,"[{'gene': 'ABLIM3', 'p_value': 0.0, 'gene_index': 132}, {'gene': 'ALS2CL', 'p_value': 0.0, 'gene_index': 598}, {'gene': 'ANGPT2', 'p_value': 0.0, 'gene_index': 657}, {'gene': 'ANKRD9', 'p_value': 0.0, 'gene_index': 738}, {'gene': 'ARHGAP42', 'p_value': 0.0, 'gene_index': 949}, {'gene': 'BIK', 'p_value': 0.0, 'gene_index': 1515}, {'gene': 'BLCAP', 'p_value': 0.0, 'gene_index': 1526}, {'gene': 'BNIP3L', 'p_value': 0.0, 'gene_index': 1565}, {'gene': 'C3orf75', 'p_value': 0.0, 'gene_index': 2501}, {'gene': 'C6orf136', 'p_value': 0.0, 'gene_index': 2605}]","[140, 205, 46, 87, 128]"
LUAD,576,6,"(3, 6)",0.39219334721565247,0.9021122633867099,6731.797397138046,0.47586206896551725,0.39219334721565247,0.23231104016304016,0.0763888888888889,"[{'gene': 'ATP1B3', 'p_value': 2.7143057086714904e-35, 'gene_index': 1206}, {'gene': 'CDK6', 'p_value': 5.140598793961086e-33, 'gene_index': 3487}, {'gene': 'CCDC50', 'p_value': 4.4600374498764945e-32, 'gene_index': 3151}, {'gene': 'C16orf58', 'p_value': 2.211991666834983e-31, 'gene_index': 1971}, {'gene': 'B3GALNT1', 'p_value': 2.3032481144757593e-31, 'gene_index': 1323}, {'gene': 'ACAD8', 'p_value': 2.754223700982288e-31, 'gene_index': 146}, {'gene': 'CCNJL', 'p_value': 3.0141849819632473e-31, 'gene_index': 3264}, {'gene': 'CD46', 'p_value': 2.2815363456208172e-27, 'gene_index': 3354}, {'gene': 'CCDC64B', 'p_value': 6.206811220168573e-26, 'gene_index': 3166}, {'gene': 'CCL4', 'p_value': 7.583241981875196e-25, 'gene_index': 3238}]","[106, 84, 92, 69, 80, 145]"
THCA,572,2,"(2, 4)",0.9222578406333923,0.11217521451721152,36744.89933428981,0.7987421383647799,0.9222578406333923,0.9162142872810364,0.0,"[{'gene': 'APLP2', 'p_value': 1.482012653199483e-34, 'gene_index': 838}, {'gene': 'C1orf115', 'p_value': 1.816876719162016e-29, 'gene_index': 2146}, {'gene': 'CHPT1', 'p_value': 1.876463396730622e-28, 'gene_index': 3724}, {'gene': 'ALDH3A2', 'p_value': 1.4539446040321892e-26, 'gene_index': 543}, {'gene': 'ADAMTS9', 'p_value': 3.6563436716438385e-25, 'gene_index': 313}, {'gene': 'C7orf10', 'p_value': 5.416708968357486e-25, 'gene_index': 2664}, {'gene': 'CDC14A', 'p_value': 2.043494279522776e-24, 'gene_index': 3393}, {'gene': 'C6orf174', 'p_value': 4.754852795332407e-24, 'gene_index': 2624}, {'gene': 'CC2D2B', 'p_value': 1.423943158844412e-23, 'gene_index': 3055}, {'gene': 'CAMK2B', 'p_value': 3.110667623468213e-22, 'gene_index': 2921}]","[254, 318]"
HNSC,566,5,"(3, 5)",0.40738606452941895,0.8934045108753912,2902.7750728825777,0.3684210526315789,0.40738606452941895,0.28555360436439514,0.05123674911660778,"[{'gene': 'CHRND', 'p_value': 1.066091056076749e-39, 'gene_index': 3748}, {'gene': 'ASB5', 'p_value': 6.481917642802554e-39, 'gene_index': 1096}, {'gene': 'CAV3', 'p_value': 1.424113845401568e-36, 'gene_index': 3021}, {'gene': 'C20orf166', 'p_value': 3.3540873784311216e-36, 'gene_index': 2292}, {'gene': 'CASQ2', 'p_value': 5.5988173887672046e-36, 'gene_index': 3006}, {'gene': 'CSRP3', 'p_value': 1.6920275472447542e-35, 'gene_index': 4344}, {'gene': 'COX6A2', 'p_value': 2.162533797443575e-35, 'gene_index': 4140}, {'gene': 'C10orf71', 'p_value': 4.002586102184662e-35, 'gene_index': 1720}, {'gene': 'CKM', 'p_value': 4.832149627318295e-35, 'gene_index': 3805}, {'gene': 'BEST3', 'p_value': 6.537899745233923e-33, 'gene_index': 1488}]","[72, 190, 70, 102, 132]"
UCEC,555,5,"(3, 8)",0.46444761753082275,0.8241394057972524,11503.047422514008,0.6240601503759399,0.46444761753082275,0.2483837902545929,0.04144144144144144,"[{'gene': 'ARFIP1', 'p_value': 0.0, 'gene_index': 916}, {'gene': 'C9orf152', 'p_value': 4.318801867049086e-41, 'gene_index': 2775}, {'gene': 'BCAM', 'p_value': 4.639923423133761e-40, 'gene_index': 1420}, {'gene': 'C13orf31', 'p_value': 2.331676566728636e-39, 'gene_index': 1847}, {'gene': 'CDC42SE2', 'p_value': 7.465909424451441e-39, 'gene_index': 3419}, {'gene': 'C5orf43', 'p_value': 3.182064292841463e-37, 'gene_index': 2568}, {'gene': 'B4GALT1', 'p_value': 3.458465594462816e-37, 'gene_index': 1348}, {'gene': 'AKT2', 'p_value': 9.074762219754623e-37, 'gene_index': 525}, {'gene': 'BET1', 'p_value': 1.1209854100143322e-36, 'gene_index': 1490}, {'gene': 'CEACAM8', 'p_value': 4.578298307570782e-36, 'gene_index': 3543}]","[83, 92, 115, 132, 133]"
LUSC,552,5,"(3, 5)",0.42259958386421204,0.7506285386604868,28515.68779412161,0.1875,0.42259958386421204,0.27826011180877686,0.07246376811594203,"[{'gene': 'C3orf21', 'p_value': 5.605193857299268e-45, 'gene_index': 2461}, {'gene': 'ABCC5', 'p_value': 1.0930128021733573e-43, 'gene_index': 90}, {'gene': 'CYP2S1', 'p_value': 8.519894663094888e-42, 'gene_index': 4580}, {'gene': 'ALDH3B1', 'p_value': 1.099598904955684e-41, 'gene_index': 544}, {'gene': 'ABCF3', 'p_value': 8.129675079734356e-40, 'gene_index': 103}, {'gene': 'DCDC2', 'p_value': 8.13931601316891e-40, 'gene_index': 4697}, {'gene': 'DDR1', 'p_value': 2.294798595043e-39, 'gene_index': 4748}, {'gene': 'ALG1L', 'p_value': 7.233114513170088e-39, 'gene_index': 562}, {'gene': 'CLCA2', 'p_value': 1.0737188841374546e-38, 'gene_index': 3815}, {'gene': 'CSF2RA', 'p_value': 1.9111426936893655e-38, 'gene_index': 4305}]","[87, 208, 105, 39, 113]"
PRAD,550,4,"(3, 6)",0.3891335129737854,0.9507044652388734,9761.477375159313,0.3699421965317919,0.3891335129737854,0.3553466498851776,0.06,"[{'gene': 'ADA', 'p_value': 2.191630798204014e-42, 'gene_index': 266}, {'gene': 'ANP32E', 'p_value': 9.694182776199084e-42, 'gene_index': 760}, {'gene': 'ALDH3B1', 'p_value': 8.55730933209236e-41, 'gene_index': 544}, {'gene': 'CERK', 'p_value': 1.760465273715911e-39, 'gene_index': 3616}, {'gene': 'CANT1', 'p_value': 2.929651259111501e-39, 'gene_index': 2938}, {'gene': 'C9orf152', 'p_value': 2.5158414887273238e-37, 'gene_index': 2775}, {'gene': 'C8orf73', 'p_value': 2.7062937790965194e-36, 'gene_index': 2737}, {'gene': 'CCDC109B', 'p_value': 1.3863756266780317e-35, 'gene_index': 3071}, {'gene': 'C10orf54', 'p_value': 6.780739291616294e-35, 'gene_index': 1713}, {'gene': 'CORO1C', 'p_value': 9.879297630579467e-35, 'gene_index': 4120}]","[64, 173, 145, 168]"
LGG,529,7,"(3, 8)",0.4215925335884094,0.8781429953583658,15265.128253652254,0.5882352941176471,0.4215925335884094,0.31459423899650574,0.06427221172022685,"[{'gene': '136542', 'p_value': 0.0, 'gene_index': 5}, {'gene': '317712', 'p_value': 0.0, 'gene_index': 9}, {'gene': '728045', 'p_value': 0.0, 'gene_index': 23}, {'gene': 'ALDH5A1', 'p_value': 0.0, 'gene_index': 547}, {'gene': 'ARPP21', 'p_value': 0.0, 'gene_index': 1047}, {'gene': 'BCL2L12', 'p_value': 0.0, 'gene_index': 1446}, {'gene': 'C20orf72', 'p_value': 0.0, 'gene_index': 2321}, {'gene': 'CALU', 'p_value': 0.0, 'gene_index': 2915}, {'gene': 'CAPZA1', 'p_value': 0.0, 'gene_index': 2963}, {'gene': 'CASKIN1', 'p_value': 0.0, 'gene_index': 2990}]","[85, 82, 60, 63, 74, 63, 102]"
COAD,492,6,"(4, 6)",0.4509918689727783,0.7264197633686639,22034.267725222006,0.20348837209302326,0.4509918689727783,0.32689130306243896,0.07723577235772358,"[{'gene': 'AADACL2', 'p_value': 0.0, 'gene_index': 42}, {'gene': 'ASXL1', 'p_value': 7.20267410662956e-41, 'gene_index': 1138}, {'gene': 'ABHD3', 'p_value': 2.1252726641225795e-34, 'gene_index': 119}, {'gene': 'ADNP', 'p_value': 3.488100957860607e-33, 'gene_index': 364}, {'gene': 'CAV3', 'p_value': 1.817678081872836e-32, 'gene_index': 3021}, {'gene': 'C10orf99', 'p_value': 3.3904339811649803e-32, 'gene_index': 1735}, {'gene': 'ATP9B', 'p_value': 5.210168531629862e-31, 'gene_index': 1273}, {'gene': 'ATP8B1', 'p_value': 6.234510295659575e-31, 'gene_index': 1267}, {'gene': 'AFG3L2', 'p_value': 1.465709235870812e-30, 'gene_index': 402}, {'gene': 'ACADS', 'p_value': 2.0717568834937494e-30, 'gene_index': 150}]","[62, 172, 35, 54, 74, 95]"
SKCM,473,6,"(3, 8)",0.4534043073654175,0.8084005877095585,3411.328551971679,0.3221476510067114,0.4534043073654175,0.22802923619747162,0.07188160676532769,"[{'gene': 'C1orf85', 'p_value': 1.2963669681273634e-34, 'gene_index': 2238}, {'gene': 'B3GNT5', 'p_value': 2.886809589602495e-31, 'gene_index': 1338}, {'gene': 'BZW1', 'p_value': 4.472914461517295e-31, 'gene_index': 1675}, {'gene': 'C6orf204', 'p_value': 6.518945133925784e-31, 'gene_index': 2633}, {'gene': 'CABLES1', 'p_value': 7.860608776773531e-31, 'gene_index': 2849}, {'gene': 'CASC4', 'p_value': 4.631847974556381e-30, 'gene_index': 2986}, {'gene': 'CEP135', 'p_value': 9.77393798595724e-30, 'gene_index': 3595}, {'gene': 'C10orf118', 'p_value': 1.8485301301144048e-29, 'gene_index': 1687}, {'gene': 'CA14', 'p_value': 1.858475752717842e-29, 'gene_index': 2833}, {'gene': 'C6orf182', 'p_value': 7.152467469951169e-29, 'gene_index': 2626}]","[48, 149, 61, 91, 62, 62]"
STAD,450,4,"(3, 8)",0.572627604007721,0.559087629642352,6223.7663892424525,0.5214285714285715,0.572627604007721,0.5128216743469238,0.03777777777777778,"[{'gene': 'ACAP2', 'p_value': 1.2918413794030972e-23, 'gene_index': 155}, {'gene': '10357', 'p_value': 2.2967253697047276e-17, 'gene_index': 3}, {'gene': 'ACOT8', 'p_value': 1.8001559241192545e-14, 'gene_index': 192}, {'gene': '645851', 'p_value': 2.4522720212436476e-14, 'gene_index': 20}, {'gene': 'ACBD4', 'p_value': 1.2246600218299153e-13, 'gene_index': 160}, {'gene': 'ACOT1', 'p_value': 2.604475066603912e-13, 'gene_index': 187}, {'gene': '391714', 'p_value': 2.788872648443186e-12, 'gene_index': 14}, {'gene': 'ACER3', 'p_value': 7.483136506281074e-12, 'gene_index': 176}, {'gene': '155060', 'p_value': 2.1084337401000575e-11, 'gene_index': 6}, {'gene': '100133144', 'p_value': 6.7100063283476175e-09, 'gene_index': 1}]","[73, 140, 113, 124]"
BLCA,427,6,"(3, 8)",0.4444325566291809,0.7981538714958015,41049.259464583774,0.4479166666666667,0.4444325566291809,0.23988819122314453,0.06088992974238876,"[{'gene': 'ACER2', 'p_value': 0.0, 'gene_index': 175}, {'gene': 'BCAT2', 'p_value': 0.0, 'gene_index': 1432}, {'gene': 'C17orf28', 'p_value': 0.0, 'gene_index': 2006}, {'gene': 'ARHGEF10L', 'p_value': 1.401298464324817e-45, 'gene_index': 959}, {'gene': 'CAPN5', 'p_value': 2.802596928649634e-45, 'gene_index': 2951}, {'gene': 'CORO1C', 'p_value': 7.006492321624085e-45, 'gene_index': 4120}, {'gene': 'CYB5A', 'p_value': 1.401298464324817e-44, 'gene_index': 4522}, {'gene': 'BCAS1', 'p_value': 4.624284932271896e-44, 'gene_index': 1427}, {'gene': 'AGAP11', 'p_value': 9.388699710976274e-44, 'gene_index': 409}, {'gene': 'CYP2J2', 'p_value': 1.4573504028978098e-43, 'gene_index': 4578}]","[75, 50, 88, 75, 43, 96]"
LIHC,423,6,"(3, 8)",0.38003575801849365,0.8776744445473765,24024.36107081948,0.32075471698113206,0.38003575801849365,0.2556759715080261,0.08983451536643026,"[{'gene': 'ANK3', 'p_value': 1.7913465676040352e-32, 'gene_index': 668}, {'gene': 'CCBE1', 'p_value': 4.123375280053816e-32, 'gene_index': 3057}, {'gene': 'ADAMTS2', 'p_value': 9.254029318338548e-32, 'gene_index': 306}, {'gene': 'ABR', 'p_value': 2.242688545120266e-29, 'gene_index': 135}, {'gene': 'CFTR', 'p_value': 6.944444767392365e-29, 'gene_index': 3645}, {'gene': 'AKT3', 'p_value': 1.8321364338718483e-28, 'gene_index': 526}, {'gene': 'CAP2', 'p_value': 2.2424245121619526e-28, 'gene_index': 2941}, {'gene': 'CCDC8', 'p_value': 1.036975185875514e-27, 'gene_index': 3195}, {'gene': 'C8orf79', 'p_value': 1.3472437517707615e-27, 'gene_index': 2742}, {'gene': 'CCT3', 'p_value': 4.5112532349719626e-27, 'gene_index': 3289}]","[59, 106, 106, 63, 34, 55]"
