rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,ZNF275,20058,0.9768975514790865,0.06239950284361839,0.06310181319713593,0.5953922768433889,0.05488998289099434,4,4.499360084533691,2.459263801574707,0.0,3.362408399581909,ZNF275,zinc finger protein 275,"This gene encodes a zinc finger protein that appears to be conserved in eutheria. Its function has not yet been established. [provided by RefSeq, Jul 2010].",False,0.4
2,TMEM125,18161,0.9747392664358193,0.0148541908711195,0.015460572205483913,0.5068990290164948,0.05625775208623818,4,2.1750833988189697,1.6667945384979248,7.283204423440125e-43,3.0318872928619385,TMEM125,transmembrane protein 125,"Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,0.0
3,NR5A1,12094,0.9710763850220064,0.08646131306886673,0.08731146901845932,0.7094168663024902,0.051470191571202806,4,5.471667289733887,2.6941373348236084,0.0,5.8108391761779785,NR5A1,nuclear receptor subfamily 5 group A member 1,The protein encoded by this gene is a transcriptional activator involved in sex determination. The encoded protein binds DNA as a monomer. Defects in this gene are a cause of XY sex reversal with or without adrenal failure as well as adrenocortical insufficiency without ovarian defect. [provided by ,False,0.4
4,STAR,17352,0.9693115991998285,0.09101282805204391,0.09065594524145126,0.7204688191413879,0.05045157685258794,4,5.605209827423096,2.723604440689087,0.0,6.008854389190674,GUCY2C,guanylate cyclase 2C,"This gene encodes a transmembrane protein that functions as a receptor for endogenous peptides guanylin and uroguanylin, and the heat-stable E. coli enterotoxin. The encoded protein activates the cystic fibrosis transmembrane conductance regulator. Mutations in this gene are associated with familial",False,0.4
5,CYP11A1,4548,0.9658469273829737,0.0458199568092823,0.04663017392158508,0.6310000121593475,0.048644458970470206,4,4.246802806854248,2.3914384841918945,0.0,4.683197498321533,CD163L1,CD163 molecule like 1,"This gene encodes a member of the scavenger receptor cysteine-rich (SRCR) superfamily. Members of this family are secreted or membrane-anchored proteins mainly found in cells associated with the immune system. The SRCR family is defined by a 100-110 amino acid SRCR domain, which may mediate protein-",False,0.2
6,C4orf49,2539,0.9624004350494586,0.05533428490161896,0.055778492242097855,0.6268279155095419,0.046734619480307105,4,4.372220516204834,2.42551851272583,0.0,4.432616710662842,STAR,steroidogenic acute regulatory protein,The protein encoded by this gene plays a key role in the acute regulation of steroid hormone synthesis by enhancing the conversion of cholesterol into pregnenolone. This protein permits the cleavage of cholesterol into pregnenolone by mediating the transport of cholesterol from the outer mitochondri,False,0.4
7,FDXR,6345,0.9619968211839227,0.039873357862234116,0.039190128445625305,0.6087261239687601,0.04610282616921557,4,4.2456793785095215,2.391129732131958,0.0,4.016104221343994,CYP11A1,cytochrome P450 family 11 subfamily A member 1,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the mitochondrial inner membrane and ",False,0.4
8,LONP1,10198,0.9605282620821118,0.021275898441672325,0.021227357909083366,0.5859415233135223,0.04546146391916128,4,3.7986719608306885,2.2626352310180664,0.0,3.779573678970337,MGARP,mitochondria localized glutamic acid rich protein,"Predicted to be involved in several processes, including axonal transport; cellular response to hormone stimulus; and protein targeting to mitochondrion. Located in mitochondrion. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
9,GSTA3,7491,0.9598228025199915,0.08425384014844894,0.08366786688566208,0.6550334393978119,0.04478254310855445,4,5.264578819274902,2.6472175121307373,0.0,4.3864240646362305,FDXR,ferredoxin reductase,"This gene encodes a mitochondrial flavoprotein that initiates electron transport for cytochromes P450 receiving electrons from NADPH. Multiple alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Apr 2012].",False,0.2
10,CYP11B1,4549,0.9585473676027082,0.18533793091773987,0.18301258981227875,0.7604166467984518,0.0446849851109965,4,8.667865753173828,3.2731974124908447,0.0,4.1446332931518555,LONP1,"lon peptidase 1, mitochondrial","This gene encodes a mitochondrial matrix protein that belongs to the Lon family of ATP-dependent proteases. This protein mediates the selective degradation of misfolded, unassembled or oxidatively damaged polypeptides in the mitochondrial matrix. It may also have a chaperone function in the assembly",False,0.2
