rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,SNCG,16584,0.9994788291216676,0.04137902706861496,0.03963319957256317,0.45152083535989124,0.05684869871596443,4,1.7712395191192627,1.4705314636230469,0.0,1.7743855714797974,SNCG,synuclein gamma,"This gene encodes a member of the synuclein family of proteins which are believed to be involved in the pathogenesis of neurodegenerative diseases. Mutations in this gene have also been associated with breast tumor development. [provided by RefSeq, Jan 2010].",False,0.2
2,GJB7,7046,0.999186573885428,0.08241986483335495,0.08102209120988846,0.4262007921934128,0.041799258997976985,4,1.4062137603759766,1.266764760017395,0.0,1.3798099756240845,GJB7,gap junction protein beta 7,"Connexins, such as GJB7, are involved in the formation of gap junctions, intercellular conduits that directly connect the cytoplasms of contacting cells. Each gap junction channel is formed by docking of 2 hemichannels, each of which contains 6 connexin subunits (Sohl et al., 2003 [PubMed 12881038])",False,0.2
3,GJB6,7045,0.999108639155764,0.04416312649846077,0.042908091098070145,0.43481552600860596,0.055385981351622204,4,1.4065449237823486,1.2669633626937866,0.0,1.63792085647583,GJB6,gap junction protein beta 6,"Gap junctions allow the transport of ions and metabolites between the cytoplasm of adjacent cells. They are formed by two hemichannels, made up of six connexin proteins assembled in groups. Each connexin protein has four transmembrane segments, two extracellular loops, a cytoplasmic loop formed betw",False,0.2
4,NIPAL4,11880,0.9990842845527441,0.05745707452297211,0.05540190264582634,0.45856498181819916,0.05524913421369404,4,1.7488293647766113,1.4588173627853394,0.0,2.008120059967041,NIPAL4,NIPA like domain containing 4,"This gene likely encodes a membrane receptor. Mutations in this gene have been associated with autosomal recessive congenital ichthyosis. [provided by RefSeq, Feb 2010].",False,0.2
5,UPK3A,19211,0.9988650931255643,0.09097791463136673,0.08449989557266235,0.43354404469331104,0.04422988166923991,4,1.685486912727356,1.425183653831482,0.0,1.3208345174789429,UPK3A,uroplakin 3A,"This gene encodes a member of the uroplakin family, a group of transmembrane proteins that form complexes on the apical surface of the bladder epithelium. Mutations in this gene may be associated with renal adysplasia. Alternatively spliced transcript variants have been described.[provided by RefSeq",False,0.4
6,CNGB3,3965,0.9988358676019404,0.06527254730463028,0.06387043744325638,0.4422241101662318,0.039573653496174144,4,1.6230955123901367,1.391270399093628,0.0,1.6436277627944946,CNGB3,cyclic nucleotide gated channel subunit beta 3,"This gene encodes the beta subunit of a cyclic nucleotide-gated ion channel. The encoded beta subunit appears to play a role in modulation of channel function in cone photoreceptors. This heterotetrameric channel is necessary for sensory transduction, and mutations in this gene have been associated ",False,0.4
7,C10orf116,1685,0.9987774165546924,0.048596061766147614,0.04562784731388092,0.42338419953982037,0.04986098865944677,4,1.3447259664535522,1.2294193506240845,0.0,1.3568000793457031,ADIRF,adipogenesis regulatory factor,"APM2 gene is exclusively expressed in adipose tissue. Its function is currently unknown. [provided by RefSeq, Jul 2008].",False,0.2
8,UPK1B,19209,0.9987628037928804,0.09084790199995041,0.08832067251205444,0.44622748096783954,0.05216863742490485,4,1.7134326696395874,1.4401191473007202,0.0,1.6733916997909546,UPK1B,uroplakin 1B,"The protein encoded by this gene is a member of the transmembrane 4 superfamily, also known as the tetraspanin family. Most of these members are cell-surface proteins that are characterized by the presence of four hydrophobic domains. The proteins mediate signal transduction events that play a role ",False,0.2
9,UPK2,19210,0.9987433201104645,0.14325018227100372,0.13666363060474396,0.5110524445772171,0.10926273450495261,4,3.052173376083374,2.0186960697174072,0.0,2.279400110244751,UPK2,uroplakin 2,This gene encodes one of the proteins of the highly conserved urothelium-specific integral membrane proteins of the asymmetric unit membrane which forms urothelium apical plaques in mammals. The asymmetric unit membrane is believed to strengthen the urothelium by preventing cell rupture during bladd,False,0.2
10,UPK1A,19208,0.9987384491898605,0.15830183029174805,0.15168975293636322,0.47984203696250916,0.07739177040077161,4,2.5589542388916016,1.8314533233642578,0.0,1.8363066911697388,UPK1A,uroplakin 1A,"The protein encoded by this gene is a member of the transmembrane 4 superfamily, also known as the tetraspanin family. Most of these members are cell-surface proteins that are characterized by the presence of four hydrophobic domains. The proteins mediate signal transduction events that play a role ",False,0.2
