rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,ESR1,5727,1.1486108339024477,0.10529602319002151,0.09460659325122833,0.4520750194787979,0.1792172106581187,4,1.68153977394104,1.4230616092681885,0.0,1.8807108402252197,ESR1,estrogen receptor 1,"This gene encodes an estrogen receptor and ligand-activated transcription factor. The canonical protein contains an N-terminal ligand-independent transactivation domain, a central DNA binding domain, a hinge domain, and a C-terminal ligand-dependent transactivation domain. The protein localizes to t",True,1.0
2,GATA3,6876,1.1475689439852532,0.12537992000579834,0.11853894591331482,0.4890746821959813,0.2204239169769593,4,1.9674931764602661,1.569244623184204,0.0,2.704747200012207,GATA3,GATA binding protein 3,This gene encodes a protein which belongs to the GATA family of transcription factors. The protein contains two GATA-type zinc fingers and is an important regulator of T-cell development and plays an important role in endothelial cell biology. Defects in this gene are the cause of hypoparathyroidism,True,1.0
3,ABCC11,83,0.9992888633819967,0.07865282893180847,0.07298313081264496,0.44980454444885254,0.16294645151364917,4,1.7604933977127075,1.4649261236190796,0.0,1.7336429357528687,ABCC11,ATP binding cassette subfamily C member 11,"The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This A",False,0.4
4,TBC1D9,17739,0.9991037683990449,0.11677700281143188,0.1050606444478035,0.4625181307395299,0.24084271912260946,4,1.894343376159668,1.5332361459732056,0.0,1.9812005758285522,TBC1D9,TBC1 domain family member 9,"Predicted to enable GTPase activator activity. Predicted to be involved in activation of GTPase activity and intracellular protein transport. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
5,EFHD1,5407,0.999020962748777,0.09053751081228256,0.0862874910235405,0.4618864506483078,0.1891184463377149,4,1.6340242624282837,1.397268533706665,0.0,2.222569227218628,EFHD1,EF-hand domain family member D1,"This gene encodes a member of the EF-hand super family of calcium binding proteins, which are involved in a variety of cellular processes including mitosis, synaptic transmission, and cytoskeletal rearrangement. The protein encoded by this gene is composed of an N-terminal disordered region, proline",False,0.2
6,ANKRD30B,707,0.9989722535427371,0.13915592432022095,0.13041190803050995,0.4585645894209544,0.16741198498484589,4,1.969033122062683,1.569993257522583,0.0,1.7879045009613037,ANKRD30B,ankyrin repeat domain 30B,,False,0.0
7,VTCN1,19447,0.9988845769718653,0.07164838910102844,0.06651894748210907,0.4337821106115977,0.10708873049526257,4,1.3746188879013062,1.247696042060852,0.0,1.6388444900512695,VTCN1,V-set domain containing T cell activation inhibitor 1,This gene encodes a protein belonging to the B7 costimulatory protein family. Proteins in this family are present on the surface of antigen-presenting cells and interact with ligand bound to receptors on the surface of T cells. Studies have shown that high levels of the encoded protein has been corr,False,0.4
8,XBP1,19653,0.9988066422422013,0.07889299094676971,0.0670761987566948,0.45904745658238727,0.19943289354672178,4,1.773749828338623,1.4718376398086548,0.0,1.9976738691329956,XBP1,X-box binding protein 1,"This gene encodes a transcription factor that regulates MHC class II genes by binding to a promoter element referred to as an X box. This gene product is a bZIP protein, which was also identified as a cellular transcription factor that binds to an enhancer in the promoter of the T cell leukemia viru",False,0.4
9,LMX1B,9652,0.9987287075125374,0.20713692903518677,0.19413219392299652,0.5082843005657196,0.2650423510645712,4,2.09773325920105,1.6312129497528076,0.0,3.1507956981658936,XBP1P1,X-box binding protein 1 pseudogene 1,,False,0.0
10,C6orf126,2599,0.9987043529095174,0.12167751044034958,0.10906364768743515,0.441649670402209,0.12425015244312387,4,1.7095059156417847,1.4380298852920532,0.0,1.5399842262268066,LMX1B,LIM homeobox transcription factor 1 beta,"This gene encodes a member of LIM-homeodomain family of proteins containing two N-terminal zinc-binding LIM domains, 1 homeodomain, and a C-terminal glutamine-rich domain. It functions as a transcription factor, and is essential for the normal development of dorsal limb structures, the glomerular ba",False,0.2
