rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,CDKN2A,3500,1.0981782950965708,0.04386036470532417,0.04281846061348915,0.4612698207298915,0.06930353829078073,4,1.7200847864151,1.443651556968689,0.0,2.1180098056793213,CDKN2A,cyclin dependent kinase inhibitor 2A,"This gene generates several transcript variants which differ in their first exons. At least three alternatively spliced variants encoding distinct proteins have been reported, two of which encode structurally related isoforms known to function as inhibitors of CDK4 kinase. The remaining transcript i",True,1.0
2,C19orf57,2115,0.9990209625972012,0.03753532096743584,0.03463240712881088,0.4407987842957179,0.041029241215316814,4,1.5777521133422852,1.366113543510437,0.0,1.6462113857269287,BRME1,break repair meiotic recombinase recruitment factor 1,"Predicted to be involved in meiosis I and spermatogenesis. Predicted to be located in chromosome. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
3,ZNF773,20404,0.9990112207559931,0.08739259093999863,0.08490408211946487,0.45356472333272296,0.04087573483463003,4,2.008171319961548,1.5888867378234863,0.0,1.5987703800201416,ZNF773,zinc finger protein 773,"Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to be involved in regulation of transcription by RNA polymerase II. Predicted to be active in nucleus. [provided by ",False,0.4
4,LY6K,10415,0.9989722533911612,0.03707992285490036,0.035379257053136826,0.45404604574044544,0.05829965907426882,4,1.6175379753112793,1.388210415840149,0.0,2.003843307495117,LY6K,lymphocyte antigen 6 family member K,"Predicted to be involved in binding activity of sperm to zona pellucida. Predicted to act upstream of or within flagellated sperm motility. Predicted to be located in cell surface; cytoplasm; and plasma membrane. Predicted to be active in acrosomal vesicle. [provided by Alliance of Genome Resources,",False,0.2
5,LY6D,10406,0.9989576406293492,0.03679979220032692,0.03635837137699127,0.46550115446249646,0.04532080814497741,4,1.8586724996566772,1.5153454542160034,0.0,2.1063621044158936,LY6D,lymphocyte antigen 6 family member D,"Predicted to be involved in lymphocyte differentiation. Predicted to act upstream of or within response to stilbenoid. Predicted to be located in extracellular region and plasma membrane. Predicted to be active in cell surface. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
6,MCM2,10715,0.9988602222172693,0.033095113933086395,0.03278752416372299,0.45410123964150745,0.05370445824172543,4,1.6130512952804565,1.3857355117797852,0.0,2.00998592376709,MCM7,minichromosome maintenance complex component 7,The protein encoded by this gene is one of the highly conserved mini-chromosome maintenance proteins (MCM) that are essential for the initiation of eukaryotic genome replication. The hexameric protein complex formed by the MCM proteins is a key component of the pre-replication complex (pre_RC) and m,False,0.4
7,SYCP2,17536,0.9988504803760614,0.06326918303966522,0.06048203632235527,0.4421721249818802,0.04186993450676901,4,1.648140549659729,1.4049795866012573,0.0,1.617023229598999,MCM2,minichromosome maintenance complex component 2,The protein encoded by this gene is one of the highly conserved mini-chromosome maintenance proteins (MCM) that are involved in the initiation of eukaryotic genome replication. The hexameric protein complex formed by MCM proteins is a key component of the pre-replication complex (pre_RC) and may be ,False,0.4
8,HMSD,7957,0.9987092236785455,0.08065953105688095,0.07938195765018463,0.45037610332171124,0.04470422274588026,4,1.8691843748092651,1.5206407308578491,0.0,1.6420987844467163,SYCP2,synaptonemal complex protein 2,The synaptonemal complex is a proteinaceous structure that links homologous chromosomes during the prophase of meiosis. The protein encoded by this gene is a major component of the synaptonemal complex and may bind DNA at scaffold attachment regions. The encoded protein requires synaptonemal complex,False,0.2
9,FILIP1,6434,0.9986994818373376,0.05434082821011543,0.053942106664180756,0.43448102474212646,0.05314001875106378,4,1.4661530256271362,1.3022624254226685,0.0,1.5682778358459473,HMSD,histocompatibility minor serpin domain containing,This gene encodes a serpin-domain containing protein that may function as a serine protease inhibitor. This gene is primarily expressed in cells of myeloid lineage. A polymorphism in this gene may result in the expression a splice variant that encodes a minor histocompatibility antigen. [provided by,False,0.2
10,ZNF880,20467,0.9986897399961296,0.051942482590675354,0.050480347126722336,0.4394812732934952,0.041133266398792445,4,1.5812736749649048,1.3680830001831055,0.0,1.603164553642273,FILIP1,filamin A interacting protein 1,This gene encodes a filamin A binding protein. The encoded protein promotes the degradation of filamin A and may regulate cortical neuron migration and dendritic spine morphology. Mice lacking a functional copy of this gene exhibit reduced dendritic spine length and altered excitatory signaling. [pr,False,0.2
11,C9orf84,2819,0.9986653853931096,0.040378063917160034,0.0396011620759964,0.4476067026456197,0.05121736215029027,4,1.7193260192871094,1.4432491064071655,0.0,1.7088749408721924,ZNF880,zinc finger protein 880,"Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to be involved in regulation of transcription by RNA polymerase II. Predicted to be active in nucleus. [provided by ",False,0.2
12,ZNF91,20470,0.9986653853931096,0.05025894194841385,0.04969803988933563,0.4484971761703491,0.04328715832900265,4,1.927687168121338,1.549761414527893,0.0,1.5272281169891357,SHOC1,shortage in chiasmata 1,"Enables single-stranded DNA binding activity. Predicted to be involved in resolution of meiotic recombination intermediates. Predicted to be located in chromosome. Predicted to be active in condensed nuclear chromosome. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
13,C9orf53,2804,0.9986556435519016,0.06116199120879173,0.060540709644556046,0.4766820619503657,0.047050394641921844,4,2.2280843257904053,1.6906782388687134,0.0,2.0723774433135986,ZNF91,zinc finger protein 91,"The ZNF91 gene encodes a zinc finger protein of the KRAB (Kruppel-associated box) subfamily (Bellefroid et al., 1991, 1993 [PubMed 2023909] [PubMed 8467795]).[supplied by OMIM, May 2010].",False,0.4
14,TCP11,17825,0.9986264180282777,0.06678928434848785,0.06511246412992477,0.4486769239107768,0.04535356808758384,4,1.958808422088623,1.565016269683838,0.0,1.5014992952346802,CDKN2A-AS1,CDKN2A antisense RNA 1,,False,0.0
15,ZNF737,20383,0.9985533542192178,0.03573227673768997,0.034863799810409546,0.4533536185820897,0.05228391494529183,4,1.745991826057434,1.4573272466659546,0.0,1.854616641998291,TCP11,t-complex 11,"Predicted to be involved in several processes, including protein kinase A signaling; regulation of cAMP-mediated signaling; and regulation of sperm capacitation. Located in acrosomal vesicle and sperm flagellum. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
16,ZC4H2,19816,0.998436452124722,0.06115514412522316,0.058270253241062164,0.45738284786542255,0.05199263322735859,4,1.8442248106002808,1.5080355405807495,0.0,1.877260684967041,ZNF737,zinc finger protein 737,"Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to be involved in regulation of transcription, DNA-templated. Predicted to be located in nucleus. [provided by Allia",False,0.4
17,LOC642587,10068,0.9984169684423059,0.04362901672720909,0.040311578661203384,0.44384966293970746,0.040542140651177894,4,1.5608645677566528,1.3566309213638306,0.0,1.7546253204345703,ZC4H2,zinc finger C4H2-type containing,"This gene encodes a member of the zinc finger domain-containing protein family. This family member has a C-terminal zinc finger domain that is characterized by four cysteine residues and two histidine residues, and it also includes a coiled-coil region. This protein has been detected as an autoantig",False,0.2
18,HIST1H3G,7860,0.998392613839286,0.036454688757658005,0.03616715595126152,0.4351162910461426,0.03805417852229409,4,1.496514081954956,1.3199150562286377,0.0,1.5569746494293213,HIST1H3G,Unknown,,False,0.0
19,FAM38B,6068,0.998270840824186,0.040727756917476654,0.03963436931371689,0.43917740881443024,0.037155800733040145,4,1.4682021141052246,1.3034604787826538,0.0,1.7071200609207153,H3C8,H3 clustered histone 8,"Histones are basic nuclear proteins that are responsible for the nucleosome structure of the chromosomal fiber in eukaryotes. Two molecules of each of the four core histones (H2A, H2B, H3, and H4) form an octamer, around which approximately 146 bp of DNA is wrapped in repeating units, called nucleos",False,0.4
20,S1PR5,15460,0.9982594211164374,0.030218543484807014,0.028726771473884583,0.43390876054763794,0.039963948046048525,4,1.5276577472686768,1.3378010988235474,0.0,1.4896050691604614,PIEZO2,piezo type mechanosensitive ion channel component 2,The protein encoded by this gene contains more than thirty transmembrane domains and likely functions as part of mechanically-activated (MA) cation channels. These channels serve to connect mechanical forces to biological signals. The encoded protein quickly adapts MA currents in somatosensory neuro,False,0.2
21,TCAM1P,17778,0.9980954876824424,0.055790115147829056,0.054817795753479004,0.4660867353280385,0.05608412243981786,4,2.0784826278686523,1.622219443321228,0.0,1.9041193723678589,S1PR5,sphingosine-1-phosphate receptor 5,"The lysosphingolipid sphingosine 1-phosphate (S1P) regulates cell proliferation, apoptosis, motility, and neurite retraction. Its actions may be both intracellular as a second messenger and extracellular as a receptor ligand. S1P and the structurally related lysolipid mediator lysophosphatidic acid ",False,0.4
22,SMC1B,16504,0.9980906167618383,0.05421760678291321,0.05265609920024872,0.47103695074717206,0.0453465212929538,4,2.1193177700042725,1.641230583190918,0.0,2.0117907524108887,TCAM1P,"testicular cell adhesion molecule 1, pseudogene",This pseudogene is located downstream from the growth hormone locus on chromosome 17. This locus evolved by a series of partial duplications that have disrupted the human gene. A homologous gene in mouse encodes a testis-specific cell adhesion protein that may play a role in germ cell-Sertoli cell i,False,0.2
23,PRDM15,14012,0.9980516493970064,0.056324318051338196,0.05656411126255989,0.44983697930971783,0.04213539671479127,4,1.631809949874878,1.3960553407669067,0.0,1.8632994890213013,TCAM1P,"testicular cell adhesion molecule 1, pseudogene",,False,0.0
24,SERPINB4,15807,0.9980370366351944,0.0825868770480156,0.08208243548870087,0.48884839316209155,0.06320990035647833,4,2.2934987545013428,1.7196210622787476,0.0,2.371953010559082,SMC1B,structural maintenance of chromosomes 1B,"SMC1L2 belongs to a family of proteins required for chromatid cohesion and DNA recombination during meiosis and mitosis (3:Revenkova et al., 2001 [PubMed 11564881]).[supplied by OMIM, Mar 2008].",False,0.4
25,KCNS1,8842,0.9979591019055305,0.042884260416030884,0.043496545404195786,0.44014861683050793,0.040889514843175156,4,1.6062421798706055,1.3819711208343506,0.0,1.5982162952423096,PRDM15,PR/SET domain 15,"Predicted to enable DNA-binding transcription activator activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding activity; and promoter-specific chromatin binding activity. Predicted to be involved in positive regulation of transcription by RNA poly",False,0.2
26,ABCC9,95,0.9979542309849265,0.029505448415875435,0.029752347618341446,0.4300588170687358,0.03990977096640669,4,1.3807942867279053,1.2514430284500122,0.0,1.520970106124878,SERPINB4,serpin family B member 4,"The protein encoded by this gene is a member of the serpin family of serine protease inhibitors. The encoded protein is highly expressed in many tumor cells and can inactivate granzyme M, an enzyme that kills tumor cells. This protein, along with serpin B3, can be processed into smaller fragments th",False,0.4
27,SERPINB13,15804,0.9979250054613025,0.06542936712503433,0.06332197785377502,0.4611518283685048,0.037228580827945335,4,1.987192153930664,1.5787900686264038,0.0,1.8473626375198364,KCNS1,potassium voltage-gated channel modifier subfamily S member 1,Voltage-gated potassium channels form the largest and most diversified class of ion channels and are present in both excitable and nonexcitable cells. Their main functions are associated with the regulation of the resting membrane potential and the control of the shape and frequency of action potent,False,0.2
28,SERPINB3,15806,0.9979152636200945,0.0598609559237957,0.05952249467372894,0.48316389322280884,0.0555565318282043,4,2.131963014602661,1.6470671892166138,0.0,2.3629536628723145,ABCC9,ATP binding cassette subfamily C member 9,"The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This p",False,0.4
