rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,APCS,825,0.9485115625933135,0.0578119233250618,0.0595586821436882,0.5843828022480011,0.01684824782099681,4,3.72513484954834,2.2403554916381836,0.0,3.806349277496338,APCS,"amyloid P component, serum","The protein encoded by this gene is a glycoprotein, belonging to the pentraxin family of proteins, which has a characteristic pentameric organization. These family members have considerable sequence homology which is thought to be the result of gene duplication. The binding of the encoded protein to",False,0.2
2,CRP,4263,0.9453721135528999,0.05241680517792702,0.053447622805833817,0.6027755439281464,0.015677474265068048,4,4.0754547119140625,2.3435370922088623,1.412680770466086e-27,4.007811546325684,CSRP1,cysteine and glycine rich protein 1,"This gene encodes a member of the cysteine-rich protein (CSRP) family. This gene family includes a group of LIM domain proteins, which may be involved in regulatory processes important for development and cellular differentiation. The LIM/double zinc-finger motif found in this gene product occurs in",False,0.2
3,CHST4,3760,0.9443099748024479,0.01980423741042614,0.019084427505731583,0.5033504515886307,0.015437964601591858,4,2.63334059715271,1.8612966537475586,1.7588733205619022e-22,2.467172861099243,CRP,C-reactive protein,"The protein encoded by this gene belongs to the pentraxin family which also includes serum amyloid P component protein and pentraxin 3. Pentraxins are involved in complement activation and amplification via communication with complement initiation pattern recognition molecules, but also complement r",False,0.2
4,TM4SF4,18092,0.9425891161329586,0.022795941680669785,0.023998074233531952,0.5423993766307831,0.014950813287335496,4,2.932980537414551,1.9756230115890503,2.8322847647845107e-24,3.339000701904297,PPIAP10,peptidylprolyl isomerase A pseudogene 10,,False,0.0
5,AMBP,611,0.9345092813838574,0.02797446772456169,0.02737564779818058,0.5056672990322113,0.011930518137370782,4,2.585420608520508,1.8421423435211182,1.2002636531496034e-22,2.5845983028411865,CHST4,carbohydrate sulfotransferase 4,This gene encodes an N-acetylglucosamine 6-O sulfotransferase. The encoded enzyme transfers sulfate from 3'phosphoadenosine 5'phospho-sulfate to the 6-hydroxyl group of N-acetylglucosamine on glycoproteins. This protein is localized to the Golgi and is involved in the modification of glycan structur,False,0.4
6,ONECUT1,12333,0.9343934094469417,0.02502298168838024,0.02448880672454834,0.5591601729393005,0.012010729288052246,4,3.5171422958374023,2.175410270690918,1.7445244102992994e-27,3.2576630115509033,TM4SF4,transmembrane 4 L six family member 4,"The protein encoded by this gene is a member of the transmembrane 4 superfamily, also known as the tetraspanin family. Most of these members are cell-surface proteins that are characterized by the presence of four hydrophobic domains. The proteins mediate signal transduction events that play a role ",False,0.2
7,BAAT,1358,0.9323771168730113,0.022928575053811073,0.0242468249052763,0.5136083662509918,0.010839146102884056,4,2.6666038036346436,1.8744443655014038,2.734771715465655e-22,2.7416470050811768,AMBP,alpha-1-microglobulin/bikunin precursor,"This gene encodes a complex glycoprotein secreted in plasma. The precursor is proteolytically processed into distinct functioning proteins: alpha-1-microglobulin, which belongs to the superfamily of lipocalin transport proteins and may play a role in the regulation of inflammatory processes, and bik",False,0.2
8,UGT2B11,19156,0.9300761417880461,0.03166516497731209,0.030975384637713432,0.4447786460320155,0.010400307228993766,4,1.7128691673278809,1.4398194551467896,2.5197868572183144e-19,1.6304903030395508,ONECUT1,one cut homeobox 1,"This gene encodes a member of the Cut homeobox family of transcription factors. Expression of the encoded protein is enriched in the liver, where it stimulates transcription of liver-expressed genes, and antagonizes glucocorticoid-stimulated gene transcription. This gene may influence a variety of c",False,0.4
9,SLC30A10,16269,0.9298856241383886,0.025083446875214577,0.025311432778835297,0.49768419563770294,0.010380778721121642,4,2.397850275039673,1.7646223306655884,1.483640205069333e-21,2.5326755046844482,BAAT,bile acid-CoA:amino acid N-acyltransferase,"The protein encoded by this gene is a liver enzyme that catalyzes the transfer of C24 bile acids from the acyl-CoA thioester to either glycine or taurine, the second step in the formation of bile acid-amino acid conjugates. The bile acid conjugates then act as a detergent in the gastrointestinal tra",False,0.4
10,ITIH2,8655,0.9286621901859646,0.036086082458496094,0.03597906231880188,0.5236342052618662,0.009631108972739222,4,2.8479695320129395,1.9440973997116089,3.814830310672588e-23,2.8610565662384033,UGT2B11,UDP glucuronosyltransferase family 2 member B11,Enables glucuronosyltransferase activity. Involved in estrogen metabolic process and xenobiotic glucuronidation. Predicted to be located in endoplasmic reticulum membrane. Predicted to be integral component of membrane. Predicted to be active in intracellular membrane-bounded organelle. [provided by,False,0.4
11,UGT2B15,19157,0.9280508386680559,0.02326885238289833,0.023792725056409836,0.4864712158838908,0.009404341188120169,4,2.242802619934082,1.697241187095642,5.776076200340465e-21,2.3513338565826416,UGT2B4,UDP glucuronosyltransferase family 2 member B4,Enables glucuronosyltransferase activity. Involved in cellular glucuronidation and estrogen metabolic process. Predicted to be located in endoplasmic reticulum membrane. Predicted to be integral component of membrane. Predicted to be active in intracellular membrane-bounded organelle. [provided by A,False,0.4
12,AGT,443,0.9274542961790142,0.021975792944431305,0.02074475772678852,0.4680931667486827,0.00910758395803768,4,1.8457975387573242,1.5088330507278442,2.5508451187388764e-20,2.1969974040985107,SLC30A10,solute carrier family 30 member 10,"This gene is highly expressed in the liver and is inducible by manganese. Its protein product appears to be critical in maintaining manganese levels, and has higher specificity for manganese than zinc. Loss of function mutations appear to result in a pleomorphic phenotype, including dystonia and adu",False,0.2
13,GC,6906,0.9263462036047543,0.04330040141940117,0.04412974417209625,0.5426932175954183,0.009094949542556297,4,3.026477575302124,2.0095183849334717,2.7142523493279166e-35,3.254318952560425,ITIH2,inter-alpha-trypsin inhibitor heavy chain 2,The inter-alpha-trypsin inhibitors (ITI) are a family of structurally related plasma serine protease inhibitors involved in extracellular matrix stabilization and in prevention of tumor metastasis. The ITI family contains multiple proteins made up of a light chain (see MIM 176870) and a variable num,False,0.2
14,FGL1,6411,0.9257989859483027,0.04233459010720253,0.04089534655213356,0.4980650246143341,0.008821794262165117,4,2.5230071544647217,1.8168073892593384,1.9702731595956534e-22,2.4189436435699463,UGT2B15,UDP glucuronosyltransferase family 2 member B15,"This gene encodes a glycosyltransferase that is invovled in the metabolism and elimination of toxic compounts, both endogenous and of xenobiotic origin. This gene plays a role in the regulation of estrogens and androgens. This locus is present in a cluster of similar genes and pseudogenes on chromos",False,0.4
15,ASGR2,1112,0.9247039074073903,0.025973225012421608,0.026433110237121582,0.5182635684808096,0.008314153273900393,4,3.004490852355957,2.0016188621520996,1.1389226230830248e-21,2.5434162616729736,AGXT,alanine--glyoxylate aminotransferase,"This gene is expressed only in the liver and the encoded protein is localized mostly in the peroxisomes, where it is involved in glyoxylate detoxification. Mutations in this gene, some of which alter subcellular targetting, have been associated with type I primary hyperoxaluria. [provided by RefSeq,",False,0.4
16,APOB,844,0.9234660917697847,0.03660818561911583,0.03744174540042877,0.5091210007667542,0.008037533982950595,4,2.6158909797668457,1.8543511629104614,3.554811136402741e-22,2.6577389240264893,AGT,angiotensinogen,"The protein encoded by this gene, pre-angiotensinogen or angiotensinogen precursor, is expressed in the liver and is cleaved by the enzyme renin in response to lowered blood pressure. The resulting product, angiotensin I, is then cleaved by angiotensin converting enzyme (ACE) to generate the physiol",False,0.4
17,C5,2545,0.9232667134056519,0.02599809132516384,0.025683721527457237,0.47668232520421344,0.007827461986915862,4,2.3173928260803223,1.7300498485565186,2.191538306287636e-18,1.9830769300460815,GC,GC vitamin D binding protein,"The protein encoded by this gene belongs to the albumin gene family. It is a multifunctional protein found in plasma, ascitic fluid, cerebrospinal fluid and on the surface of many cell types. It binds to vitamin D and its plasma metabolites and transports them to target tissues. Alternatively splice",False,0.2
18,ONECUT2,12334,0.9230764630175394,0.01647026836872101,0.01641920581459999,0.45378372073173523,0.007999756861768237,4,1.7064303159713745,1.4363913536071777,2.4583481080802267e-18,1.9070812463760376,GBA1LP,"glucosylceramidase beta 1 like, pseudogene",,False,0.0
19,SLC25A12,16189,0.9226230768815289,0.026671232655644417,0.026714462786912918,0.4678807109594345,0.007881689499987798,4,2.3056297302246094,1.72492516040802,6.808333205949052e-17,1.7307915687561035,FGL1,fibrinogen like 1,"Fibrinogen-like 1 is a member of the fibrinogen family. This protein is homologous to the carboxy terminus of the fibrinogen beta- and gamma- subunits which contains the four conserved cysteines of fibrinogens and fibrinogen related proteins. However, this protein lacks the platelet-binding site, cr",False,0.2
20,NR1H4,12078,0.9221292548579904,0.017135778442025185,0.017692632973194122,0.4764627168575923,0.007497519704917854,4,1.8981821537017822,1.5351482629776,2.1321417486303665e-19,2.3956992626190186,ASGR2,asialoglycoprotein receptor 2,This gene encodes a subunit of the asialoglycoprotein receptor. This receptor is a transmembrane protein that plays a critical role in serum glycoprotein homeostasis by mediating the endocytosis and lysosomal degradation of glycoproteins with exposed terminal galactose or N-acetylgalactosamine resid,False,0.4
