rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,FAM55A,6101,0.9991573484810701,0.1023663803935051,0.0963573083281517,0.5546051661173502,0.11189121286158565,4,3.490265130996704,2.1668004989624023,0.0,3.1478898525238037,NXPE1,neurexophilin and PC-esterase domain family member 1,"Predicted to be located in extracellular region. Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
2,TCEA2,17781,0.999142735719258,0.03909643366932869,0.037405699491500854,0.47964368263880414,0.09631336394594014,4,2.0900020599365234,1.627607822418213,0.0,2.2993085384368896,TCEA2,transcription elongation factor A2,"The protein encoded by this gene is found in the nucleus, where it functions as an SII class transcription elongation factor. Elongation factors in this class are responsible for releasing RNA polymerase II ternary complexes from transcriptional arrest at template-encoded arresting sites. The encode",False,0.2
3,FAM55B,6102,0.9991378647986541,0.07393142580986023,0.06951290369033813,0.5079942842324575,0.07484207036159796,4,2.7544305324554443,1.9085941314697266,0.0,2.485398054122925,NXPE2,neurexophilin and PC-esterase domain family member 2,"Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,0.0
4,FAM55D,6104,0.9990940265132181,0.07979068905115128,0.07633752375841141,0.5145918230215708,0.0866034821269297,4,2.9350812435150146,1.976393461227417,0.0,2.502673625946045,NXPE4,neurexophilin and PC-esterase domain family member 4,"Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]",False,0.0
5,RETNLB,14848,0.9989722534981182,0.08131501078605652,0.07571566849946976,0.5224755803743998,0.07914102051516214,4,3.253976821899414,2.0888121128082275,0.0,2.42029070854187,RETNLB,resistin like beta,"Predicted to enable hormone activity. Involved in epithelial cell proliferation. Predicted to be located in extracellular region. Predicted to be active in extracellular space. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
6,REG4,14824,0.9989722534981182,0.039045270532369614,0.038625068962574005,0.4849806030591329,0.0836140110653969,4,2.2146239280700684,1.68464994430542,0.0,2.334794044494629,REG4,regenerating family member 4,"Enables heparin binding activity and mannan binding activity. Predicted to act upstream of or within response to bacterium. Located in cytoplasm. [provided by Alliance of Genome Resources, Apr 2022]",False,0.4
7,C2orf74,2435,0.9989381570538903,0.03925613686442375,0.037886716425418854,0.47627029816309613,0.07443470464673485,4,2.0083556175231934,1.5889750719070435,0.0,2.2797534465789795,C2orf74,chromosome 2 open reading frame 74,"Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,0.0
8,C2orf89,2449,0.9989138024508704,0.04272157698869705,0.041393354535102844,0.5228351056575775,0.11626395941613854,4,2.3349366188049316,1.7376593351364136,0.0,3.350116491317749,TRABD2A,TraB domain containing 2A,"Enables Wnt-protein binding activity and metalloendopeptidase activity. Involved in negative regulation of Wnt signaling pathway and proteolysis. Is integral component of organelle membrane and integral component of plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
9,CCL24,3229,0.9988748350860384,0.0486096628010273,0.0469227209687233,0.5155503948529562,0.08030896481722061,4,2.5231986045837402,1.8168858289718628,0.0,2.9433131217956543,CCL24,C-C motif chemokine ligand 24,This gene belongs to the subfamily of small cytokine CC genes. Cytokines are a family of secreted proteins involved in immunoregulatory and inflammatory processes. The CC cytokines are proteins characterized by two adjacent cysteines. The cytokine encoded by this gene displays chemotactic activity o,False,0.4
10,GPA33,7238,0.9988407386418104,0.045670028775930405,0.04479116573929787,0.5825554728507996,0.12686992062216618,4,2.94968843460083,1.981738805770874,0.0,4.526975631713867,GPA33,glycoprotein A33,The glycoprotein encoded by this gene is a cell surface antigen that is expressed in greater than 95% of human colon cancers. The open reading frame encodes a 319-amino acid polypeptide having a putative secretory signal sequence and 3 potential glycosylation sites. The predicted mature protein has ,False,0.2
11,BTNL3,1663,0.9986264181352347,0.04339667409658432,0.04338037967681885,0.5320927699406942,0.10261941436566446,4,2.7698910236358643,1.9145227670669556,0.0,3.192892074584961,BTNL3,butyrophilin like 3,Predicted to enable signaling receptor binding activity. Predicted to be involved in T cell receptor signaling pathway and regulation of cytokine production. Predicted to be integral component of membrane. Predicted to be active in external side of plasma membrane. [provided by Alliance of Genome Re,False,0.2
12,LRRC19,10285,0.9986166762940267,0.033821556717157364,0.03349149599671364,0.4917228619257609,0.07146642734081454,4,2.1416518688201904,1.6515233516693115,0.0,2.6100339889526367,LRRC19,leucine rich repeat containing 19,"Predicted to enable signaling receptor activity. Acts upstream of or within positive regulation of NIK/NF-kappaB signaling. Predicted to be integral component of membrane. Predicted to be active in plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
13,C13orf18,1840,0.9985630961673827,0.03578738495707512,0.034345321357250214,0.4653268903493881,0.06811021342894663,4,1.9227885007858276,1.547345519065857,0.0,2.037018299102783,RUBCNL,rubicon like autophagy enhancer,"This gene encodes a cysteine-rich protein that contains a putative zinc-RING and/or ribbon domain. The encoded protein is related to Run domain Beclin-1-interacting and cysteine-rich domain-containing protein, which plays a role in endocytic trafficking and autophagy. In cervical cancer cell lines, ",False,0.2
14,CDX1,3523,0.9985436124849667,0.08597255498170853,0.08286835998296738,0.5969783067703247,0.12046688532006411,4,3.014695405960083,2.0052905082702637,0.0,4.894653797149658,CDX1,caudal type homeobox 1,"This gene is a member of the caudal-related homeobox transcription factor gene family. The encoded DNA-binding protein regulates intestine-specific gene expression and enterocyte differentiation. It has been shown to induce expression of the intestinal alkaline phosphatase gene, and inhibit beta-cat",False,0.2
15,CDX2,3524,0.9985338706437588,0.0686185210943222,0.06746037304401398,0.5744618276755015,0.12197899906223308,4,2.822131872177124,1.9343775510787964,0.0,4.4117231369018555,CDX2,caudal type homeobox 2,This gene is a member of the caudal-related homeobox transcription factor gene family. The encoded protein is a major regulator of intestine-specific genes involved in cell growth an differentiation. This protein also plays a role in early embryonic development of the intestinal tract. Aberrant expr,False,0.4
16,GALNT8,6839,0.9984949032789269,0.04733024910092354,0.04513576626777649,0.49949852128823596,0.0805168595901955,4,2.4782140254974365,1.798346757888794,0.0,2.506741523742676,GALNT8,polypeptide N-acetylgalactosaminyltransferase 8,This gene encodes a member of the UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase (GalNAc-T) family of enzymes. GalNAc-Ts initiate mucin-type O-linked glycosylation in the Golgi apparatus by catalyzing the transfer of GalNAc to serine and threonine residues on target,False,0.4
17,TNFRSF11A,18419,0.9984900323583228,0.03784792870283127,0.0362054668366909,0.4586903502543767,0.06702749665804553,4,1.7002439498901367,1.4330897331237793,0.0,2.0604665279388428,TNFRSF11A,TNF receptor superfamily member 11a,"The protein encoded by this gene is a member of the TNF-receptor superfamily. This receptors can interact with various TRAF family proteins, through which this receptor induces the activation of NF-kappa B and MAPK8/JNK. This receptor and its ligand are important regulators of the interaction betwee",False,0.4
