rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,NFKBIE,11831,0.9859732351350339,0.010579962283372879,0.009968571364879608,0.5498994092146555,0.038687614982613416,4,3.199758768081665,2.0703063011169434,3.667611205343376e-29,3.2972233295440674,NFKBIE,NFKB inhibitor epsilon,"The protein encoded by this gene binds to components of NF-kappa-B, trapping the complex in the cytoplasm and preventing it from activating genes in the nucleus. Phosphorylation of the encoded protein targets it for destruction by the ubiquitin pathway, which activates NF-kappa-B by making it availa",False,0.4
2,CD19,3309,0.9827520605038071,0.008583190850913525,0.00860756915062666,0.624278207619985,0.03694654645806272,4,3.746516704559326,2.2468690872192383,6.494614780831666e-30,4.981829643249512,CD19,CD19 molecule,This gene encodes a member of the immunoglobulin gene superfamily. Expression of this cell surface protein is restricted to B cell lymphocytes. This protein is a reliable marker for pre-B cells but its expression diminishes during terminal B cell differentiation in antibody secreting plasma cells. T,False,0.4
3,CD79B,3374,0.9805751227865867,0.01147246453911066,0.01329605933278799,0.627813329299291,0.03621159548357844,4,4.074336528778076,2.34321928024292,6.494614780831666e-30,4.760063171386719,CD79B,CD79b molecule,"The B lymphocyte antigen receptor is a multimeric complex that includes the antigen-specific component, surface immunoglobulin (Ig). Surface Ig non-covalently associates with two other proteins, Ig-alpha and Ig-beta, which are necessary for expression and function of the B-cell antigen receptor. Thi",False,0.4
4,C7orf72,2709,0.978820327090259,0.08937012404203415,0.09165352582931519,0.8134077886740366,0.03582010330081764,4,11.333028793334961,3.624455213546753,0.0,3.069204330444336,SPMIP7,sperm microtubule inner protein 7,,False,0.0
5,BTBD3,1639,0.9785522164880008,0.015947120264172554,0.016141831874847412,0.6151899099349976,0.03506239644557696,4,3.9984171390533447,2.3214712142944336,6.494614780831666e-30,4.457280158996582,BTBD3,BTB domain containing 3,"Enables identical protein binding activity. Predicted to be involved in cerebral cortex development and dendrite morphogenesis. Predicted to be located in nucleus. Predicted to be active in cytosol. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
6,SPIB,17136,0.9780793385900276,0.009112225845456123,0.00951816514134407,0.6071623861789703,0.03503402049081439,4,3.4980714321136475,2.169306755065918,6.494614780831666e-30,4.716800212860107,SPIB,Spi-B transcription factor,"The protein encoded by this gene is a transcriptional activator that binds to the PU-box (5'-GAGGAA-3') and acts as a lymphoid-specific enhancer. Four transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2011].",False,0.2
7,MEF2B,10787,0.9778981479463408,0.027093002572655678,0.027674272656440735,0.641713430484136,0.03498658149530187,4,4.928592681884766,2.5676896572113037,8.630817721501904e-30,4.322810173034668,BORCS8-MEF2B,BORCS8-MEF2B readthrough,"This gene represents numerous read-through transcripts that span GeneID:729991 and 100271849. Many read-through transcripts are predicted to be nonsense-mediated decay (NMD) candidates, and are thought to be non-coding. Some transcripts are predicted to be capable of translation reinitiation at a do",False,0.4
8,MIR155HG,10954,0.9775704993912322,0.012946304865181446,0.012274757958948612,0.594628761212031,0.034807459030084864,4,3.74630069732666,2.2468035221099854,7.665850033410227e-30,4.092562198638916,MEF2B,myocyte enhancer factor 2B,"The product of this gene is a member of the MADS/MEF2 family of DNA binding proteins. The protein is thought to regulate gene expression, including expression of the smooth muscle myosin heavy chain gene. This region undergoes considerable alternative splicing, with transcripts supporting two non-ov",False,0.4
9,DTX1,5246,0.976075185250709,0.010043698363006115,0.009171904064714909,0.5291280349095663,0.03512199034380692,4,2.903215169906616,1.964663028717041,4.736408716878659e-27,2.970625638961792,MIR155HG,MIR155 host gene,"This gene represents a microRNA host gene. The long RNA transcribed from this gene is expressed at high levels in lymphoma and may function as an oncogene. [provided by RefSeq, Dec 2017].",False,0.2
10,EHD1,5438,0.9755404694162442,0.010362103581428528,0.010671225376427174,0.5815751353899637,0.03403060857474882,4,3.4377100467681885,2.149815320968628,6.995038573168238e-30,4.0095438957214355,DTX1,deltex E3 ubiquitin ligase 1,"Studies in Drosophila have identified this gene as encoding a positive regulator of the Notch-signaling pathway. The human gene encodes a protein of unknown function; however, it may play a role in basic helix-loop-helix transcription factor activity. [provided by RefSeq, Jul 2008].",False,0.4
11,CSK,4314,0.9749830057898266,0.012401320971548557,0.012583330273628235,0.6287469863891602,0.03394500678847301,4,4.056170463562012,2.338045120239258,6.494614780831666e-30,4.806239128112793,EHD1,EH domain containing 1,"This gene belongs to a highly conserved gene family encoding EPS15 homology (EH) domain-containing proteins. The protein-binding EH domain was first noted in EPS15, a substrate for the epidermal growth factor receptor. The EH domain has been shown to be an important motif in proteins involved in pro",False,0.4
12,HCLS1,7686,0.9746724408342751,0.01390987541526556,0.01331379171460867,0.5576850672562917,0.03361676232209865,4,2.875220537185669,1.9542784690856934,6.494614780831666e-30,3.8553314208984375,CSK,C-terminal Src kinase,"The protein encoded by this gene is involved in multiple pathways, including the regulation of Src family kinases. It plays an important role in T-cell activation through its association with the protein encoded by the protein tyrosine phosphatase, non-receptor type 22 (PTPN22) gene. This protein al",False,0.4
