rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,PPIAL4C,13862,0.999425249025069,0.22104275226593018,0.22370658814907074,0.6570612192153931,0.07470285702935908,4,4.280178070068359,2.4005866050720215,0.0,5.431658744812012,PPIAL4C,peptidylprolyl isomerase A like 4C,"Predicted to enable cyclosporin A binding activity and peptidyl-prolyl cis-trans isomerase activity. Predicted to be involved in protein folding and protein peptidyl-prolyl isomerization. Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
2,PSRC1,14300,0.9990599299797696,0.030061660334467888,0.030109615996479988,0.5234170158704122,0.054990022559537444,4,2.5208396911621094,1.8159195184707642,0.0,3.181670904159546,PSRC1,proline and serine rich coiled-coil 1,This gene encodes a proline-rich protein that is a target for regulation by the tumor suppressor protein p53. The encoded protein plays an important role in mitosis by recruiting and regulating microtubule depolymerases that destabalize microtubules. Alternatively spliced transcript variants encodin,False,0.2
3,GPM6A,7268,0.9990355753767496,0.03058159351348877,0.03068583458662033,0.540483166774114,0.05071327109437984,4,2.5832769870758057,1.8412796258926392,0.0,3.6312179565429688,GPM6A,glycoprotein M6A,"Predicted to enable calcium channel activity. Involved in neuron migration and stem cell differentiation. Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
4,NACAP1,11517,0.9990307044561455,0.262221097946167,0.25941598415374756,0.767328123251597,0.07876037173687389,4,5.350318908691406,2.6668291091918945,0.0,7.669524669647217,NACA4P,"NACA family member 4, pseudogene","Predicted to enable unfolded protein binding activity. Predicted to be involved in protein targeting to membrane. Predicted to be part of nascent polypeptide-associated complex. Predicted to be active in cytoplasm. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
5,GPM6B,7269,0.9990112207737296,0.03541559725999832,0.03451313078403473,0.5246133357286453,0.04519371673514705,4,2.388068914413452,1.7604632377624512,0.0,3.3503310680389404,GPM6B,glycoprotein M6B,This gene encodes a membrane glycoprotein that belongs to the proteolipid protein family. Proteolipid protein family members are expressed in most brain regions and are thought to be involved in cellular housekeeping functions such as membrane trafficking and cell-to-cell communication. This protein,False,0.2
6,HNRNPA3P1,7973,0.9989917370913136,0.17346599698066711,0.17094215750694275,0.6139800151189169,0.07789974198564797,4,3.8650591373443604,2.2824573516845703,0.0,4.5543413162231445,HNRNPA3P1,heterogeneous nuclear ribonucleoprotein A3 pseudogene 1,,False,0.0
7,PMS2L2,13673,0.9988261257907778,0.05317652225494385,0.050000451505184174,0.5157853762308756,0.046614698944905886,4,2.4803519248962402,1.7992331981658936,0.0,2.9932093620300293,HNRNPA3P1,heterogeneous nuclear ribonucleoprotein A3 pseudogene 1,"This locus shares sequence similarity with heterogeneous nuclear ribonuclear proteins and represents an apparent transcribed pseudogene of the HNRPA3 gene, which maps to chromosome 2. [provided by RefSeq, Jul 2008].",False,0.2
8,PMP2,13665,0.9988212548701738,0.04376087337732315,0.04299720376729965,0.5962624748547872,0.042122152978716576,4,3.268716335296631,2.0938022136688232,0.0,4.619157791137695,PMS2P2,"PMS1 homolog 2, mismatch repair system component pseudogene 2","Predicted to be involved in mismatch repair and somatic hypermutation of immunoglobulin genes. Predicted to be part of MutLalpha complex. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
9,GPR37L1,7346,0.9987822875053418,0.03483190760016441,0.033490825444459915,0.5525756180286407,0.04214979393173923,4,2.8933777809143066,1.9610223770141602,0.0,3.6838905811309814,PMS2P6,"PMS1 homolog 2, mismatch repair system component pseudogene 6","Predicted to be involved in mismatch repair and somatic hypermutation of immunoglobulin genes. Predicted to be part of MutLalpha complex. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
10,FTHL3,6696,0.998699481855074,0.3351927101612091,0.32922759652137756,0.73961674173673,0.08130428872459872,4,4.906391143798828,2.562276840209961,0.0,7.282111167907715,PMP2,peripheral myelin protein 2,"The protein encoded by this gene localizes to myelin sheaths of the peripheral nervous system. The encoded protein can bind both the membrane layers of the sheaths and monomeric lipids, and is thought to provide stability to the sheath. A defect in this gene was shown to be a cause of dominant demye",False,0.2
11,C14orf86,1920,0.998675127252054,0.06431887298822403,0.06380102038383484,0.599756141503652,0.0550231972737647,4,3.9672799110412598,2.3124561309814453,0.0,4.025404453277588,GPR37L1,G protein-coupled receptor 37 like 1,Enables G protein-coupled peptide receptor activity; peptide binding activity; and prosaposin receptor activity. Involved in adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway and positive regulation of MAPK cascade. Located in plasma membrane. Part of receptor complex. [provi,False,0.2
12,GRM3,7456,0.998650772649034,0.041368842124938965,0.041278425604104996,0.5313636759916941,0.04504766278513772,4,2.685438871383667,1.8818364143371582,0.0,3.2554712295532227,FTH1P3,ferritin heavy chain 1 pseudogene 3,,False,0.0
13,653553,22,0.998636159887222,0.18891078233718872,0.18517383933067322,0.6502475539843241,0.081119307039617,4,3.9340405464172363,2.302769660949707,0.0,5.573386192321777,FAM181A-AS1,FAM181A antisense RNA 1,,False,0.0
14,SOX2OT,17028,0.998631288966618,0.0310813095420599,0.03255720064043999,0.5623228847980499,0.04415895161557648,4,2.8663549423217773,1.9509741067886353,0.0,4.003331661224365,GRM3,glutamate metabotropic receptor 3,L-glutamate is the major excitatory neurotransmitter in the central nervous system and activates both ionotropic and metabotropic glutamate receptors. Glutamatergic neurotransmission is involved in most aspects of normal brain function and can be perturbed in many neuropathologic conditions. The met,False,0.4
15,NR2E1,12084,0.9986020634429941,0.031109105795621872,0.03143979236483574,0.5515594482421875,0.04497343013981614,4,2.9166455268859863,1.969618558883667,0.0,3.6301381587982178,HSPB1P1,heat shock protein family B (small) member 1 pseudogene 1,,False,0.0
16,WBP11P1,19480,0.998592321601786,0.059185586869716644,0.05969028174877167,0.5042693217595419,0.040015338780709175,4,2.3005318641662598,1.7226985692977905,0.0,2.827547788619995,SOX2-OT,SOX2 overlapping transcript,"This gene produces alternatively spliced long non-coding RNAs. These RNAs were observed to be upregulated in tumor cells and positively correlated to expression of the SRY-box 2 gene. Overexpression of these transcripts may promote cell proliferation. [provided by RefSeq, Dec 2017].",False,0.2
17,RFX4,14880,0.9984510649042703,0.039674270898103714,0.0380900539457798,0.610022763411204,0.0440464371196827,4,3.5041580200195312,2.171257495880127,0.0,4.796525001525879,NR2E1,nuclear receptor subfamily 2 group E member 1,The protein encoded by this gene is an orphan receptor involved in retinal development. The encoded protein also regulates adult neural stem cell proliferation and may be involved in control of aggressive behavior. Two transcript variants encoding different isoforms have been found for this gene. [p,False,0.2
18,SLCO1C1,16444,0.9984267103012503,0.03170223534107208,0.029982108622789383,0.5285592575867971,0.04335935362267063,4,2.686347723007202,1.8821921348571777,0.0,3.1704301834106445,WBP11P1,WBP11 pseudogene 1,,False,0.0
19,GFAP,6966,0.9984120975394383,0.0441620796918869,0.045318603515625,0.6075914104779562,0.048150452540665745,4,3.3452484607696533,2.119438648223877,0.0,4.88249397277832,WBP11P1,WBP11 pseudogene 1,,False,0.0
20,HEPACAM,7744,0.9984023556982303,0.03641212731599808,0.035186972469091415,0.5817881127198538,0.041754654566654725,4,3.1103100776672363,2.0392472743988037,0.0,4.3433332443237305,RFX4,regulatory factor X4,"This gene is a member of the regulatory factor X gene family, which encodes transcription factors that contain a highly-conserved winged helix DNA binding domain. The protein encoded by this gene is structurally related to regulatory factors X1, X2, X3, and X5. It has been shown to interact with its",False,0.2
