rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,KRT14,9226,0.9995324094093637,0.06754574924707413,0.06324061006307602,0.517599751551946,0.14464721062433705,4,2.2904834747314453,1.7182996273040771,0.0,3.23750901222229,KRT14,keratin 14,"This gene encodes a member of the keratin family, the most diverse group of intermediate filaments. This gene product, a type I keratin, is usually found as a heterotetramer with two keratin 5 molecules, a type II keratin. Together they form the cytoskeleton of epithelial cells. Mutations in the gen",False,0.4
2,PIPSL,13462,0.9994008945530559,0.3132621645927429,0.2965238690376282,0.517320970694224,0.14323497791562367,4,2.337376832962036,1.738714575767517,0.0,3.1822524070739746,PIPSL,PIP5K1A and PSMD4 like (pseudogene),"This locus is a transcribed pseudogene with similarity to two adjacent chromosome 1 loci: phosphatidylinositol-4-phosphate 5-kinase, type I, alpha (PIP5K1A, GeneID 8394) and proteasome (prosome, macropain) 26S subunit, non-ATPase, 4 (PSMD4, GeneID 5710). The pseudogene is believed to have occurred f",False,0.2
3,KRT6C,9257,0.999298605220372,0.06560006737709045,0.06188586726784706,0.5381932159264883,0.142334095491216,4,2.5440635681152344,1.8254045248031616,0.0,3.6017327308654785,PIPSL,PIP5K1A and PSMD4 like (pseudogene),,False,0.0
4,KRTDAP,9361,0.9990842847137963,0.13970588147640228,0.13091808557510376,0.5347676972548167,0.1382386778062683,4,3.0432839393615723,2.0155274868011475,0.0,2.9997470378875732,KRT6C,keratin 6C,"Keratins are intermediate filament proteins responsible for the structural integrity of epithelial cells and are subdivided into epithelial keratins and hair keratins. The type II keratins are clustered in a region of chromosome 12q13. [provided by RefSeq, Jul 2009].",False,0.2
5,CALML3,2908,0.9989771244605083,0.09745928645133972,0.09414495527744293,0.5070376892884573,0.12509783270878394,4,2.1296002864837646,1.6459784507751465,0.0,3.0815303325653076,KRT6A,keratin 6A,The protein encoded by this gene is a member of the keratin gene family. The type II cytokeratins consist of basic or neutral proteins which are arranged in pairs of heterotypic keratin chains coexpressed during differentiation of simple and stratified epithelial tissues. As many as six of this type,False,0.2
6,ANXA2P1,771,0.9988797060484285,0.1273842304944992,0.12077490985393524,0.509153222044309,0.16579908600670845,4,2.1728343963623047,1.6657721996307373,0.0,3.101762294769287,KRTDAP,keratinocyte differentiation associated protein,"This gene encodes a protein which may function in the regulation of keratinocyte differentiation and maintenance of stratified epithelia. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2011].",False,0.2
7,PA2G4P4,12845,0.9988650932866165,0.45287448167800903,0.4303605556488037,0.5977957546710968,0.1859577465392812,4,3.01914644241333,2.0068891048431396,0.0,4.914726257324219,CALML3,calmodulin like 3,"Predicted to enable calcium ion binding activity and enzyme regulator activity. Predicted to be involved in regulation of catalytic activity. Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]",False,0.4
8,ANXA2P3,773,0.9988553514454085,0.2724226117134094,0.25543108582496643,0.5553717811902364,0.16666074795718555,4,2.6628592014312744,1.8729702234268188,0.0,3.9982941150665283,ANXA2P1,annexin A2 pseudogene 1,,False,0.0
9,CLK2P,3898,0.9988358677629925,0.2893575429916382,0.2735964059829712,0.4868504156668981,0.11578798267840451,4,2.0131044387817383,1.5912506580352783,0.0,2.5924081802368164,ANXA2P1,annexin A2 pseudogene 1,,False,0.0
10,EIF5AL1,5507,0.9988358677629925,0.13303448259830475,0.12448213249444962,0.4819037914276123,0.11764884820751154,4,2.0246851444244385,1.5967849493026733,0.0,2.4324285984039307,PA2G4P4,proliferation-associated 2G4 pseudogene 4,,False,0.0
