rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,BSND,1623,0.9768964361220864,0.044082704931497574,0.04519372433423996,0.7267434597015381,0.034457505339299255,4,5.741046905517578,2.7529726028442383,0.0,6.061257362365723,BSND,barttin CLCNK type accessory subunit beta,This gene encodes an essential beta subunit for CLC chloride channels. These heteromeric channels localize to basolateral membranes of renal tubules and of potassium-secreting epithelia of the inner ear. Mutations in this gene have been associated with Bartter syndrome with sensorineural deafness. [,False,0.2
2,PTGER3,14327,0.9709985860345675,0.01620497927069664,0.015200256370007992,0.5199780563513438,0.031381310180304434,4,2.5050621032714844,1.809440016746521,0.0,3.0942795276641846,PTGER3,prostaglandin E receptor 3,"The protein encoded by this gene is a member of the G-protein coupled receptor family. This protein is one of four receptors identified for prostaglandin E2 (PGE2). This receptor may have many biological functions, which involve digestion, nervous system, kidney reabsorption, and uterine contraction",False,0.4
3,C12orf59,1820,0.9688205835085688,0.028000129386782646,0.02710716240108013,0.49163615703582764,0.03280053431413665,4,2.7712559700012207,1.9150450229644775,1.3562851457235986e-34,1.9778287410736084,TMEM52B,transmembrane protein 52B,"Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]",False,0.0
4,TMEM213,18265,0.964473414842864,0.01705925539135933,0.016567984595894814,0.6530159711837769,0.028742440406410497,4,4.298984527587891,2.4057159423828125,0.0,5.291494846343994,TMEM213,transmembrane protein 213,"Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,0.0
5,SLC43A2,16349,0.9608109556639002,0.016346920281648636,0.016249746084213257,0.5189762016137441,0.02703292570812854,4,2.6154403686523438,1.8541713953018188,0.0,2.953845500946045,SLC43A2,solute carrier family 43 member 2,"This gene encodes a member of the L-amino acid transporter-3 or SLC43 family of transporters. The encoded protein mediates sodium-, chloride-, and pH-independent transport of L-isomers of neutral amino acids, including leucine, phenylalanine, valine and methionine. This protein may contribute to the",False,0.2
6,ATP6V0D2,1247,0.9584518078322943,0.04598550498485565,0.045664943754673004,0.615063081185023,0.026240682908837076,4,3.9858226776123047,2.317831516265869,0.0,4.46606969833374,ATP6V0D2,ATPase H+ transporting V0 subunit d2,"Predicted to enable proton transmembrane transporter activity. Predicted to be involved in vacuolar acidification and vacuolar transport. Located in apical plasma membrane. Part of vacuolar proton-transporting V-type ATPase complex. [provided by Alliance of Genome Resources, Apr 2022]",False,0.4
7,EGF,5422,0.9577553214640879,0.019284700974822044,0.01760030724108219,0.5056166350841522,0.025233182546164912,4,2.4314019680023193,1.7787981033325195,0.0,2.7370972633361816,EGF,epidermal growth factor,"This gene encodes a member of the epidermal growth factor superfamily. The encoded preproprotein is proteolytically processed to generate the 53-amino acid epidermal growth factor peptide. This protein acts a potent mitogenic factor that plays an important role in the growth, proliferation and diffe",False,0.4
8,CDH16,3439,0.9577414898869664,0.02831573225557804,0.026761408895254135,0.5288218955198923,0.025167799860726703,4,2.6237900257110596,1.857499361038208,0.0,3.2408668994903564,CDH17,cadherin 17,"This gene is a member of the cadherin superfamily, genes encoding calcium-dependent, membrane-associated glycoproteins. The encoded protein is cadherin-like, consisting of an extracellular region, containing 7 cadherin domains, and a transmembrane region but lacking the conserved cytoplasmic domain.",False,0.4
9,SLC4A9,16376,0.9567768786324781,0.01618255488574505,0.018350664526224136,0.5896510382493337,0.025545834587579197,4,4.692269325256348,2.5090038776397705,0.0,2.9972617626190186,CDH16,cadherin 16,"This gene is a member of the cadherin superfamily, genes encoding calcium-dependent, membrane-associated glycoproteins. Mapped to a previously identified cluster of cadherin genes on chromosome 16q22.1, the gene localizes with superfamily members CDH1, CDH3, CDH5, CDH8 and CDH11. The protein consist",False,0.2
10,LOC643008,10074,0.9533593292821376,0.014322548173367977,0.014864319004118443,0.5136224925518036,0.023564545906780587,4,2.4139201641082764,1.7714293003082275,0.0,2.9947545528411865,SLC4A9,solute carrier family 4 member 9,"The protein encoded by this gene is a membrane protein involved in anion exchange. Expression of this gene is mostly limited to the kidney. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2012].",False,0.2
11,FXYD2,6733,0.9526319727066364,0.016706498339772224,0.015288771130144596,0.5413507918516794,0.023129298217024585,4,2.7392678260803223,1.902755856513977,0.0,3.501255750656128,FXYD2,Unknown,,False,0.0
12,FGF9,6398,0.9503672443551274,0.024191606789827347,0.020739709958434105,0.5264015992482504,0.021964538906286357,4,2.654700756072998,1.8697532415390015,0.0,3.1373469829559326,FXYD2,FXYD domain containing ion transport regulator 2,This gene encodes a member of the FXYD family of transmembrane proteins. This particular protein encodes the sodium/potassium-transporting ATPase subunit gamma. Mutations in this gene have been associated with Renal Hypomagnesemia-2. Alternatively spliced transcript variants have been described. Rea,False,0.4
13,RHBG,14941,0.948223163657461,0.019024988636374474,0.01704554632306099,0.5728093783060709,0.02072878056024452,4,3.4332985877990723,2.1483805179595947,0.0,3.7509827613830566,FGF9,fibroblast growth factor 9,"The protein encoded by this gene is a member of the fibroblast growth factor (FGF) family. FGF family members possess broad mitogenic and cell survival activities, and are involved in a variety of biological processes, including embryonic development, cell growth, morphogenesis, tissue repair, tumor",False,0.4
14,DUSP15,5268,0.9464613651326895,0.021939393132925034,0.021244186908006668,0.5219312508900961,0.020323192840192572,4,2.683474063873291,1.8810670375823975,0.0,2.97446346282959,RHBG,Rh family B glycoprotein,This gene encodes one of two non-erythroid members of the Rhesus (Rh) protein family. Non-erythroid Rh protein family members are mainly expressed in the kidney and belong to the methylammonium-ammonium permease/ammonia transporters superfamily. All Rh family proteins are predicted to be transmembra,False,0.2
15,ABTB2,139,0.945096976487271,0.014524801634252071,0.014711000956594944,0.48238253593444824,0.02176781703270847,4,1.9978289604187012,1.5839180946350098,0.0,2.473647117614746,DUSP15,dual specificity phosphatase 15,"The protein encoded by this gene has both protein-tyrosine phophatase activity and serine/threonine-specific phosphatase activity, and therefore is known as a dual specificity phosphatase. This protein may function in the differentiation of oligodendrocytes. Alternative splicing results in multiple ",False,0.2
16,SLC39A13,16332,0.9444238234197735,0.017766375094652176,0.017685486003756523,0.5312168002128601,0.019796396387348425,4,2.9174704551696777,1.969922423362732,0.0,3.019033670425415,ABTB2,ankyrin repeat and BTB domain containing 2,"Predicted to enable protein heterodimerization activity. Predicted to act upstream of or within cellular response to toxic substance. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
17,MCCD1,10705,0.9434986696793326,0.025215979665517807,0.023218099027872086,0.5790074268976847,0.019411389401027268,4,3.9081268310546875,2.2951724529266357,0.0,3.4620957374572754,SLC39A13,solute carrier family 39 member 13,This gene encodes a member of the LIV-1 subfamily of the ZIP transporter family. The encoded transmembrane protein functions as a zinc transporter. Mutations in this gene have been associated with the spondylocheiro dysplastic form of Ehlers-Danlos syndrome. Alternate transcript variants have been f,False,0.2
18,FOXI1,6615,0.9433947794926464,0.020396672189235687,0.01904498040676117,0.5780154565970103,0.01918515694741285,4,3.6482737064361572,2.2166948318481445,0.0,3.692190170288086,MCCD1,mitochondrial coiled-coil domain 1,"Predicted to be located in mitochondrion. [provided by Alliance of Genome Resources, Apr 2022]",False,0.0
19,RAP1GAP,14634,0.9432405196625097,0.020000124350190163,0.019133631139993668,0.4677989532550176,0.021979094440746527,4,1.8909022808074951,1.531519889831543,0.0,2.14306640625,FOXI1,forkhead box I1,"This gene belongs to the forkhead family of transcription factors, which is characterized by a distinct forkhead domain. This gene may play an important role in the development of the cochlea and vestibulum, as well as in embryogenesis. The encoded protein has been found to be required for the trans",False,0.2
20,GCGR,6915,0.9432293490694027,0.0213593989610672,0.023133881390094757,0.544312963883082,0.019293277358430005,4,3.045835494995117,2.0164377689361572,0.0,3.2835533618927,RAP1GAP,RAP1 GTPase activating protein,"This gene encodes a type of GTPase-activating-protein (GAP) that down-regulates the activity of the ras-related RAP1 protein. RAP1 acts as a molecular switch by cycling between an inactive GDP-bound form and an active GTP-bound form. The product of this gene, RAP1GAP, promotes the hydrolysis of boun",False,0.4
21,SIM1,16037,0.9420237379088543,0.03139770030975342,0.029083291068673134,0.5841927329699198,0.01923570982172551,4,3.4241342544555664,2.145395278930664,0.0,4.101647853851318,GCGR,glucagon receptor,"The protein encoded by this gene is a glucagon receptor that is important in controlling blood glucose levels. Defects in this gene are a cause of non-insulin-dependent diabetes mellitus (NIDDM).[provided by RefSeq, Jan 2010].",False,0.4
