rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,C1orf186,2185,0.9994252490338775,0.027379527688026428,0.024662384763360023,0.46957968672116596,0.045623811411585224,4,1.8745288848876953,1.5233255624771118,0.0,2.2128617763519287,RHEX,regulator of hemoglobinization and erythroid cell expansion,"Enables erythropoietin receptor binding activity. Involved in erythropoietin-mediated signaling pathway and positive regulation of erythrocyte differentiation. Located in plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
2,PAX2,12977,0.9989089314498543,0.03844400495290756,0.03733552247285843,0.5285685559113821,0.05830772991748012,4,2.50429630279541,1.8091247081756592,0.0,3.3527603149414062,PAX2,paired box 2,"PAX2 encodes paired box gene 2, one of many human homologues of the Drosophila melanogaster gene prd. The central feature of this transcription factor gene family is the conserved DNA-binding paired box domain. PAX2 is believed to be a target of transcriptional supression by the tumor suppressor gen",False,0.2
3,GBA3,6891,0.9989040605292502,0.027293670922517776,0.025686874985694885,0.4921318789323171,0.04608008389325935,4,2.2168874740600586,1.685665488243103,0.0,2.5470688343048096,GBA3,glucosylceramidase beta 3 (gene/pseudogene),"The protein encoded by this gene is a cytosolic enzyme that can hydrolyze several types of glycosides. The enzyme has its highest activity at neutral pH and is predominantly expressed in human liver, kidney, intestine, and spleen. This gene is a polymorphic pseudogene, with the most common allele be",False,0.4
4,IMPA2,8465,0.9988894477674383,0.02400434948503971,0.023213103413581848,0.46539782484372455,0.049531371148840764,4,1.744094729423523,1.4563302993774414,0.0,2.2178399562835693,IMPA2,inositol monophosphatase 2,"This locus encodes an inositol monophosphatase. The encoded protein catalyzes the dephosphoylration of inositol monophosphate and plays an important role in phosphatidylinositol signaling. This locus may be associated with susceptibility to bipolar disorder. [provided by RefSeq, Jan 2011].",False,0.4
5,SLC3A1,16342,0.9988797059262302,0.027432115748524666,0.027286497876048088,0.5309140582879385,0.06588059698502735,4,2.471623182296753,1.7956103086471558,0.0,3.455798625946045,SLC3A1,solute carrier family 3 member 1,This gene encodes a type II membrane glycoprotein which is one of the components of the renal amino acid transporter which transports neutral and basic amino acids in the renal tubule and intestinal tract. Mutations and deletions in this gene are associated with cystinuria. Alternatively spliced tra,False,0.4
6,PKHD1,13492,0.9988602222438143,0.020868513733148575,0.019565777853131294,0.516582523783048,0.061856112845810385,4,2.325610399246216,1.733619213104248,0.0,3.171865463256836,PKHD1,PKHD1 ciliary IPT domain containing fibrocystin/polyductin,The protein encoded by this gene is predicted to have a single transmembrane (TM)-spanning domain and multiple copies of an immunoglobulin-like plexin-transcription-factor domain. Alternative splicing results in two transcript variants encoding different isoforms. Other alternatively spliced transcr,False,0.2
7,FXYD2,6733,0.9987628038317344,0.021357351914048195,0.021887145936489105,0.5355786780516306,0.06291455615931363,4,2.5384881496429443,1.823133111000061,0.0,3.52887225151062,FXYD2,FXYD domain containing ion transport regulator 2,This gene encodes a member of the FXYD family of transmembrane proteins. This particular protein encodes the sodium/potassium-transporting ATPase subunit gamma. Mutations in this gene have been associated with Renal Hypomagnesemia-2. Alternatively spliced transcript variants have been described. Rea,False,0.4
8,SYPL2,17567,0.9987384492287144,0.025272328406572342,0.023647399619221687,0.4736088514328003,0.056460876521403636,4,1.8676248788833618,1.5198562145233154,0.0,2.3406407833099365,SYPL2,synaptophysin like 2,"Involved in substantia nigra development. Predicted to be integral component of membrane. Predicted to be active in synaptic vesicle membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
9,LDLR,9487,0.9986799981814665,0.03477459028363228,0.03283730894327164,0.4751686602830887,0.049801636250017545,4,2.07826566696167,1.6221177577972412,0.0,2.1767940521240234,LDLR,low density lipoprotein receptor,"The low density lipoprotein receptor (LDLR) gene family consists of cell surface proteins involved in receptor-mediated endocytosis of specific ligands. The encoded protein is normally bound at the cell membrane, where it binds low density lipoprotein/cholesterol and is taken into the cell. Lysosome",False,0.4
10,KCNJ16,8802,0.9986605144990505,0.02386653609573841,0.022204890847206116,0.49113095303376514,0.053842566635604605,4,1.9745533466339111,1.5726730823516846,0.0,2.7593753337860107,KCNJ16,potassium inwardly rectifying channel subfamily J member 16,"Potassium channels are present in most mammalian cells, where they participate in a wide range of physiologic responses. The protein encoded by this gene is an integral membrane protein and inward-rectifier type potassium channel. The encoded protein, which tends to allow potassium to flow into rath",False,0.4
