rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,EGFR,5427,1.050605321083913,0.037381067872047424,0.036008674651384354,0.6048699418703715,0.0830774125444127,4,3.507230043411255,2.172240972518921,0.0,4.63886833190918,EGFR,epidermal growth factor receptor,"The protein encoded by this gene is a transmembrane glycoprotein that is a member of the protein kinase superfamily. This protein is a receptor for members of the epidermal growth factor family. EGFR is a cell surface protein that binds to epidermal growth factor, thus inducing receptor dimerization",True,1.0
2,ID3,8230,0.999098897476669,0.044039320200681686,0.04125068709254265,0.6070146262645721,0.10206209198704497,4,3.9311342239379883,2.301919460296631,0.0,4.279304504394531,ID3,inhibitor of DNA binding 3,"The protein encoded by this gene is a helix-loop-helix (HLH) protein that can form heterodimers with other HLH proteins. However, the encoded protein lacks a basic DNA-binding domain and therefore inhibits the DNA binding of any HLH protein with which it interacts. [provided by RefSeq, Aug 2011].",False,0.4
3,LOC285740,9929,0.9987384493519735,0.09754237532615662,0.09309039264917374,0.7537153561909994,0.0982938056585263,4,5.582922458648682,2.7187283039093018,0.0,7.028538227081299,LOC285740,Unknown,,False,0.0
4,ANKRD57,734,0.9986605146223095,0.05333811789751053,0.050093941390514374,0.6458239257335663,0.09744461763507073,4,4.6755266189575195,2.5047543048858643,0.0,4.699191093444824,SOWAHC,sosondowah ankyrin repeat domain family member C,,False,0.0
5,BCAR1,1424,0.9985387416072098,0.11098271608352661,0.1066432073712349,0.7457376718521118,0.10487145749640381,4,6.274138450622559,2.862776279449463,0.0,6.097991466522217,BCAR1,"BCAR1 scaffold protein, Cas family member","The protein encoded by this gene is a member of the Crk-associated substrate (CAS) family of scaffold proteins, characterized by the presence of multiple protein-protein interaction domains and many serine and tyrosine phosphorylation sites. The encoded protein contains a Src-homology 3 (SH3) domain",False,0.4
6,TJP1,18051,0.9984705487187537,0.11466880887746811,0.11104366183280945,0.7348637382189432,0.1030176005457295,4,6.305443286895752,2.868971824645996,0.0,5.740468978881836,TJP1,tight junction protein 1,"This gene encodes a member of the membrane-associated guanylate kinase (MAGUK) family of proteins, and acts as a tight junction adaptor protein that also regulates adherens junctions. Tight junctions regulate the movement of ions and macromolecules between endothelial and epithelial cells. The multi",False,0.4
7,C19orf34,2094,0.9984120976715058,0.078221894800663,0.07280394434928894,0.6691960295041403,0.10168459669514318,4,5.202071666717529,2.6327502727508545,0.0,4.873809337615967,CSNK1G2-AS1,CSNK1G2 antisense RNA 1,,False,0.0
8,SEPT10,15758,0.9981088215620921,0.12012273073196411,0.1138630285859108,0.6828677852948507,0.09673551672670055,4,5.5401740074157715,2.709329128265381,0.0,4.945859432220459,SEPTIN10,septin 10,This gene encodes a member of the septin family of cytoskeletal proteins with GTPase activity. This protein localizes to the cytoplasm and nucleus and displays GTP-binding and GTPase activity. A pseudogene for this gene is located on chromosome 8. Alternative splicing results in multiple transcript ,False,0.2
9,GNG12,7163,0.9980710614535218,0.09481222182512283,0.09242595732212067,0.6978969176610311,0.09662680938233148,4,5.6258649826049805,2.7281088829040527,0.0,5.311042785644531,GNG12,G protein subunit gamma 12,"Enables PDZ domain binding activity. Predicted to be involved in G protein-coupled receptor signaling pathway. Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]",False,0.4
10,C21orf96,2360,0.9980613913880183,0.09947997331619263,0.0976305678486824,0.7392177184422811,0.10345221284398032,4,5.599592208862305,2.722376823425293,0.0,6.576939105987549,RUNX1-IT1,RUNX1 intronic transcript 1,,False,0.0
