rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,APC,822,1.0601550490042246,0.03715458884835243,0.036523763090372086,0.543836365143458,0.1795342593789282,4,2.656634569168091,1.8705164194107056,0.0,3.658456563949585,PROC,"protein C, inactivator of coagulation factors Va and VIIIa",This gene encodes a vitamin K-dependent plasma glycoprotein. The encoded protein is cleaved to its activated form by the thrombin-thrombomodulin complex. This activated form contains a serine protease domain and functions in degradation of the activated forms of coagulation factors V and VIII. Mutat,False,0.4
2,GRIA3,7426,0.9989625117399039,0.054590269923210144,0.05280596762895584,0.5814719895521799,0.18615570492981348,4,2.8307738304138184,1.937635898590088,0.0,4.6133856773376465,APC,APC regulator of Wnt signaling pathway,"This gene encodes a tumor suppressor protein that acts as an antagonist of the Wnt signaling pathway. It is also involved in other processes including cell migration and adhesion, transcriptional activation, and apoptosis. Defects in this gene cause familial adenomatous polyposis (FAP), an autosomal",True,1.0
3,MLC1,10974,0.9987335784715161,0.043166909366846085,0.04093984514474869,0.6099139054616293,0.19247771507954226,4,3.105465888977051,2.037545919418335,0.0,5.191951274871826,GRIA3,glutamate ionotropic receptor AMPA type subunit 3,"Glutamate receptors are the predominant excitatory neurotransmitter receptors in the mammalian brain and are activated in a variety of normal neurophysiologic processes. These receptors are heteromeric protein complexes composed of multiple subunits, arranged to form ligand-gated ion channels. The c",False,0.4
4,C21orf131,2334,0.9986994820272882,0.0610964335501194,0.054545458406209946,0.6818295121192932,0.19243738911860397,4,4.168978214263916,2.3698790073394775,0.0,6.28590726852417,MYL1,myosin light chain 1,"Myosin is a hexameric ATPase cellular motor protein. It is composed of two heavy chains, two nonphosphorylatable alkali light chains, and two phosphorylatable regulatory light chains. This gene encodes a myosin alkali light chain expressed in fast skeletal muscle. Two transcript variants have been i",False,0.2
5,MOBP,11052,0.9986410309800402,0.049374550580978394,0.041688527911901474,0.5812604228655497,0.17204640250473968,4,3.523024797439575,2.1772878170013428,0.0,3.914787769317627,MLC1,modulator of VRAC current 1,"The function of this gene product is unknown; however, homology to other proteins suggests that it may be an integral membrane transporter. Mutations in this gene have been associated with megalencephalic leukoencephalopathy with subcortical cysts, an autosomal recessive neurological disorder. Alter",False,0.2
6,C2orf80,2441,0.9985679671709804,0.09843682497739792,0.09281593561172485,0.663753867149353,0.19476637988601442,4,3.8970494270324707,2.291912794113159,0.0,6.015566825866699,LINC00320,long intergenic non-protein coding RNA 320,,False,0.0
7,GRM3,7456,0.9985484834885644,0.04206530749797821,0.04071880877017975,0.5955696006615957,0.18833148038400704,4,3.3166487216949463,2.1099116802215576,0.0,4.550439357757568,MOBP,myelin associated oligodendrocyte basic protein,Predicted to enable actin binding activity and myosin binding activity. Predicted to be a structural constituent of myelin sheath. Predicted to be involved in nervous system development. Predicted to be located in mitochondrion. Predicted to be active in cortical actin cytoskeleton. Implicated in fr,False,0.2
8,MTSS1L,11337,0.9985095161237324,0.042525988072156906,0.039229076355695724,0.5675495366255442,0.19069713503281993,4,2.7845540046691895,1.9201233386993408,0.0,4.241931915283203,C2orf80,chromosome 2 open reading frame 80,,False,0.0
9,KCNJ10,8795,0.9984949033619205,0.04525171220302582,0.04194743186235428,0.5980917314688364,0.201246074462053,4,2.9660139083862305,1.987689733505249,0.0,4.976737976074219,GRM3,glutamate metabotropic receptor 3,L-glutamate is the major excitatory neurotransmitter in the central nervous system and activates both ionotropic and metabotropic glutamate receptors. Glutamatergic neurotransmission is involved in most aspects of normal brain function and can be perturbed in many neuropathologic conditions. The met,False,0.4
10,KCNJ9,8809,0.9984705487589005,0.04929912090301514,0.041312847286462784,0.6663658420244852,0.2051894194737478,4,3.786714792251587,2.25903582572937,0.0,6.204260349273682,MTSS2,MTSS I-BAR domain containing 2,"Enables GTPase activator activity and small GTPase binding activity. Involved in activation of GTPase activity and cellular response to platelet-derived growth factor stimulus. Located in ruffle membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
11,GFAP,6966,0.9984169686322566,0.10687771439552307,0.10179383307695389,0.6760503649711609,0.20083647416342965,4,3.549328565597534,2.1856536865234375,0.0,6.732182502746582,KCNJ10,potassium inwardly rectifying channel subfamily J member 10,"This gene encodes a member of the inward rectifier-type potassium channel family, characterized by having a greater tendency to allow potassium to flow into, rather than out of, a cell. The encoded protein may form a heterodimer with another potassium channel protein and may be responsible for the p",False,0.4
12,SOX2OT,17028,0.9984169686322566,0.061507128179073334,0.05916992202401161,0.6238603293895721,0.1881399634882559,4,3.147122621536255,2.0521106719970703,0.0,5.568687438964844,KCNJ9,potassium inwardly rectifying channel subfamily J member 9,"Potassium channels are present in most mammalian cells, where they participate in a wide range of physiologic responses. The protein encoded by this gene is an integral membrane protein and inward-rectifier type potassium channel. The encoded protein, which has a greater tendency to allow potassium ",False,0.4
13,OMG,12331,0.9983877431086325,0.06805340945720673,0.0639302209019661,0.6774296164512634,0.1993596615598776,4,3.5967962741851807,2.2006287574768066,0.0,6.726092338562012,GFAP,glial fibrillary acidic protein,"This gene encodes one of the major intermediate filament proteins of mature astrocytes. It is used as a marker to distinguish astrocytes from other glial cells during development. Mutations in this gene cause Alexander disease, a rare disorder of astrocytes in the central nervous system. Alternative",False,0.4
14,OLIG1,12325,0.9983780012674246,0.062007732689380646,0.05375057831406593,0.6253945628801981,0.1933015909100646,4,3.2338063716888428,2.0819554328918457,0.0,5.5280303955078125,SOX2-OT,SOX2 overlapping transcript,"This gene produces alternatively spliced long non-coding RNAs. These RNAs were observed to be upregulated in tumor cells and positively correlated to expression of the SRY-box 2 gene. Overexpression of these transcripts may promote cell proliferation. [provided by RefSeq, Dec 2017].",False,0.2
15,GPM6A,7268,0.9983049374583647,0.04466709494590759,0.04321043938398361,0.590679387251536,0.1915895368657583,4,2.8602020740509033,1.948676347732544,0.0,4.860179424285889,OMG,oligodendrocyte myelin glycoprotein,Predicted to enable identical protein binding activity. Predicted to be involved in neuron projection regeneration. Predicted to act upstream of or within regulation of collateral sprouting of intact axon in response to injury. Predicted to be located in plasma membrane. [provided by Alliance of Gen,False,0.2
16,SLC1A2,16147,0.9982757119347407,0.047538552433252335,0.039948705583810806,0.5705550114313761,0.20154388962953407,4,2.808856725692749,1.9293580055236816,0.0,4.307793617248535,OLIG1,oligodendrocyte transcription factor 1,"Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to be involved in neuron differentiation and regulation of transcription by RNA polymerase II. Predicted to act upst",False,0.2
17,SCN1A,15605,0.9982659700935327,0.06200325861573219,0.057829879224300385,0.5907237927118937,0.17306293547611862,4,3.008051633834839,2.002901077270508,0.0,4.713662147521973,GPM6A,glycoprotein M6A,"Predicted to enable calcium channel activity. Involved in neuron migration and stem cell differentiation. Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
18,C1orf61,2226,0.9982221318080968,0.044965796172618866,0.03995824232697487,0.6831588546435038,0.20799465325025435,4,3.565218448638916,2.1906838417053223,0.0,6.929547309875488,SLC1A2,solute carrier family 1 member 2,This gene encodes a member of a family of solute transporter proteins. The membrane-bound protein is the principal transporter that clears the excitatory neurotransmitter glutamate from the extracellular space at synapses in the central nervous system. Glutamate clearance is necessary for proper syn,False,0.4
19,CACNG7,2882,0.9982221318080968,0.04394546151161194,0.040222883224487305,0.7092895110448202,0.19168446595000588,4,3.67567777633667,2.225175619125366,0.0,7.603007793426514,SCN1A,sodium voltage-gated channel alpha subunit 1,"Voltage-dependent sodium channels are heteromeric complexes that regulate sodium exchange between intracellular and extracellular spaces and are essential for the generation and propagation of action potentials in muscle cells and neurons. Each sodium channel is composed of a large pore-forming, gly",False,0.4
20,FAM123A,5899,0.9982172608874927,0.06537555903196335,0.05809355154633522,0.6935611764589945,0.20825444627727818,4,3.6970102787017822,2.2317426204681396,0.0,7.109825134277344,MIR9-1HG,MIR9-1 host gene,"Involved in positive regulation of transcription by RNA polymerase II. Predicted to be located in nucleus. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
21,STMN4,17410,0.9981929062844728,0.05419647693634033,0.04998299106955528,0.64763343334198,0.18245629479298997,4,3.463590145111084,2.1582045555114746,0.0,5.965412616729736,CACNG7,calcium voltage-gated channel auxiliary subunit gamma 7,The protein encoded by this gene is a type II transmembrane AMPA receptor regulatory protein (TARP). TARPs regulate both trafficking and channel gating of the AMPA receptors. This gene is part of a functionally diverse eight-member protein subfamily of the PMP-22/EMP/MP20 family and is located in a ,False,0.4
22,C1orf94,2246,0.9981636807608488,0.05419307202100754,0.05342304706573486,0.6168329914410909,0.17485453424966058,4,3.399824619293213,2.1374459266662598,0.0,5.105165481567383,AMER2,APC membrane recruitment protein 2,"Enables phosphatidylinositol-4,5-bisphosphate binding activity. Involved in negative regulation of canonical Wnt signaling pathway. Located in plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
23,TNR,18473,0.9981490679990368,0.06144792214035988,0.056661248207092285,0.619522899389267,0.18889065371071645,4,3.6500916481018066,2.217259168624878,0.0,4.935595512390137,STMN4,stathmin 4,Predicted to enable tubulin binding activity. Predicted to be involved in microtubule depolymerization; neuron projection development; and regulation of microtubule polymerization or depolymerization. Predicted to be located in Golgi apparatus and growth cone. Predicted to be active in cytoplasm and,False,0.2
24,LRRTM2,10355,0.9981441970784328,0.04781631380319595,0.04301801696419716,0.5828476250171661,0.1820282527628163,4,2.9274415969848633,1.9735897779464722,0.0,4.557987213134766,C1orf94,chromosome 1 open reading frame 94,,False,0.0
25,CSMD3,4317,0.998080875110581,0.07185230404138565,0.06748927384614944,0.5679618815581003,0.17293749148183446,4,3.1023898124694824,2.0364646911621094,0.0,3.9364664554595947,TNR,tenascin R,"This gene encodes a member of the tenascin family of extracellular matrix glycoproteins. The encoded protein is restricted to the central nervous system. The protein may play a role in neurite outgrowth, neural cell adhesion and modulation of sodium channel function. It is a constituent of perineuro",False,0.4
