rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,ABCB11,74,0.9992645087788102,0.05690697208046913,0.0543518103659153,0.5675798654556274,0.1062661795912152,4,3.8123793601989746,2.2667503356933594,0.0,3.2150168418884277,ABCB11,ATP binding cassette subfamily B member 11,"The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, G",False,0.4
2,RBP4,14767,0.9990988974782744,0.057139549404382706,0.05462944135069847,0.5862603088219961,0.1249561701432742,4,3.033643960952759,2.0120837688446045,0.0,4.554165363311768,POLR2D,RNA polymerase II subunit D,"This gene encodes the fourth largest subunit of RNA polymerase II, the polymerase responsible for synthesizing messenger RNA in eukaryotes. In yeast, this polymerase subunit is associated with the polymerase under suboptimal growth conditions and may have a stress protective role. A sequence for a r",False,0.4
3,A1BG,29,0.9990891556370665,0.06839811056852341,0.06510604172945023,0.5980109175046285,0.12168186510318013,4,3.6900060176849365,2.2295899391174316,0.0,4.250321388244629,RBP4,retinol binding protein 4,"This protein belongs to the lipocalin family and is the specific carrier for retinol (vitamin A alcohol) in the blood. It delivers retinol from the liver stores to the peripheral tissues. In plasma, the RBP-retinol complex interacts with transthyretin which prevents its loss by filtration through th",False,0.2
4,HRG,8071,0.9990453173516305,0.0699400007724762,0.06536000967025757,0.6532986660798391,0.115414765633985,4,4.272555351257324,2.3985023498535156,0.0,5.326404571533203,A1BG,alpha-1-B glycoprotein,"The protein encoded by this gene is a plasma glycoprotein of unknown function. The protein shows sequence similarity to the variable regions of some immunoglobulin supergene family member proteins. [provided by RefSeq, Jul 2008].",False,0.2
5,PROC,14111,0.9989625117013625,0.046843238174915314,0.04529324918985367,0.5915006597836813,0.12311791711751363,4,3.1834802627563477,2.0647037029266357,0.0,4.561539649963379,SLC48A1,solute carrier family 48 member 1,"Enables heme binding activity and heme transmembrane transporter activity. Involved in heme transport. Located in endosome membrane; lysosomal membrane; and plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
6,CA5A,2838,0.9989478989395506,0.09362295269966125,0.08850182592868805,0.6098169485727946,0.10865969357666527,4,4.309762001037598,2.408647298812866,0.0,3.9847464561462402,NRG1,neuregulin 1,The protein encoded by this gene is a membrane glycoprotein that mediates cell-cell signaling and plays a critical role in the growth and development of multiple organ systems. An extraordinary variety of different isoforms are produced from this gene through alternative promoter usage and splicing.,False,0.4
7,MAT1A,10653,0.9989430280189466,0.051610883325338364,0.04922617971897125,0.5948458313941956,0.1284389428434931,4,3.2399537563323975,2.0840485095977783,0.0,4.60542106628418,HRG,histidine rich glycoprotein,"This histidine-rich glycoprotein contains two cystatin-like domains and is located in plasma and platelets. The physiological function has not been determined but it is known that the protein binds heme, dyes and divalent metal ions. The encoded protein also has a peptide that displays antimicrobial",False,0.2
8,APOH,864,0.9988797060510948,0.03850337117910385,0.03915543481707573,0.6857691804567972,0.12895326829818354,4,3.9988744258880615,2.321603298187256,0.0,6.5742011070251465,PROC,"protein C, inactivator of coagulation factors Va and VIIIa",This gene encodes a vitamin K-dependent plasma glycoprotein. The encoded protein is cleaved to its activated form by the thrombin-thrombomodulin complex. This activated form contains a serine protease domain and functions in degradation of the activated forms of coagulation factors V and VIII. Mutat,False,0.4
9,SULT2A1,17481,0.9988699642098867,0.04202229157090187,0.04061596468091011,0.6288346747557322,0.10577506207279486,4,3.8903563022613525,2.2899394035339355,0.0,4.97468376159668,CA5A,carbonic anhydrase 5A,"Carbonic anhydrases (CAs) are a large family of zinc metalloenzymes that catalyze the reversible hydration of carbon dioxide.  They participate in a variety of biological processes, including respiration, calcification, acid-base balance, bone resorption, and the formation of aqueous humor, cerebros",False,0.4
10,CPB2,4162,0.9988504805274707,0.09004469960927963,0.08669348061084747,0.6952513754367828,0.12619926594288677,4,4.06049108505249,2.339277505874634,0.0,6.797050476074219,MAT1A,methionine adenosyltransferase 1A,"This gene catalyzes a two-step reaction that involves the transfer of the adenosyl moiety of ATP to methionine to form S-adenosylmethionine and tripolyphosphate, which is subsequently cleaved to PPi and Pi. S-adenosylmethionine is the source of methyl groups for most biological methylations. The enc",False,0.4
11,ITIH1,8654,0.9988358677656588,0.11450366675853729,0.11032117158174515,0.7544940312703451,0.134968011313638,4,4.561092376708984,2.4753682613372803,0.0,8.073728561401367,APOH,apolipoprotein H,"Apolipoprotein H, also known as beta-2-glycoprotein I, is a component of circulating plasma lipoproteins. It has been implicated in a variety of physiologic pathways including lipoprotein metabolism, coagulation, hemostasis, and the production of antiphospholipid autoantibodies. APOH may be a requir",False,0.4
12,APOC4,860,0.9988017713214308,0.09809694439172745,0.09125293791294098,0.65455295642217,0.11624320707474811,4,4.5035834312438965,2.460371255874634,0.0,5.133005142211914,SULT2A1,sulfotransferase family 2A member 1,This gene encodes a member of the sulfotransferase family. Sulfotransferases aid in the metabolism of drugs and endogenous compounds by converting these substances into more hydrophilic water-soluble sulfate conjugates that can be easily excreted. This protein catalyzes the sulfation of steroids and,False,0.4
13,APOC3,859,0.9987920294802228,0.06262877583503723,0.0585772804915905,0.7313646872838339,0.12389458567614375,4,4.54509973526001,2.4712133407592773,0.0,7.395840644836426,CPB2,carboxypeptidase B2,"Carboxypeptidases are enzymes that hydrolyze C-terminal peptide bonds. The carboxypeptidase family includes metallo-, serine, and cysteine carboxypeptidases. According to their substrate specificity, these enzymes are referred to as carboxypeptidase A (cleaving aliphatic residues) or carboxypeptidas",False,0.4
14,APOB,844,0.9987822876390149,0.0810491070151329,0.0795535296201706,0.6751384536425272,0.12687123577807569,4,3.7570900917053223,2.250079393386841,0.0,6.497063636779785,ITIH1,inter-alpha-trypsin inhibitor heavy chain 1,"This gene encodes a member of the inter-alpha-trypsin inhibitor family of proteins. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed to generate the heavy chain of the inter-alpha-trypsin inhibitor complex, ",False,0.2
15,MASP2,10647,0.9987676748772027,0.0899886041879654,0.0845484733581543,0.584482361872991,0.09966946062935866,4,3.703322172164917,2.233680248260498,0.0,3.831148862838745,APOC4-APOC2,APOC4-APOC2 readthrough (NMD candidate),"This locus represents naturally occurring read-through transcription between the neighboring apolipoprotein C-IV (APOC4) and apolipoprotein C-II (APOC2) genes on chromosome 19. The read-through transcript is a candidate for nonsense-mediated mRNA decay (NMD), and is thus unlikely to produce a protei",False,0.2
