rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,ROS1,15162,1.1470592020344612,0.11034300178289413,0.10720548033714294,0.5229436159133911,0.1292539247281803,4,2.533285140991211,1.8210102319717407,0.0,3.1550233364105225,ROS1,"ROS proto-oncogene 1, receptor tyrosine kinase","This proto-oncogene, highly-expressed in a variety of tumor cell lines, belongs to the sevenless subfamily of tyrosine kinase insulin receptor genes. The protein encoded by this gene is a type I integral membrane protein with tyrosine kinase activity. The protein may function as a growth or differen",True,0.8
2,CASS4,3008,0.9991670902716064,0.03939593955874443,0.03715632110834122,0.4275289873282115,0.04869486966477532,4,1.3394986391067505,1.2261992692947388,0.0,1.4863710403442383,CASS4,Cas scaffold protein family member 4,"Enables protein tyrosine kinase binding activity. Involved in several processes, including positive regulation of protein kinase B signaling; positive regulation of protein tyrosine kinase activity; and positive regulation of substrate adhesion-dependent cell spreading. Located in focal adhesion. Pa",False,0.2
3,SFTA3,15896,0.9990014789710706,0.11295613646507263,0.10564558953046799,0.5321674644947052,0.13014591815353804,4,2.519916534423828,1.8155412673950195,0.0,3.4451072216033936,SFTA3,surfactant associated 3,"Involved in wound healing. Located in cytoplasm and extracellular space. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
4,MUC21,11352,0.9989966080504666,0.06384564191102982,0.06332223117351532,0.47562500337759656,0.08580377226859848,4,2.0608370304107666,1.6139262914657593,0.0,2.2079131603240967,MUC21,"mucin 21, cell surface associated",This gene encodes a large membrane-bound glycoprotein which is a member of the mucin family. Mucins are O-glycosylated proteins that play an essential role in forming protective mucous barriers on epithelial surfaces. These proteins also play a role in intracellular signaling. The encoded protein co,False,0.2
5,NAPSA,11550,0.9989478988444267,0.15634149312973022,0.1483878642320633,0.5439569453398386,0.14975843267916966,4,2.739405870437622,1.9028090238571167,0.0,3.5793023109436035,NAPSA,napsin A aspartic peptidase,This gene encodes a member of the peptidase A1 family of aspartic proteases. The encoded preproprotein is proteolytically processed to generate an activation peptide and the mature protease. The activation peptides of aspartic proteinases function as inhibitors of the protease active site. These pep,False,0.4
6,SFTA2,15895,0.9989235442414067,0.0931987389922142,0.09003253281116486,0.5307937463124593,0.14104551012350308,4,2.5231642723083496,1.8168717622756958,0.0,3.400648355484009,SFTA2,surfactant associated 2,"Predicted to be located in Golgi apparatus; extracellular region; and transport vesicle. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
7,LGSN,9544,0.9989138024001987,0.14071230590343475,0.14172674715518951,0.464206059773763,0.08025558689467305,4,2.0485737323760986,1.608134388923645,0.0,1.877608060836792,LGSN,"lengsin, lens protein with glutamine synthetase domain",This gene encodes a protein with similarity to the GS I members of the glutamine synthetase superfamily. The encoded protein is referred to as a pseudo-glutamine synthetase because it has no glutamine synthesis activity and may function as a chaperone protein. This protein is localized to the lens a,False,0.2
8,ZDHHC16,19844,0.9988845768765748,0.03361903503537178,0.03175351023674011,0.41998420159022015,0.0494693078112185,4,1.2727711200714111,1.1844524145126343,0.0,1.3267549276351929,ZDHHC16,zDHHC palmitoyltransferase 16,"Enables palmitoyltransferase activity. Involved in protein palmitoylation. Predicted to be located in endoplasmic reticulum membrane. Predicted to be integral component of membrane. Predicted to be active in Golgi apparatus. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
9,TBX5,17773,0.9988699641147628,0.09937766939401627,0.09500721842050552,0.459154153863589,0.06905032426723268,4,1.6154038906097412,1.3870337009429932,0.0,2.1592206954956055,TBX5,T-box transcription factor 5,"This gene is a member of a phylogenetically conserved family of genes that share a common DNA-binding domain, the T-box. T-box genes encode transcription factors involved in the regulation of developmental processes. This gene is closely linked to related family member T-box 3 (ulnar mammary syndrom",False,0.2
10,TBX4,17772,0.9988602222735548,0.10057675093412399,0.09781698137521744,0.48446297148863476,0.08211420651435408,4,2.0110301971435547,1.590257167816162,0.0,2.5228590965270996,TBX4,T-box transcription factor 4,"This gene is a member of a phylogenetically conserved family of genes that share a common DNA-binding domain, the T-box. T-box genes encode transcription factors involved in the regulation of developmental processes. This gene is the human homolog of mouse Tbx4, which is closely linked to Tbx2 on mo",False,0.2
11,NUP210L,12225,0.9988602222735548,0.07890696078538895,0.07673948258161545,0.44642982880274457,0.07928642516924733,4,1.9052585363388062,1.5386666059494019,0.0,1.4876363277435303,NUP210L,nucleoporin 210 like,"Predicted to act upstream of or within Sertoli cell development and spermatid development. Predicted to be integral component of membrane. Predicted to be part of nuclear pore. [provided by Alliance of Genome Resources, Apr 2022]",False,0.4
12,FOLR1,6585,0.9988504804323468,0.040908221155405045,0.03846634551882744,0.4360775252183278,0.054660506050162594,4,1.3755303621292114,1.2482495307922363,0.0,1.7067954540252686,FOLR1,folate receptor alpha,"The protein encoded by this gene is a member of the folate receptor family. Members of this gene family bind folic acid and its reduced derivatives, and transport 5-methyltetrahydrofolate into cells. This gene product is a secreted protein that either anchors to membranes via a glycosyl-phosphatidyl",False,0.4
13,SLC46A2,16361,0.9988407385911389,0.05152391269803047,0.050053633749485016,0.45498740176359814,0.10024884095948638,4,1.8510007858276367,1.5114684104919434,0.0,1.7986212968826294,FOLR2,folate receptor beta,"The protein encoded by this gene is a member of the folate receptor (FOLR) family, and these genes exist in a cluster on chromosome 11. Members of this gene family have a high affinity for folic acid and for several reduced folic acid derivatives, and they mediate delivery of 5-methyltetrahydrofolat",False,0.4
