rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,PSMD2,14277,0.9991622193484577,0.03557450324296951,0.033707089722156525,0.43763385713100433,0.06022973838377199,4,1.6181813478469849,1.388564944267273,0.0,1.5108343362808228,PSMD2,"proteasome 26S subunit ubiquitin receptor, non-ATPase 2","The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are composed of 7 beta subunits. T",False,0.4
2,DSC3,5216,0.9990988973806058,0.03896361589431763,0.03829709067940712,0.43419766426086426,0.05872846649929686,4,1.3841909170150757,1.2534998655319214,0.0,1.641739010810852,DSC2,desmocollin 2,"This gene encodes a member of the desmocollin protein subfamily. Desmocollins, along with desmogleins, are cadherin-like transmembrane glycoproteins that are major components of the desmosome. Desmosomes are cell-cell junctions that help resist shearing forces and are found in high concentrations in",False,0.4
3,KRT74,9262,0.9990794136981898,0.09844525158405304,0.09733367711305618,0.46442876756191254,0.07695488069798606,4,2.16328763961792,1.6614247560501099,0.0,1.7695753574371338,DSC3,desmocollin 3,"The protein encoded by this gene is a calcium-dependent glycoprotein that is a member of the desmocollin subfamily of the cadherin superfamily. These desmosomal family members, along with the desmogleins, are found primarily in epithelial cells where they constitute the adhesive proteins of the desm",False,0.2
4,KRT6C,9257,0.9989722534449019,0.055601295083761215,0.05486245080828667,0.4459741860628128,0.0911829936376638,4,1.5742400884628296,1.3641467094421387,0.0,1.804985523223877,KRT74,keratin 74,Keratins are intermediate filament proteins responsible for the structural integrity of epithelial cells and are subdivided into epithelial keratins and hair keratins. This protein belongs to a family of keratins that are specifically expressed in the inner root sheath of hair follicles.[provided by,False,0.2
5,TMPRSS11A,18375,0.9989722534449019,0.07650591433048248,0.07460703700780869,0.44398896892865497,0.06987784912193473,4,1.8004357814788818,1.4856513738632202,0.0,1.5192333459854126,KRT6C,keratin 6C,"Keratins are intermediate filament proteins responsible for the structural integrity of epithelial cells and are subdivided into epithelial keratins and hair keratins. The type II keratins are clustered in a region of chromosome 12q13. [provided by RefSeq, Jul 2009].",False,0.2
6,TMPRSS11D,18378,0.9987092237322862,0.061903487890958786,0.06079576164484024,0.4343412419160207,0.07723436624506363,4,1.5660008192062378,1.359521746635437,0.0,1.4642363786697388,KRT6A,keratin 6A,The protein encoded by this gene is a member of the keratin gene family. The type II cytokeratins consist of basic or neutral proteins which are arranged in pairs of heterotypic keratin chains coexpressed during differentiation of simple and stratified epithelial tissues. As many as six of this type,False,0.2
7,TBX5,17773,0.9986556436056423,0.10562308132648468,0.10378027707338333,0.4430910398562749,0.05434206684299303,4,1.4340089559555054,1.283334493637085,0.0,1.85872220993042,TMPRSS11A,transmembrane serine protease 11A,"Predicted to enable serine-type endopeptidase activity. Predicted to be involved in proteolysis. Predicted to be located in extracellular region. Predicted to be integral component of plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
8,WNT3A,19618,0.9986215471614144,0.03725862130522728,0.03652357682585716,0.4472440779209137,0.05525534093064666,4,1.6380938291549683,1.3994959592819214,0.0,1.7792284488677979,TMPRSS11D,transmembrane serine protease 11D,"This gene encodes a trypsin-like serine protease released from the submucosal serous glands onto mucous membrane. It is a type II integral membrane protein and has 29-38% identity in the sequence of the catalytic region with human hepsin, enteropeptidase, acrosin, and mast cell tryptase. The noncata",False,0.4
9,C12orf54,1816,0.9984900323051065,0.08920680731534958,0.08592677861452103,0.4392724484205246,0.048967549349857586,4,1.7303327322006226,1.4490768909454346,0.0,1.4478408098220825,TBX5,T-box transcription factor 5,"This gene is a member of a phylogenetically conserved family of genes that share a common DNA-binding domain, the T-box. T-box genes encode transcription factors involved in the regulation of developmental processes. This gene is closely linked to related family member T-box 3 (ulnar mammary syndrom",False,0.2
10,TBX4,17772,0.9984656777020866,0.08088017255067825,0.08029930293560028,0.450204536318779,0.08210823246075782,4,1.6105207204818726,1.3843376636505127,0.0,1.8956153392791748,WNT3A,Wnt family member 3A,"The WNT gene family consists of structurally related genes which encode secreted signaling proteins. These proteins have been implicated in oncogenesis and in several developmental processes, including regulation of cell fate and patterning during embryogenesis. This gene is a member of the WNT gene",False,0.4
11,SOX2,17027,0.9984169684960467,0.040835846215486526,0.0390145368874073,0.43608420590559643,0.056846359580508876,4,1.3987741470336914,1.26229727268219,0.0,1.6837520599365234,C12orf54,chromosome 12 open reading frame 54,,False,0.0
12,KRT6B,9256,0.9984120975754426,0.038719192147254944,0.03843909129500389,0.43414955337842304,0.07796811483838217,4,1.3937448263168335,1.2592694759368896,0.0,1.630741834640503,TBX4,T-box transcription factor 4,"This gene is a member of a phylogenetically conserved family of genes that share a common DNA-binding domain, the T-box. T-box genes encode transcription factors involved in the regulation of developmental processes. This gene is the human homolog of mouse Tbx4, which is closely linked to Tbx2 on mo",False,0.2
13,GPR87,7370,0.9984023557342346,0.035293083637952805,0.03414740785956383,0.4426436424255371,0.06148331280697694,4,1.5089234113693237,1.3270684480667114,0.0,1.7703857421875,SOX2,SRY-box transcription factor 2,"This intronless gene encodes a member of the SRY-related HMG-box (SOX) family of transcription factors involved in the regulation of embryonic development and in the determination of cell fate. The product of this gene is required for stem-cell maintenance in the central nervous system, and also reg",False,0.4
14,GJB7,7046,0.9983633883694026,0.03361121937632561,0.03425578773021698,0.4403345783551534,0.05486938028422972,4,1.5619906187057495,1.3572652339935303,0.0,1.648046612739563,KRT6B,keratin 6B,The protein encoded by this gene is a member of the keratin gene family. The type II cytokeratins consist of basic or neutral proteins which are arranged in pairs of heterotypic keratin chains coexpressed during differentiation of simple and stratified epithelial tissues. As many as six of this type,False,0.2
15,BNC1,1560,0.9983049373221548,0.0376255102455616,0.0378127358853817,0.4291682293017705,0.06681513273863837,4,1.3665623664855957,1.2427929639816284,0.0,1.5084844827651978,GPR87,G protein-coupled receptor 87,"This gene encodes a G protein-coupled receptor and is located in a cluster of G protein-couple receptor genes on chromosome 3. The encoded protein has been shown to be overexpressed in lung squamous cell carcinoma (PMID:18057535) and regulated by p53 (PMID:19602589). [provided by RefSeq, Nov 2011].",False,0.2
16,KRT6A,9255,0.9982951954809467,0.06290304660797119,0.062258172780275345,0.45362287759780884,0.09075065299491492,4,1.6315548419952393,1.3959155082702637,0.0,1.9771314859390259,GJB7,gap junction protein beta 7,"Connexins, such as GJB7, are involved in the formation of gap junctions, intercellular conduits that directly connect the cytoplasms of contacting cells. Each gap junction channel is formed by docking of 2 hemichannels, each of which contains 6 connexin subunits (Sohl et al., 2003 [PubMed 12881038])",False,0.2
17,NTS,12171,0.9982318735130948,0.045078907161951065,0.0440719872713089,0.4408397028843562,0.05773497872912703,4,1.729468584060669,1.448620080947876,0.0,1.4957225322723389,ASIC2,acid sensing ion channel subunit 2,"This gene encodes a member of the degenerin/epithelial sodium channel (DEG/ENaC) superfamily. The members of this family are amiloride-sensitive sodium channels that contain intracellular N and C termini, 2 hydrophobic transmembrane regions, and a large extracellular loop, which has many cysteine re",False,0.4
18,LASS3,9422,0.9981831643070549,0.04284911975264549,0.04138864204287529,0.43731483320395154,0.06224194345011558,4,1.5569093227386475,1.3544009923934937,0.0,1.5625356435775757,BNC1,basonuclin zinc finger protein 1,This gene encodes a zinc finger protein present in the basal cell layer of the epidermis and in hair follicles. It is also found in abundance in the germ cells of testis and ovary. This protein is thought to play a regulatory role in keratinocyte proliferation and it may also be a regulator for rRNA,False,0.2
19,EGFL6,5423,0.9981685515452429,0.03303447365760803,0.0335465632379055,0.44097845753033954,0.06557294561450977,4,1.3750660419464111,1.2479676008224487,0.0,1.8542876243591309,KRT6A,keratin 6A,The protein encoded by this gene is a member of the keratin gene family. The type II cytokeratins consist of basic or neutral proteins which are arranged in pairs of heterotypic keratin chains coexpressed during differentiation of simple and stratified epithelial tissues. As many as six of this type,False,0.2
20,SOST,17015,0.9981588097040349,0.035421933978796005,0.03624282032251358,0.43620280424753827,0.04781544506197055,4,1.799261212348938,1.4850460290908813,0.0,1.28682279586792,NTS,neurotensin,"This gene encodes a common precursor for two peptides, neuromedin N and neurotensin. Neurotensin is a secreted tridecapeptide, which is widely distributed throughout the central nervous system, and may function as a neurotransmitter or a neuromodulator. It may be involved in dopamine-associated path",False,0.4
21,DSG3,5230,0.998153938783431,0.04963165894150734,0.048653654754161835,0.43999239802360535,0.07202843225666711,4,1.5112903118133545,1.328428864479065,0.0,1.6884815692901611,CERS3,ceramide synthase 3,This gene is a member of the ceramide synthase family of genes. The ceramide synthase enzymes regulate sphingolipid synthesis by catalyzing the formation of ceramides from sphingoid base and acyl-coA substrates. This family member is involved in the synthesis of ceramides with ultra-long-chain acyl ,False,0.4
22,ADH7,353,0.998124713259807,0.03947886452078819,0.03983775153756142,0.4662181983391444,0.07270883977053466,4,2.0974369049072266,1.6310749053955078,0.0,1.8891090154647827,EGFL6,EGF like domain multiple 6,"This gene encodes a member of the epidermal growth factor (EGF) repeat superfamily. Members of this superfamily are characterized by the presence of EGF-like repeats and are often involved in the regulation of cell cycle, proliferation, and developmental processes. The gene product contains a signal",False,0.2
23,SCGB1A1,15584,0.9981003586567869,0.06695199757814407,0.06442290544509888,0.449630801876386,0.07113156317658165,4,1.8158533573150635,1.4935722351074219,0.0,1.6730706691741943,SOST,sclerostin,Sclerostin is a secreted glycoprotein with a C-terminal cysteine knot-like (CTCK) domain and sequence similarity to the DAN (differential screening-selected gene aberrative in neuroblastoma) family of bone morphogenetic protein (BMP) antagonists. Loss-of-function mutations in this gene are associate,False,0.4
24,ACTL6A,234,0.998095487736183,0.04031596705317497,0.03999696671962738,0.42974449694156647,0.06689061753300463,4,1.4815616607666016,1.3112483024597168,0.0,1.4107732772827148,DSG3,desmoglein 3,"This gene encodes a member of the desmoglein family and cadherin cell adhesion molecule superfamily of proteins. Desmogleins are calcium-binding transmembrane glycoprotein components of desmosomes, cell-cell junctions between epithelial, myocardial, and other cell types. The encoded preproprotein is",False,0.2
25,KRT5,9254,0.9979883274828951,0.04572701081633568,0.04489859938621521,0.4369991521040599,0.07580099216756553,4,1.3936469554901123,1.2592103481292725,0.0,1.7163276672363281,ADH7,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide","This gene encodes class IV alcohol dehydrogenase 7 mu or sigma subunit, which is a member of the alcohol dehydrogenase family. Members of this family metabolize a wide variety of substrates, including ethanol, retinol, other aliphatic alcohols, hydroxysteroids, and lipid peroxidation products. The e",False,0.4
26,PVRL1,14427,0.9979834565622911,0.044639334082603455,0.04357331618666649,0.43250403304894763,0.05393823410395915,4,1.466640830039978,1.3025476932525635,0.0,1.508480191230774,SCGB1A1,secretoglobin family 1A member 1,"This gene encodes a member of the secretoglobin family of small secreted proteins. The encoded protein has been implicated in numerous functions including anti-inflammation, inhibition of phospholipase A2 and the sequestering of hydrophobic ligands. Defects in this gene are associated with a suscept",False,0.2
27,TP63,18532,0.9979785856416872,0.0410022959113121,0.03959989920258522,0.4541214505831401,0.06179229998041347,4,1.6426963806152344,1.4020106792449951,0.0,1.9809471368789673,ACTL6A,actin like 6A,"This gene encodes a family member of actin-related proteins (ARPs), which share significant amino acid sequence identity to conventional actins. Both actins and ARPs have an actin fold, which is an ATP-binding cleft, as a common feature. The ARPs are involved in diverse cellular processes, including",False,0.4
28,SPRR2D,17188,0.9979298764356472,0.05323578789830208,0.05315465107560158,0.4322443902492523,0.06370662566245211,4,1.468080759048462,1.303389549255371,0.0,1.4992510080337524,KRT5,keratin 5,The protein encoded by this gene is a member of the keratin gene family. The type II cytokeratins consist of basic or neutral proteins which are arranged in pairs of heterotypic keratin chains coexpressed during differentiation of simple and stratified epithelial tissues. This type II cytokeratin is,False,0.2
29,SPRR2E,17189,0.9979152636738352,0.0419110432267189,0.04239165410399437,0.41899942855040234,0.04763047228217343,4,1.31370210647583,1.2102031707763672,0.0,1.2562806606292725,NECTIN1,nectin cell adhesion molecule 1,This gene encodes an adhesion protein that plays a role in the organization of adherens junctions and tight junctions in epithelial and endothelial cells. The protein is a calcium(2+)-independent cell-cell adhesion molecule that belongs to the immunoglobulin superfamily and has 3 extracellular immun,False,0.4
30,SFTA3,15896,0.9978811672296073,0.0711928978562355,0.06881991028785706,0.4171115905046463,0.1027137955514339,4,1.2208755016326904,1.1511285305023193,0.0,1.2924721240997314,TP63,tumor protein p63,"This gene encodes a member of the p53 family of transcription factors. The functional domains of p53 family proteins include an N-terminal transactivation domain, a central DNA-binding domain and an oligomerization domain. Alternative splicing of this gene and the use of alternative promoters result",False,0.4
31,SPRR2A,17185,0.9978129743411513,0.060903191566467285,0.060842856764793396,0.43640025953451794,0.0650200314396121,4,1.545983910560608,1.3482232093811035,0.0,1.546023964881897,SPRR2D,small proline rich protein 2D,"Predicted to be involved in keratinization. Predicted to act upstream of or within female gonad development and response to estradiol. Located in cytoplasm. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
32,KRT16,9228,0.9977837488175274,0.04108854755759239,0.04042761027812958,0.42421642939249676,0.06044836520593466,4,1.2677369117736816,1.1812533140182495,0.0,1.4587560892105103,SPRR2E,small proline rich protein 2E,"This gene encodes a member of a family of small proline-rich proteins clustered in the epidermal differentiation complex on chromosome 1q21. The encoded protein, along with other family members, is a component of the cornified cell envelope that forms beneath the plasma membrane in terminally differ",False,0.2
33,NAPSA,11550,0.9977788778969233,0.08513981848955154,0.08329643309116364,0.4321548541386922,0.06640333514931474,4,1.4793919324874878,1.3099864721298218,0.0,1.4852536916732788,SFTA3,surfactant associated 3,"Involved in wound healing. Located in cytoplasm and extracellular space. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
34,SPRR1B,17184,0.9977447814526954,0.037129271775484085,0.036898981779813766,0.43154184023539227,0.07436892971297149,4,1.4226775169372559,1.2766023874282837,0.0,1.5235776901245117,SPRR2A,small proline rich protein 2A,"Predicted to be involved in keratinization. Located in cytoplasm. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
35,PKP1,13505,0.9977058140878634,0.04234777018427849,0.0398494116961956,0.4359914114077886,0.057087387887492014,4,1.4085806608200073,1.2681833505630493,0.0,1.6711616516113281,KRT16,keratin 16,The protein encoded by this gene is a member of the keratin gene family. The keratins are intermediate filament proteins responsible for the structural integrity of epithelial cells and are subdivided into cytokeratins and hair keratins. Most of the type I cytokeratins consist of acidic proteins whi,False,0.4
36,C3orf21,2461,0.9976863304054475,0.033906687051057816,0.0330965556204319,0.432043398420016,0.07484045565457809,4,1.5218751430511475,1.3344968557357788,0.0,1.4394267797470093,NAPSA,napsin A aspartic peptidase,This gene encodes a member of the peptidase A1 family of aspartic proteases. The encoded preproprotein is proteolytically processed to generate an activation peptide and the mature protease. The activation peptides of aspartic proteinases function as inhibitors of the protease active site. These pep,False,0.4
37,SFTPD,15901,0.9976473630406155,0.07434185594320297,0.0715688019990921,0.4294426093498866,0.05862619679187597,4,1.4817426204681396,1.3113534450531006,0.0,1.4015357494354248,SPRR1B,small proline rich protein 1B,"The protein encoded by this gene is an envelope protein of keratinocytes. The encoded protein is crosslinked to membrane proteins by transglutaminase, forming an insoluble layer under the plasma membrane. This protein is proline-rich and contains several tandem amino acid repeats. [provided by RefSe",False,0.2
38,CALML3,2908,0.9975889119933676,0.09103117138147354,0.08909713476896286,0.4382530748844147,0.057569038051667354,4,1.50556218624115,1.3251343965530396,0.0,1.6420300006866455,PKP1,plakophilin 1,"This gene encodes a member of the arm-repeat (armadillo) and plakophilin gene families. Plakophilin proteins contain numerous armadillo repeats, localize to cell desmosomes and nuclei, and participate in linking cadherins to intermediate filaments in the cytoskeleton. This protein may be involved in",False,0.2
