rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,CPA4,4157,0.9617470909610739,0.050996314734220505,0.05216124281287193,0.5305016338825226,0.027058922436565602,4,2.798534870147705,1.9254430532455444,0.0,3.116514205932617,CPA4,carboxypeptidase A4,"This gene is a member of the carboxypeptidase A/B subfamily, and it is located in a cluster with three other family members on chromosome 7. Carboxypeptidases are zinc-containing exopeptidases that catalyze the release of carboxy-terminal amino acids, and are synthesized as zymogens that are activat",False,0.2
2,ALDH1A2,536,0.9560229948145893,0.025217121466994286,0.025664662942290306,0.5177234510580698,0.024621714129930528,4,2.609886407852173,1.851953387260437,0.0,2.9218170642852783,ALDH1A2,aldehyde dehydrogenase 1 family member A2,"This protein belongs to the aldehyde dehydrogenase family of proteins. The product of this gene is an enzyme that catalyzes the synthesis of retinoic acid (RA) from retinaldehyde. Retinoic acid, the active derivative of vitamin A (retinol), is a hormonal signaling molecule that functions in developi",False,0.4
3,HAS1,7636,0.9558388829034352,0.0565732941031456,0.05780385062098503,0.5860774715741476,0.024734223929017363,4,3.7229952812194824,2.239701986312866,0.0,3.8593289852142334,HNF1A-AS1,HNF1A antisense RNA 1,,False,0.0
4,ITLN1,8661,0.9517136697000159,0.07509136199951172,0.07818275690078735,0.5642688969771067,0.022624380294157254,4,3.879525899887085,2.286741018295288,0.0,3.0485410690307617,DDX18,DEAD-box helicase 18,"DEAD box proteins, characterized by the conserved motif Asp-Glu-Ala-Asp (DEAD), are putative RNA helicases. They are implicated in a number of cellular processes involving alteration of RNA secondary structure such as translation initiation, nuclear and mitochondrial splicing, and ribosome and splic",False,0.2
5,TBX18,17765,0.9514596779683362,0.022421902045607567,0.022644037380814552,0.4673630545536677,0.022105863961368932,4,1.7411983013153076,1.4548066854476929,0.0,2.279693365097046,HAS1,hyaluronan synthase 1,"Hyaluronan or hyaluronic acid (HA) is a high molecular weight unbranched polysaccharide synthesized by a wide variety of organisms from bacteria to mammals, and is a constituent of the extracellular matrix. It consists of alternating glucuronic acid and N-acetylglucosamine residues that are linked b",False,0.2
6,CALB2,2894,0.9493967793307474,0.03695322573184967,0.03762754797935486,0.5433455606301626,0.021283049114401154,4,3.002767562866211,2.00099778175354,0.0,3.2975993156433105,ITLN1,intelectin 1,Enables calcium ion binding activity; identical protein binding activity; and oligosaccharide binding activity. Involved in positive regulation of glucose import; positive regulation of protein phosphorylation; and protein homotrimerization. Located in extracellular exosome. Part of receptor complex,False,0.2
7,UPK3B,19212,0.9489979229616694,0.07845965772867203,0.08041522651910782,0.5397831201553345,0.021054571340328287,4,3.0239098072052,2.0085978507995605,0.0,3.169583797454834,TBX18,T-box transcription factor 18,This genes codes for a member of an evolutionarily conserved family of transcription factors that plays a crucial role in embryonic development. The family is characterized by the presence of the DNA-binding T-box domain and is divided into five sub-families based on sequence conservation in this do,False,0.2
8,TNFRSF8,18434,0.9471258021107359,0.017347998917102814,0.017781008034944534,0.4804641505082448,0.0206709638361271,4,2.2384448051452637,1.6953011751174927,3.1527295860370955e-42,2.1754796504974365,CALB2,calbindin 2,"This gene encodes an intracellular calcium-binding protein belonging to the troponin C superfamily. Members of this protein family have six EF-hand domains which bind calcium. This protein plays a role in diverse cellular functions, including message targeting and intracellular calcium buffering. It",False,0.2
9,VTN,19450,0.9460612384127799,0.024189308285713196,0.024042511358857155,0.4768645664056142,0.019651983589729527,4,1.9565067291259766,1.5638935565948486,3.1527295860370955e-42,2.3494303226470947,UPK3B,uroplakin 3B,"UPK3B is a minor component of the apical plaques of mammalian urothelium that binds and dimerizes with uroplakin-1b (UPK1B; MIM 602380), one of the major conserved urothelium membrane proteins. The other major conserved integral membrane proteins of urothelial plaques are UPK1A (MIM 611557), UPK2 (M",False,0.2
10,PDIA2,13174,0.9448996661016063,0.04498157650232315,0.045502305030822754,0.48757890860239667,0.01958086049213903,4,2.3916001319885254,1.7619661092758179,8.9090036044145e-41,2.235767126083374,TNFRSF8,TNF receptor superfamily member 8,"The protein encoded by this gene is a member of the TNF-receptor superfamily. This receptor is expressed by activated, but not by resting, T and B cells. TRAF2 and TRAF5 can interact with this receptor, and mediate the signal transduction that leads to the activation of NF-kappaB. This receptor is a",False,0.4
