rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,WT1,19637,0.9988602223525671,0.09356719255447388,0.09158910065889359,0.5618159671624502,0.12613107507567634,4,2.837312698364258,1.940096378326416,0.0,4.0171661376953125,WT1,WT1 transcription factor,"This gene encodes a transcription factor that contains four zinc-finger motifs at the C-terminus and a proline/glutamine-rich DNA-binding domain at the N-terminus. It has an essential role in the normal development of the urogenital system, and it is mutated in a small subset of patients with Wilms ",False,0.4
2,TMEM14E,18191,0.9987530620992792,0.05535375699400902,0.0537383109331131,0.45049239695072174,0.10110850747323918,4,1.673066258430481,1.418495535850525,0.0,1.841705560684204,TMEM14EP,"transmembrane protein 14E, pseudogene","Predicted to be involved in mitochondrial transport. Predicted to be integral component of membrane. Predicted to be active in mitochondrial inner membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
3,GAGE12J,6806,0.9987481911786752,0.08998595923185349,0.08695346117019653,0.5176477481921514,0.09027518515249433,4,2.3705692291259766,1.7529922723770142,0.0,3.158863067626953,GAGE12J,G antigen 12J,,False,0.0
4,LOC29034,9943,0.9985533543545154,0.06254274398088455,0.06216197833418846,0.480017085870107,0.09840923221332876,4,1.8083909749984741,1.4897438287734985,0.0,2.5921216011047363,LOC29034,Unknown,,False,0.0
5,WIT1,19603,0.9983974848951876,0.11237628012895584,0.11011161655187607,0.571852296590805,0.10921149679413444,4,3.04295015335083,2.015408515930176,0.0,4.112618923187256,WT1-AS,WT1 antisense RNA,"This gene is located upstream of the Wilms tumor 1 (WT1) gene; these two genes are bi-directionally transcribed from the same promoter region. This gene is imprinted in kidney, with preferential expression from the paternal allele. Imprinting defects at chromosome 11p13 may contribute to tumorigenes",False,0.2
6,SOX17,17024,0.9982708409594838,0.09330576658248901,0.08841031789779663,0.5250315318504969,0.09419969654411697,4,2.4319331645965576,1.7790215015411377,0.0,3.3190128803253174,SOX17,SRY-box transcription factor 17,This gene encodes a member of the SOX (SRY-related HMG-box) family of transcription factors involved in the regulation of embryonic development and in the determination of the cell fate. The encoded protein may act as a transcriptional regulator after forming a protein complex with other proteins. [,False,0.4
7,NPFFR1,12034,0.9982513572770678,0.07054729014635086,0.07017001509666443,0.5087831815083822,0.09398786277334548,4,2.837599277496338,1.9402040243148804,0.0,2.425896167755127,NPFFR1,neuropeptide FF receptor 1,"Predicted to enable G protein-coupled receptor activity and peptide binding activity. Predicted to be involved in G protein-coupled receptor signaling pathway. Located in cilium. [provided by Alliance of Genome Resources, Apr 2022]",False,0.4
8,TCF23,17804,0.9981734225474039,0.08455154299736023,0.08206508308649063,0.47198008994261426,0.08556552556557673,4,2.415573835372925,1.7721279859542847,0.0,1.7438287734985352,TCF23,transcription factor 23,The gene encodes a member of the basic helix-loop-helix transcription factor family. Studies of the orthologous gene in mouse have shown the encoded protein does not bind DNA but may negatively regulate other basic helix-loop-helix factors via the formation of a functionally inactive heterodimeric c,False,0.2
9,KLHL14,9139,0.9981588097855919,0.05326462909579277,0.05052396282553673,0.5116411497195562,0.09353190813434065,4,2.2570605278015137,1.7035704851150513,0.0,3.0921740531921387,KLHL14,kelch like family member 14,"The protein encoded by this gene is a member of the Kelch-like gene family, whose members contain a BTB/POZ domain, a BACK domain, and several Kelch domains. The encoded protein possesses six Kelch domains and localizes to the endoplasmic reticulum, where it interacts with torsin-1A. [provided by Re",False,0.2
10,SNORA12,16608,0.998061391373512,0.2294183224439621,0.2213340550661087,0.49381375312805176,0.08375542871902075,4,2.9569294452667236,1.9843813180923462,0.0,1.857483148574829,SNORA12,"small nucleolar RNA, H/ACA box 12","Small nucleolar RNAs (snoRNAs) are small noncoding RNAs involved in RNA processing. Box H/ACA snoRNAs, such as SNORA12, direct the conversion of uridine to pseudouridine at specific residues of ribosomal RNAs or small nuclear RNAs (snRNAs) (Gu et al., 2005).[supplied by OMIM, Mar 2008].",False,0.2
11,LOC285205,9913,0.9980126821674721,0.1603953242301941,0.15659676492214203,0.5341961979866028,0.09165359154721875,4,3.3368051052093506,2.1166326999664307,0.0,2.6890807151794434,LOC285205,Unknown,,False,0.0
12,AAA1,37,0.9980078112468681,0.04603416472673416,0.04360988736152649,0.4601866950591405,0.0913919836374033,4,1.6442116498947144,1.4028377532958984,0.0,2.161389112472534,AAA1,"aortic aneurysm, familial abdominal 1",,False,0.0
13,ASB18,1092,0.9975791702337166,0.12542115151882172,0.1213337630033493,0.5034495641787847,0.09281493831773435,4,2.4300808906555176,1.778242588043213,0.0,2.6734061241149902,NPSR1-AS1,NPSR1 antisense RNA 1,This gene is located within a region that has been associated with asthma susceptibility. The locus is considered non-protein-coding based on lack of protein homology and a lack of experimental support for an encoded protein. Three alternatively spliced transcript variants have been identified for t,False,0.2
14,OR2D3,12462,0.9973015277592889,0.1946820616722107,0.18854548037052155,0.6206206878026327,0.09216518035193677,4,3.538341999053955,2.1821653842926025,0.0,5.080278396606445,ASB18,ankyrin repeat and SOCS box containing 18,The protein encoded by this gene is a member of the ankyrin repeat and SOCS box-containing (ASB) family of proteins. They contain ankyrin repeat sequence and a SOCS box domain. The SOCS box serves to couple suppressor of cytokine signalling (SOCS) proteins and their binding partners with the elongin,False,0.2
15,KCNK15,8814,0.9971066909351292,0.051522597670555115,0.048658303916454315,0.48271768788496655,0.08492399280018459,4,1.9751192331314087,1.572947382926941,0.0,2.50641131401062,OR2D3,olfactory receptor family 2 subfamily D member 3,"Olfactory receptors interact with odorant molecules in the nose, to initiate a neuronal response that triggers the perception of a smell. The olfactory receptor proteins are members of a large family of G-protein-coupled receptors (GPCR) arising from single coding-exon genes. Olfactory receptors sha",False,0.4
16,FKSG29,6460,0.9968400203728134,0.07202468067407608,0.07105593383312225,0.49087994794050854,0.08283580349883835,4,2.231062173843384,1.6920084953308105,0.0,2.4953362941741943,KCNK15,potassium two pore domain channel subfamily K member 15,"This gene encodes one of the members of the superfamily of potassium channel proteins containing two pore-forming P domains. The product of this gene has not been shown to be a functional channel, however, it may require other non-pore-forming proteins for activity. [provided by RefSeq, Jul 2008].",False,0.2
17,APOA1,839,0.9965466065148023,0.04853767901659012,0.04735492542386055,0.4634457031885783,0.0827803483904439,4,1.7461090087890625,1.4573888778686523,0.0,2.157262086868286,FKSG29,FKSG29,,False,0.0
