rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,TRY6,18759,0.9994690871928997,0.1251785159111023,0.12045447528362274,0.5190231204032898,0.04027851438765495,4,3.346888303756714,2.119983196258545,0.0,2.2238051891326904,PRSS3P2,PRSS3 pseudogene 2,"Although this locus appears to encode a protein similar to trypsinogen, the locus is thought to be a transcribed pseudogene. ESTs support its transcription, but expression of its predicted protein has not been observed. Its predicted protein sequence differs significantly from the known functional t",False,0.2
2,IAPP,8210,0.9992060574802841,0.38954460620880127,0.37946537137031555,0.5576803237199783,0.048975661973290396,4,4.635830402374268,2.4946281909942627,0.0,2.0945792198181152,IAPP,islet amyloid polypeptide,This gene encodes a member of the calcitonin family of peptide hormones. This hormone is released from pancreatic beta cells following food intake to regulate blood glucose levels and act as a satiation signal. Human patients with type 1 and advanced type 2 diabetes exhibit reduced levels of the enc,False,0.4
3,TTR,18902,0.9989673823706884,0.09059227257966995,0.08755819499492645,0.49130205313364667,0.03274134377405624,4,2.3869550228118896,1.759988784790039,0.0,2.3521065711975098,TTR,transthyretin,"This gene encodes one of the three prealbumins, which include alpha-1-antitrypsin, transthyretin and orosomucoid. The encoded protein, transthyretin, is a homo-tetrameric carrier protein, which transports thyroid hormones in the plasma and cerebrospinal fluid. It is also involved in the transport of",False,0.4
4,IGFL2,8329,0.9989381568470644,0.04422086104750633,0.041043609380722046,0.4405294954776764,0.03204748759802145,4,1.582659363746643,1.3688572645187378,0.0,1.6332255601882935,IGFL2,IGF like family member 2,"IGFL2 belongs to the insulin-like growth factor (IGF; see MIM 147440) family of signaling molecules that play critical roles in cellular energy metabolism and in growth and development, especially prenatal growth (Emtage et al., 2006 [PubMed 16890402]).[supplied by OMIM, Mar 2008].",False,0.2
5,UGT1A10,19144,0.9989089313234405,0.04214140400290489,0.04010049253702164,0.45809148748715717,0.026671310087549083,4,1.8256021738052368,1.4985582828521729,0.0,1.917142391204834,UGT1A10,UDP glucuronosyltransferase family 1 member A10,"This gene encodes a UDP-glucuronosyltransferase, an enzyme of the glucuronidation pathway that transforms small lipophilic molecules, such as steroids, bilirubin, hormones, and drugs, into water-soluble, excretable metabolites. This gene is part of a complex locus that encodes several UDP-glucuronos",False,0.4
6,CELA3B,3561,0.9988309965937765,0.24369367957115173,0.2356441468000412,0.5669729461272558,0.04928788461627498,4,5.243699073791504,2.6424009799957275,0.0,1.7654894590377808,CELA3B,chymotrypsin like elastase 3B,"Elastases form a subfamily of serine proteases that hydrolyze many proteins in addition to elastin. Humans have six elastase genes which encode the structurally similar proteins elastase 1, 2, 2A, 2B, 3A, and 3B. Unlike other elastases, elastase 3B has little elastolytic activity. Like most of the h",False,0.4
7,GPR119,7286,0.9988115129113606,0.2743179202079773,0.26698338985443115,0.5338709851106008,0.038716465328269,4,4.433434009552002,2.441864252090454,0.0,1.582695484161377,GPR119,G protein-coupled receptor 119,This gene encodes a member of the rhodopsin subfamily of G-protein-coupled receptors that is expressed in the pancreas and gastrointestinal tract. The encoded protein is activated by lipid amides including lysophosphatidylcholine and oleoylethanolamide and may be involved in glucose homeostasis. Thi,False,0.4
8,CELA3A,3560,0.9987920292289446,0.2772962749004364,0.26807013154029846,0.5890099406242371,0.05384862542238977,4,5.623782157897949,2.7276551723480225,0.0,2.046515941619873,CELA3A,chymotrypsin like elastase 3A,"Elastases form a subfamily of serine proteases that hydrolyze many proteins in addition to elastin. Humans have six elastase genes which encode the structurally similar proteins elastase 1, 2, 2A, 2B, 3A, and 3B. Unlike other elastases, elastase 3A has little elastolytic activity. Like most of the h",False,0.4
9,FFAR1,6366,0.9987384491023006,0.20392948389053345,0.20229333639144897,0.5203853299220403,0.03906271607500811,4,3.849501848220825,2.277836561203003,0.0,1.7620580196380615,FFAR1,free fatty acid receptor 1,This gene encodes a member of the GP40 family of G protein-coupled receptors that are clustered together on chromosome 19. The encoded protein is a receptor for medium and long chain free fatty acids and may be involved in the metabolic regulation of insulin secretion. Polymorphisms in this gene may,False,0.4
10,GPBAR1,7247,0.9987189654198847,0.026792965829372406,0.026913708075881004,0.47725896537303925,0.030069339093681036,4,2.0001213550567627,1.585020899772644,0.0,2.317647695541382,GPBAR1,G protein-coupled bile acid receptor 1,"This gene encodes a member of the G protein-coupled receptor (GPCR) superfamily. This enzyme functions as a cell surface receptor for bile acids. Treatment of cells expressing this GPCR with bile acids induces the production of intracellular cAMP, activation of a MAP kinase signaling pathway, and in",False,0.2
11,C14orf105,1858,0.9986605143726367,0.02292618528008461,0.022107131779193878,0.4489255448182424,0.03498816670577365,4,1.5502432584762573,1.3506349325180054,0.0,1.9175231456756592,CCDC198,coiled-coil domain containing 198,,False,0.0
12,FGF19,6386,0.9986507725314288,0.023395292460918427,0.023777730762958527,0.45956069231033325,0.02911543063644162,4,1.9407308101654053,1.5561747550964355,0.0,1.8460899591445923,FGF19,fibroblast growth factor 19,"The protein encoded by this gene is a member of the fibroblast growth factor (FGF) family. FGF family members possess broad mitogenic and cell survival activities, and are involved in a variety of biological processes including embryonic development cell growth, morphogenesis, tissue repair, tumor g",False,0.4
13,PNLIP,13682,0.9986264179284088,0.3783925771713257,0.3630029261112213,0.587485005458196,0.05438110169501953,4,5.699265480041504,2.7440028190612793,0.0,1.9252846240997314,PNLIP,pancreatic lipase,"This gene encodes a member of the lipase family of proteins. The encoded enzyme is secreted by the pancreas and hydrolyzes triglycerides in the small intestine, and is essential for the efficient digestion of dietary fats. Inhibition of the encoded enzyme may prevent high-fat diet-induced obesity in",False,0.4
14,GP2,7234,0.9986215470078048,0.053723372519016266,0.05077050253748894,0.45208502809206647,0.0309492078697029,4,1.9563218355178833,1.5638033151626587,0.0,1.6062289476394653,GP2,glycoprotein 2,"This gene encodes an integral membrane protein that is secreted from intracellular zymogen granules and associates with the plasma membrane via glycosylphosphatidylinositol (GPI) linkage. The encoded protein binds pathogens such as enterobacteria, thereby playing an important role in the innate immu",False,0.2
15,SLC30A8,16277,0.9985874505635768,0.14859940111637115,0.14377504587173462,0.4992079536120097,0.04061451511315961,4,2.713944435119629,1.8929522037506104,0.0,2.262294292449951,SLC30A8,solute carrier family 30 member 8,"The protein encoded by this gene is a zinc efflux transporter involved in the accumulation of zinc in intracellular vesicles. This gene is expressed at a high level only in the pancreas, particularly in islets of Langerhans. The encoded protein colocalizes with insulin in the secretory pathway granu",False,0.2
16,PLA2G1B,13516,0.9985781881469434,0.1119164377450943,0.11030909419059753,0.4849557081858317,0.0363787278148473,4,2.9723269939422607,1.989984393119812,0.0,1.57634437084198,PLA2G1B,phospholipase A2 group IB,"This gene encodes a secreted member of the phospholipase A2 (PLA2) class of enzymes, which is produced by the pancreatic acinar cells. The encoded calcium-dependent enzyme catalyzes the hydrolysis of the sn-2 position of membrane glycerophospholipids to release arachidonic acid (AA) and lysophosphol",False,0.4
17,BCL2L15,1449,0.9985533541193489,0.02751772850751877,0.02694159932434559,0.4610656301180522,0.0280764336181194,4,1.74039626121521,1.4543845653533936,0.0,2.0915725231170654,BCL2L15,BCL2 like 15,"Predicted to be involved in apoptotic process and regulation of apoptotic process. Predicted to be active in cytosol and nucleus. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
18,CELA2A,3558,0.9985484831987449,0.32225117087364197,0.31052300333976746,0.5737050920724869,0.05257902055530317,4,5.569029331207275,2.7156801223754883,0.0,1.6421233415603638,CELA2A,chymotrypsin like elastase 2A,"Elastases form a subfamily of serine proteases that hydrolyze many proteins in addition to elastin. Humans have six elastase genes which encode the structurally similar proteins elastase 1, 2, 2A, 2B, 3A, and 3B. Like most of the human elastases, elastase 2A is secreted from the pancreas as a zymoge",False,0.4
19,PNLIPRP1,13683,0.9985436122781408,0.2647029459476471,0.2528606355190277,0.5715745389461517,0.05140148691088542,4,5.4937520027160645,2.699052333831787,0.0,1.6534843444824219,PNLIPRP1,pancreatic lipase related protein 1,"Predicted to enable calcium ion binding activity. Predicted to be involved in lipid catabolic process. Predicted to be located in extracellular region. Biomarker of prostate cancer. [provided by Alliance of Genome Resources, Apr 2022]",False,0.4
20,DPCR1,5157,0.998480290310289,0.06870672106742859,0.068190798163414,0.5102962553501129,0.036778074566096386,4,2.9061098098754883,1.965732455253601,0.0,2.402777910232544,MUCL3,mucin like 3,"Predicted to be located in cytoplasm and plasma membrane. Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
21,OLFM4,12320,0.998480290310289,0.032922614365816116,0.03218206763267517,0.46674736340840656,0.0330775939625334,4,1.8835389614105225,1.527840495109558,0.0,2.118881940841675,OLFM4,olfactomedin 4,This gene was originally cloned from human myeloblasts and found to be selectively expressed in inflammed colonic epithelium. This gene encodes a member of the olfactomedin family. The encoded protein is an antiapoptotic factor that promotes tumor growth and is an extracellular matrix glycoprotein t,False,0.2
22,G6PC2,6759,0.9983633882157931,0.3080148696899414,0.2982833683490753,0.5546883145968119,0.049146736563835614,4,4.349445819854736,2.419389486312866,0.0,2.291203737258911,G6PC2,glucose-6-phosphatase catalytic subunit 2,"This gene encodes an enzyme belonging to the glucose-6-phosphatase catalytic subunit family. These enzymes are part of a multicomponent integral membrane system that catalyzes the hydrolysis of glucose-6-phosphate, the terminal step in gluconeogenic and glycogenolytic pathways, allowing the release ",False,0.4
23,CASR,3007,0.9983439045333771,0.12075366079807281,0.11877401173114777,0.5257529815038046,0.04777904750466844,4,2.884572744369507,1.9577559232711792,0.0,2.888016700744629,CASR,calcium sensing receptor,"The protein encoded by this gene is a plasma membrane G protein-coupled receptor that senses small changes in circulating calcium concentration. The encoded protein couples this information to intracellular signaling pathways that modify parathyroid hormone secretion or renal cation handling, and th",False,0.4
24,LPCAT4,10221,0.9983244208509612,0.024207990616559982,0.024298066273331642,0.44833072523276013,0.028323168295502743,4,1.6896506547927856,1.4274187088012695,0.0,1.7602710723876953,MBOAT2,membrane bound glycerophospholipid O-acyltransferase 2,Enables 1-acylglycerophosphocholine O-acyltransferase activity; 1-acylglycerophosphoethanolamine O-acyltransferase activity; and 1-acylglycerophosphoserine O-acyltransferase activity. Involved in phosphatidylcholine acyl-chain remodeling; phosphatidylethanolamine acyl-chain remodeling; and phosphati,False,0.4
25,GLP2R,7087,0.9983000662479412,0.10518886893987656,0.10263321548700333,0.4853755980730057,0.026580036096681248,4,2.4634339809417725,1.7922031879425049,0.0,2.0978338718414307,LPCAT4,lysophosphatidylcholine acyltransferase 4,"Members of the 1-acylglycerol-3-phosphate O-acyltransferase (EC 2.3.1.51) family, such as AGPAT7, catalyze the conversion of lysophosphatidic acid (LPA) to phosphatidic acid (PA), a precursor in the biosynthesis of all glycerolipids. Both LPA and PA are involved in signal transduction (Ye et al., 20",False,0.4
26,UCN3,19128,0.9982708407243173,0.07716429978609085,0.07534196227788925,0.48724691073099774,0.030964156634816664,4,2.544459104537964,1.8255654573440552,0.0,2.0729482173919678,GLP2R,glucagon like peptide 2 receptor,"This gene encodes a G protein-coupled receptor that is closely related to the glucagon receptor and binds to glucagon-like peptide-2 (GLP2). Signalling through GLP2 stimulates intestinal growth and increases villus height in the small intestine, concomitant with increased crypt cell proliferation an",False,0.4
27,CLPS,3914,0.9982513570419013,0.2677338421344757,0.25551605224609375,0.5665508906046549,0.05235018231837674,4,5.1783223152160645,2.6272151470184326,0.0,1.8182045221328735,UCN3,urocortin 3,"This gene encodes a member of the sauvagine/corticotropin-releasing factor/urotensin I family of proteins. The encoded preproprotein is proteolytically processed to generate the mature peptide hormone, which is secreted by pancreatic beta and alpha cells. This hormone is an endogenous ligand for cor",False,0.4
28,CLDN18,3836,0.9982318733594853,0.04989110305905342,0.05025191232562065,0.4798627744118373,0.04185315767142983,4,2.2594032287597656,1.7046078443527222,0.0,2.1364800930023193,CLPS,colipase,"The protein encoded by this gene is a cofactor needed by pancreatic lipase for efficient dietary lipid hydrolysis. It binds to the C-terminal, non-catalytic domain of lipase, thereby stabilizing an active conformation and considerably increasing the overall hydrophobic binding site. The gene product",False,0.4
29,KCNK16,8815,0.9982221315182773,0.33021262288093567,0.32222092151641846,0.5617768168449402,0.04528357888288892,4,4.5030412673950195,2.4602291584014893,0.0,2.3502633571624756,CLDN18,claudin 18,This gene encodes a member of the claudin family. Claudins are integral membrane proteins and components of tight junction strands. Tight junction strands serve as a physical barrier to prevent solutes and water from passing freely through the paracellular space between epithelial or endothelial cel,False,0.4
30,TM4SF4,18092,0.9982026478358613,0.0358986034989357,0.036304693669080734,0.5127984136343002,0.03809520217096751,4,2.4019222259521484,1.7663501501083374,0.0,2.982030153274536,KCNK16,potassium two pore domain channel subfamily K member 16,The protein encoded by this gene belongs to the family of potassium channel proteins containing two pore-forming P domains. This channel is an open rectifier which primarily passes outward current under physiological K+ concentrations. This gene is expressed predominantly in the pancreas and is acti,False,0.2
31,PLA2G10,13511,0.9981913759539041,0.039546601474285126,0.0385209284722805,0.4456072946389516,0.026161017234712203,4,1.598581075668335,1.377724051475525,0.0,1.7696378231048584,TM4SF4,transmembrane 4 L six family member 4,"The protein encoded by this gene is a member of the transmembrane 4 superfamily, also known as the tetraspanin family. Most of these members are cell-surface proteins that are characterized by the presence of four hydrophobic domains. The proteins mediate signal transduction events that play a role ",False,0.2
32,INS,8507,0.9981880350740493,0.5585246086120605,0.5453965067863464,0.6593431333700815,0.07496802435310324,4,6.354584217071533,2.878643751144409,0.0,3.4257099628448486,PLA2G10,phospholipase A2 group X,"This gene encodes a member of the phospholipase A2 family of proteins. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed to generate the mature enzyme. This calcium-dependent enzyme hydrolyzes glycerophosphol",False,0.4
33,PDX1,13202,0.9981880350740493,0.044413283467292786,0.04405117407441139,0.5016981313625971,0.03718131864852725,4,2.2107415199279785,1.6829065084457397,0.0,2.840202569961548,INS,insulin,"This gene encodes insulin, a peptide hormone that plays a vital role in the regulation of carbohydrate and lipid metabolism. After removal of the precursor signal peptide, proinsulin is post-translationally cleaved into three peptides: the B chain and A chain peptides, which are covalently linked vi",False,0.4
34,NEUROD1,11798,0.9981490677092173,0.10420623421669006,0.10141154378652573,0.4932512789964676,0.02781734304958139,4,2.602999448776245,1.8491984605789185,0.0,2.1945388317108154,PDHX,pyruvate dehydrogenase complex component X,"The pyruvate dehydrogenase (PDH) complex is located in the mitochondrial matrix and catalyzes the conversion of pyruvate to acetyl coenzyme A. The PDH complex thereby links glycolysis to Krebs cycle. The PDH complex contains three catalytic subunits, E1, E2, and E3, two regulatory subunits, E1 kinas",False,0.2
35,ST8SIA3,17330,0.9981490677092173,0.048488833010196686,0.048380304127931595,0.47417737543582916,0.03290531597820223,4,2.0608155727386475,1.6139161586761475,0.0,2.16450572013855,PDX1,pancreatic and duodenal homeobox 1,"The protein encoded by this gene is a transcriptional activator of several genes, including insulin, somatostatin, glucokinase, islet amyloid polypeptide, and glucose transporter type 2. The encoded nuclear protein is involved in the early development of the pancreas and plays a major role in glucos",False,0.4
36,ONECUT2,12334,0.9981247131061974,0.03620366007089615,0.03522934019565582,0.4565209100643794,0.03318769419258549,4,1.675944209098816,1.4200481176376343,0.0,2.0196831226348877,NEUROD1,neuronal differentiation 1,"This gene encodes a member of the NeuroD family of basic helix-loop-helix (bHLH) transcription factors. The protein forms heterodimers with other bHLH proteins and activates transcription of genes that contain a specific DNA sequence known as the E-box. It regulates expression of the insulin gene, a",False,0.4
37,CXCL5,4480,0.9981149712649894,0.03982733190059662,0.03871464356780052,0.43995286524295807,0.030808475949956282,4,1.5659512281417847,1.3594938516616821,0.0,1.6326347589492798,ST8SIA3,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3","ST8SIA3 belongs to a family of sialyltransferases that form sialyl-alpha-2,8-sialyl-R linkages at the nonreducing termini of glycoconjugates (Lee et al., 1998 [PubMed 9826427]).[supplied by OMIM, Mar 2008]",False,0.2
