rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,DGKK,4893,0.9994349909199481,0.11108934134244919,0.10076890140771866,0.6112769842147827,0.06995420005372543,4,4.748156547546387,2.523099422454834,0.0,3.5901529788970947,DGKK,diacylglycerol kinase kappa,"The protein encoded by this gene is an enzyme that phosphorylates diacylglycerol, converting it to phosphatidic acid. The encoded protein is a membrane protein and is inhibited by hydrogen peroxide. Variations in this gene have been associated with hypospadias. [provided by RefSeq, Mar 2011].",False,0.4
2,RAB3C,14525,0.9991183810806885,0.0373220294713974,0.03429163992404938,0.5800023178259531,0.05348739237786804,4,3.18157696723938,2.06404709815979,0.0,4.21849250793457,RAB3C,"RAB3C, member RAS oncogene family","This gene is a member of the RAS oncogene family and encodes a small GTPase. Other similar small GTPases are known to be involved in vesicle trafficking, and the encoded protein was shown to play a role in recycling phagocytosed MHC class 1 complexes to the cell surface. Two transcript variants enco",False,0.2
3,GNG3,7166,0.9990842846364606,0.05377673730254173,0.051719412207603455,0.560697615146637,0.05355850675851048,4,3.262981653213501,2.091862678527832,0.0,3.5579466819763184,GNG3,G protein subunit gamma 3,"Guanine nucleotide binding proteins are heterotrimeric signal-transducing molecules consisting of alpha, beta, and gamma subunits. The gamma subunit determines the specificity of which signaling pathways will be affected by this particular complex. The protein encoded by this gene represents the gam",False,0.4
4,PRPH,14144,0.9990794137158565,0.03499825671315193,0.03419412299990654,0.5396400392055511,0.058813789490978374,4,2.9889533519744873,1.9960103034973145,0.0,3.2002477645874023,PRPH2,peripherin 2,"The protein encoded by this gene is a member of the transmembrane 4 superfamily, also known as the tetraspanin family. Most of these members are cell-surface proteins that are characterized by the presence of four hydrophobic domains. The proteins mediate signal transduction events that play a role ",False,0.2
5,GPR61,7355,0.9990550591128367,0.05101225897669792,0.04562287777662277,0.5681602954864502,0.054779262394457406,4,3.299743890762329,2.10425066947937,0.0,3.7450649738311768,PRPH,peripherin,"This gene encodes a cytoskeletal protein found in neurons of the peripheral nervous system. The encoded protein is a type III intermediate filament protein with homology to other cytoskeletal proteins such as desmin, and is a different protein that the peripherin found in photoreceptors. Mutations i",False,0.4
6,SCG2,15581,0.9990258335892126,0.04911360144615173,0.04542523995041847,0.6159271498521169,0.08399517296305259,4,3.5361645221710205,2.1814727783203125,0.0,4.941649913787842,GPR61,G protein-coupled receptor 61,"This gene belongs to the G-protein coupled receptor 1 family. G protein-coupled receptors contain 7 transmembrane domains and transduce extracellular signals through heterotrimeric G proteins. The protein encoded by this gene is most closely related to biogenic amine receptors. [provided by RefSeq, ",False,0.2
7,FEV,6361,0.9990209626686086,0.06298426538705826,0.058796729892492294,0.5625045696894327,0.054888321097356085,4,3.559065580368042,2.1887383460998535,0.0,3.3160717487335205,MEN1,menin 1,"This gene encodes menin, a tumor suppressor associated with a syndrome known as multiple endocrine neoplasia type 1. Menin is a scaffold protein that functions in histone modification and epigenetic gene regulation. It is thought to regulate several pathways and processes by altering chromatin struc",False,0.4
8,VAT1L,19337,0.9990063499067967,0.05261080339550972,0.05058429762721062,0.5623203019301096,0.0705698120567877,4,2.8623344898223877,1.9494731426239014,0.0,4.007274627685547,SCG2,secretogranin II,"The protein encoded by this gene is a member of the chromogranin/secretogranin family of neuroendocrine secretory proteins. Studies in rodents suggest that the full-length protein, secretogranin II, is involved in the packaging or sorting of peptide hormones and neuropeptides into secretory vesicles",False,0.2
9,SLC10A4,16091,0.9989040605741127,0.04058380052447319,0.03865035995841026,0.5704827805360159,0.05918890891570738,4,3.2967708110809326,2.10325288772583,0.0,3.8177127838134766,FEV,"FEV transcription factor, ETS family member",This gene belongs to the ETS transcription factor family. ETS family members have a highly conserved 85-amino acid ETS domain that binds purine-rich DNA sequences. The alanine-rich C-terminus of this gene indicates that it may act as a transcription repressor. This gene is exclusively expressed in n,False,0.4
10,VWA5B2,19460,0.9988407386062609,0.05373137444257736,0.04985659942030907,0.5925559401512146,0.05944553986224155,4,3.5510571002960205,2.186201572418213,0.0,4.225621223449707,VAT1L,vesicle amine transport 1 like,"Predicted to enable oxidoreductase activity and zinc ion binding activity. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
