rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,TMPRSS2,18383,1.032138475031268,0.03377069905400276,0.030378777533769608,0.48318322002887726,0.17330124944623848,4,1.8491793870925903,1.5105464458465576,0.0,2.64631724357605,TMPRSS2,transmembrane serine protease 2,"This gene encodes a protein that belongs to the serine protease family. The encoded protein contains a type II transmembrane domain, a receptor class A domain, a scavenger receptor cysteine-rich domain and a protease domain. Serine proteases are known to be involved in many physiological and patholo",True,1.0
2,OR51E1,12567,0.9993473144274688,0.09354237467050552,0.08681620657444,0.5044618745644888,0.13661342912505292,4,2.5556247234344482,1.8301030397415161,0.0,2.5782313346862793,OR51E1,olfactory receptor family 51 subfamily E member 1,"Olfactory receptors interact with odorant molecules in the nose, to initiate a neuronal response that triggers the perception of a smell. The olfactory receptor proteins are members of a large family of G-protein-coupled receptors (GPCR) arising from single coding-exon genes. Olfactory receptors sha",False,0.4
3,KLK2,9176,0.9992742506184089,0.19279269874095917,0.17868837714195251,0.7804772059122721,0.20195086023488829,4,4.031726837158203,2.3310534954071045,0.0,9.382589340209961,KLK2,kallikrein related peptidase 2,This gene encodes a member of the grandular kallikrein protein family. Kallikreins are a subgroup of serine proteases that are clustered on chromosome 19. Members of this family are involved in a diverse array of biological functions. The protein encoded by this gene is a highly active trypsin-like ,False,0.4
4,OR51E2,12568,0.9992693796978049,0.129686638712883,0.12115141749382019,0.6067574520905813,0.18364093324722686,4,3.5486950874328613,2.185452699661255,0.0,4.654028415679932,OR51E2,olfactory receptor family 51 subfamily E member 2,"Olfactory receptors interact with odorant molecules in the nose, to initiate a neuronal response that triggers the perception of a smell. The olfactory receptor proteins are members of a large family of G-protein-coupled receptors (GPCR) arising from single coding-exon genes. Olfactory receptors sha",False,0.4
5,KLK15,9175,0.999264508777201,0.07037144154310226,0.06804864853620529,0.5299713909626007,0.13438631503867748,4,2.700562000274658,1.887744426727295,0.0,3.198579788208008,KLK15,kallikrein related peptidase 15,Kallikreins are a subgroup of serine proteases having diverse physiological functions. Growing evidence suggests that many kallikreins are implicated in carcinogenesis and some have potential as novel cancer and other disease biomarkers. This gene is one of the fifteen kallikrein subfamily members l,False,0.2
6,KLK4,9178,0.999191444968141,0.10187866538763046,0.0900181457400322,0.6418481667836508,0.19275015870825984,4,3.329840898513794,2.114313840866089,0.0,5.925603866577148,KLK4,kallikrein related peptidase 4,Kallikreins are a subgroup of serine proteases having diverse physiological functions. Growing evidence suggests that many kallikreins are implicated in carcinogenesis and some have potential as novel cancer and other disease biomarkers. This gene is one of the fifteen kallikrein subfamily members l,False,0.2
7,KLK3,9177,0.999191444968141,0.2026222050189972,0.19460676610469818,0.7953217228253683,0.20195086023488829,4,4.044351100921631,2.3346686363220215,0.0,9.815300941467285,KLK3,kallikrein related peptidase 3,Kallikreins are a subgroup of serine proteases having diverse physiological functions. Growing evidence suggests that many kallikreins are implicated in carcinogenesis and some have potential as novel cancer and other disease biomarkers. The gene is one of the fifteen kallikrein subfamily members lo,False,0.4
8,KLKP1,9185,0.9990891556354572,0.17490266263484955,0.15844283998012543,0.6237134039402008,0.16428970023485556,4,3.5604772567749023,2.1891849040985107,0.0,5.1509246826171875,KLKB1,kallikrein B1,"This gene encodes a glycoprotein that participates in the surface-dependent activation of blood coagulation, fibrinolysis, kinin generation and inflammation. The encoded preproprotein present in plasma as a non-covalent complex with high molecular weight kininogen undergoes proteolytic processing me",False,0.4
9,KIAA1210,8977,0.9989430280173374,0.09664002060890198,0.09026990085840225,0.5110015968481699,0.1007934572988729,4,2.6151599884033203,1.8540594577789307,0.0,2.714887857437134,KLKP1,kallikrein pseudogene 1,"Predicted to be located in cytoplasm and nucleus. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
10,SLC30A4,16273,0.9989138024937134,0.0712021142244339,0.06375458836555481,0.5403600434462229,0.1967872273029414,4,2.7415294647216797,1.9036281108856201,0.0,3.4692718982696533,KLKP1,kallikrein pseudogene 1,,False,0.0
