rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,LOC407835,10025,0.9991086391519439,0.1890217661857605,0.1821736842393875,0.5126953522364298,0.05614052974006856,4,2.39288067817688,1.7625106573104858,0.0,2.9879798889160156,LOC407835,mitogen-activated protein kinase kinase 2 pseudogene,,False,0.0
2,DDR1,4748,0.9988261257569122,0.03767243027687073,0.037771183997392654,0.4619169632593791,0.049830590154516186,4,1.8189139366149902,1.495139479637146,0.0,2.038594961166382,DDR1,discoidin domain receptor tyrosine kinase 1,"Receptor tyrosine kinases play a key role in the communication of cells with their microenvironment. These kinases are involved in the regulation of cell growth, differentiation and metabolism. The protein encoded by this gene belongs to a subfamily of tyrosine kinase receptors with homology to Dict",False,0.2
3,PLS1,13631,0.9987920293126843,0.04695184528827667,0.0458059087395668,0.47940949102242786,0.04544118715057999,4,1.9838621616363525,1.5771808624267578,0.0,2.3984224796295166,PLS1,plastin 1,"Plastins are a family of actin-binding proteins that are conserved throughout eukaryote evolution and expressed in most tissues of higher eukaryotes. In humans, two ubiquitous plastin isoforms (L and T) have been identified. The protein encoded by this gene is a third distinct plastin isoform, which",False,0.2
4,PLEKHH1,13598,0.9987335782654363,0.038158025592565536,0.038674306124448776,0.4647255887587865,0.03974915942911794,4,1.8345580101013184,1.5031237602233887,0.0,2.1072096824645996,PLEKHH1,"pleckstrin homology, MyTH4 and FERM domain containing H1","Predicted to be located in cytoskeleton. [provided by Alliance of Genome Resources, Apr 2022]",False,0.0
5,PRSS16,14189,0.9986994818212084,0.03550656884908676,0.0341443195939064,0.4500480095545451,0.04119207710644246,4,1.6263792514801025,1.3930752277374268,0.0,1.8750611543655396,PRSS16,serine protease 16,"This gene encodes a serine protease expressed exclusively in the thymus. It is thought to play a role in the alternative antigen presenting pathway used by cortical thymic epithelial cells during the positive selection of T cells. The gene is found in the large histone gene cluster on chromosome 6, ",False,0.2
6,ATP5EP2,1224,0.9986556435357724,0.16140031814575195,0.1571398377418518,0.4872896174589793,0.04527948107014157,4,2.100180149078369,1.6323519945144653,0.0,2.5185084342956543,ATP5F1EP2,ATP synthase F1 subunit epsilon pseudogene 2,"Predicted to enable hydrolase activity. Predicted to contribute to proton-transporting ATP synthase activity, rotational mechanism. Predicted to be involved in mitochondrial ATP synthesis coupled proton transport. Located in mitochondrion. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
7,PA2G4P4,12845,0.9985923215679204,0.17202377319335938,0.16474992036819458,0.5011511544386545,0.08179758961593975,4,2.178454637527466,1.6683255434036255,0.0,2.8560798168182373,PA2G4P4,proliferation-associated 2G4 pseudogene 4,,False,0.0
8,LOC723972,10129,0.9985387414412765,0.16838783025741577,0.16093124449253082,0.4845951894919078,0.049444135389865584,4,2.0291147232055664,1.5988962650299072,0.0,2.5087411403656006,PA2G4P4,proliferation-associated 2G4 pseudogene 4,,False,0.0
9,NME2P1,11947,0.9984949031558407,0.15709762275218964,0.15036609768867493,0.47205694516499835,0.05162748823635788,4,1.8692262172698975,1.52066171169281,0.0,2.2924821376800537,NME2P1,Unknown,,False,0.0
10,DSP,5233,0.9983682592201368,0.04032539203763008,0.0394749790430069,0.4784475713968277,0.038803956149709995,4,2.03961443901062,1.6038883924484253,0.0,2.313812732696533,NME2P1,NME2 pseudogene 1,,False,0.0
11,CSDAP1,4298,0.9983536464583248,0.0960800051689148,0.09238298237323761,0.4531276027361552,0.05004454452247842,4,1.6191091537475586,1.3890762329101562,0.0,1.9747189283370972,NME2P1,NME2 pseudogene 1,"Predicted to enable nucleoside diphosphate kinase activity. Predicted to be involved in regulation of apoptotic process. Located in extracellular exosome and nucleus. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
12,RAB23,14502,0.9983439046171168,0.047501031309366226,0.04467390850186348,0.46593713263670605,0.06045784715724589,4,2.1140596866607666,1.6387965679168701,0.0,1.8640543222427368,DSPP,dentin sialophosphoprotein,"This gene encodes a member of the small integrin-binding ligand N-linked glycoprotein (SIBLING) family of proteins. The encoded preproprotein is secreted by odontoblasts and proteolytically processed to generate two principal proteins of the dentin extracellular matrix of the tooth, dentin sialoprot",False,0.4
13,USP43,19279,0.9983292918553048,0.04214511811733246,0.042377013713121414,0.49421735604604083,0.03841962318624059,4,2.342566728591919,1.7409563064575195,0.0,2.4839539527893066,DSP,desmoplakin,"This gene encodes a protein that anchors intermediate filaments to desmosomal plaques and forms an obligate component of functional desmosomes. Mutations in this gene are the cause of several cardiomyopathies and keratodermas, including skin fragility-woolly hair syndrome. Alternative splicing resul",False,0.4
14,CSNK1A1L,4323,0.9981295841105411,0.12593264877796173,0.11927907168865204,0.4493352274099986,0.04482657342351004,4,1.6424882411956787,1.4018970727920532,0.0,1.8375685214996338,YBX3P1,Y-box binding protein 3 pseudogene 1,,False,0.0
15,NACA2,11514,0.9980224238572531,0.10971266776323318,0.10351743549108505,0.45814455052216846,0.047407195423013304,4,1.7089649438858032,1.4377416372299194,0.0,2.0353715419769287,RAB23,"RAB23, member RAS oncogene family","This gene encodes a small GTPase of the Ras superfamily. Rab proteins are involved in the regulation of diverse cellular functions associated with intracellular membrane trafficking, including autophagy and immune response to bacterial infection. The encoded protein may play a role in central nervou",False,0.2
16,PIPSL,13462,0.9980078110954412,0.19519922137260437,0.18636566400527954,0.5072287768125534,0.06003330961230935,4,2.321483612060547,1.7318278551101685,0.0,2.8953795433044434,USP43,ubiquitin specific peptidase 43,"Predicted to enable ISG15-specific protease activity. Predicted to be involved in translesion synthesis. Predicted to be located in nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
17,RNF43,15118,0.9980078110954412,0.044859629124403,0.04451834782958031,0.4763103624184926,0.04617977763044245,4,2.0797860622406006,1.6228301525115967,0.0,2.2095248699188232,CSNK1A1L,casein kinase 1 alpha 1 like,"Predicted to enable protein serine/threonine kinase activity. Predicted to be involved in negative regulation of canonical Wnt signaling pathway and peptidyl-serine phosphorylation. Located in cytosol. [provided by Alliance of Genome Resources, Apr 2022]",False,0.4
18,PIN1L,13447,0.9979785855718173,0.16029778122901917,0.15125082433223724,0.48978624244530994,0.03609945079470589,4,2.2492144107818604,1.700091004371643,0.0,2.4443728923797607,NACA2,nascent polypeptide associated complex subunit alpha 2,"Predicted to enable unfolded protein binding activity. Predicted to be involved in protein targeting to membrane. Predicted to be located in nucleus. Predicted to be part of nascent polypeptide-associated complex. Predicted to be active in cytoplasm. [provided by Alliance of Genome Resources, Apr 20",False,0.2
19,RIPK4,15000,0.9978909090009453,0.060947827994823456,0.05901112034916878,0.4629368980725606,0.03736727014661678,4,1.9129841327667236,1.5424978733062744,0.0,1.9751228094100952,PIPSL,PIP5K1A and PSMD4 like (pseudogene),"This locus is a transcribed pseudogene with similarity to two adjacent chromosome 1 loci: phosphatidylinositol-4-phosphate 5-kinase, type I, alpha (PIP5K1A, GeneID 8394) and proteasome (prosome, macropain) 26S subunit, non-ATPase, 4 (PSMD4, GeneID 5710). The pseudogene is believed to have occurred f",False,0.2
20,MORF4,11069,0.9978324579536975,0.1251765787601471,0.12026364356279373,0.4695807695388794,0.04931627096573865,4,1.993556022644043,1.5818603038787842,0.0,2.093867063522339,PIPSL,PIP5K1A and PSMD4 like (pseudogene),,False,0.0
21,SHOX2,16000,0.9977983615094694,0.04108094051480293,0.04048089683055878,0.4459368983904521,0.04340429328380835,4,1.6294453144073486,1.3947584629058838,0.0,1.748661756515503,RNF43,ring finger protein 43,"The protein encoded by this gene is a RING-type E3 ubiquitin ligase and is predicted to contain a transmembrane domain, a protease-associated domain, an ectodomain, and a cytoplasmic RING domain. This protein is thought to negatively regulate Wnt signaling, and expression of this gene results in an ",False,0.4
