rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,C19orf28,2089,0.9991817030948406,0.08332202583551407,0.07799958437681198,0.4967258721590042,0.089679788810894,4,2.626112222671509,1.8584235906600952,0.0,2.2756640911102295,MFSD12,major facilitator superfamily domain containing 12,"Enables cysteine transmembrane transporter activity. Involved in cysteine transmembrane transport; pigment metabolic process involved in pigmentation; and regulation of melanin biosynthetic process. Located in lysosome and melanosome. Part of late endosome. [provided by Alliance of Genome Resources,",False,0.2
2,CDH19,3442,0.9991086392857806,0.12337371706962585,0.11633944511413574,0.5317895710468292,0.13950362817741846,4,2.7697858810424805,1.914482593536377,0.0,3.183901309967041,DCHS1,dachsous cadherin-related 1,"This gene is a member of the cadherin superfamily whose members encode calcium-dependent cell-cell adhesion molecules. The encoded protein has a signal peptide, 27 cadherin repeat domains and a unique cytoplasmic region. This particular cadherin family member is expressed in fibroblasts but not in m",False,0.4
3,CYTH3,4612,0.9990940265239686,0.11199060082435608,0.10316674411296844,0.49126051863034564,0.1110352453564245,4,2.3060905933380127,1.7251262664794922,0.0,2.431725025177002,CDH19,cadherin 19,This gene is one of three related type II cadherin genes situated in a cluster on chromosome 18. The encoded protein is a calcium dependent cell-cell adhesion glycoprotein containing five extracellular cadherin repeats. Loss of cadherins may be associated with cancer formation. Alternative splicing ,False,0.2
4,GAPDHS,6857,0.9990599300797407,0.09822289645671844,0.0916757881641388,0.5312231183052063,0.1311299405070394,4,3.3116166591644287,2.108228921890259,0.0,2.6250767707824707,CYTH3,cytohesin 3,"This gene encodes a member of the PSCD (pleckstrin homology, Sec7 and coiled-coil domains) family. PSCD family members have identical structural organization that consists of an N-terminal coiled-coil motif, a central Sec7 domain, and a C-terminal pleckstrin homology (PH) domain. The coiled-coil mot",False,0.4
5,PLP1,13628,0.9989332861440368,0.07034311443567276,0.0654592216014862,0.49284128844738007,0.10001641376947568,4,2.0186610221862793,1.5939087867736816,0.0,2.76657772064209,GAPDHS,"glyceraldehyde-3-phosphate dehydrogenase, spermatogenic","This gene encodes a protein belonging to the glyceraldehyde-3-phosphate dehydrogenase family of enzymes that play an important role in carbohydrate metabolism. Like its somatic cell counterpart, this sperm-specific enzyme functions in a nicotinamide adenine dinucleotide-dependent manner to remove hy",False,0.4
6,BEST1,1486,0.9988699641761849,0.06644859910011292,0.060637835413217545,0.48895815511544544,0.08822891334509397,4,2.257200002670288,1.7036323547363281,0.0,2.4115445613861084,PLP1,proteolipid protein 1,"This gene encodes a transmembrane proteolipid protein that is the predominant component of myelin. The encoded protein may play a role in the compaction, stabilization, and maintenance of myelin sheaths, as well as in oligodendrocyte development and axonal survival. Mutations in this gene cause Peli",False,0.2
7,PLEKHA7,13583,0.9988309968113529,0.08011103421449661,0.07411009073257446,0.4752313693364461,0.08068056900079035,4,2.082634925842285,1.6241639852523804,0.0,2.1743061542510986,BEST1,bestrophin 1,This gene encodes a member of the bestrophin gene family. This small gene family is characterized by proteins with a highly conserved N-terminus with four to six transmembrane domains. Bestrophins may form chloride ion channels or may regulate voltage-gated L-type calcium-ion channels. Bestrophins a,False,0.2
8,SDCBP,15650,0.998738449319877,0.06381465494632721,0.0619065947830677,0.49698759118715924,0.12034333917750817,4,2.571040630340576,1.836344599723816,0.0,2.3385870456695557,PLEKHA7,pleckstrin homology domain containing A7,"Enables delta-catenin binding activity. Involved in epithelial cell-cell adhesion; pore complex assembly; and zonula adherens maintenance. Located in several cellular components, including centrosome; nucleoplasm; and zonula adherens. Part of pore complex. [provided by Alliance of Genome Resources, ",False,0.2
9,TRIM63,18687,0.998738449319877,0.12332045286893845,0.11793866753578186,0.5066628158092499,0.10566517401990705,4,2.671321153640747,1.8762993812561035,0.0,2.5285634994506836,SDCBP,syndecan binding protein,"The protein encoded by this gene was initially identified as a molecule linking syndecan-mediated signaling to the cytoskeleton. The syntenin protein contains tandemly repeated PDZ domains that bind the cytoplasmic, C-terminal domains of a variety of transmembrane proteins. This protein may also aff",False,0.2
10,CCDC140,3099,0.9986799982726291,0.10179223120212555,0.09646515548229218,0.567339688539505,0.14334021190746804,4,3.1627731323242188,2.0575449466705322,0.0,3.857417345046997,TRIM63,tripartite motif containing 63,This gene encodes a member of the RING zinc finger protein family found in striated muscle and iris. The product of this gene is an E3 ubiquitin ligase that localizes to the Z-line and M-line lattices of myofibrils. This protein plays an important role in the atrophy of skeletal and cardiac muscle a,False,0.2
11,KCNK1,8813,0.9986605145902131,0.08702597767114639,0.08091436326503754,0.506170262893041,0.11142772806594214,4,2.403515577316284,1.7670257091522217,0.0,2.78159236907959,CCDC140,CCDC140 long non-coding RNA,"This gene encodes a protein that appears to be restricted to select higher primate species. This protein contains a C-terminal coiled-coil domain, which is a versatile structural motif consisting of multiple amphipathic alpha-helices that twist around each other to form a supercoil. [provided by Ref",False,0.2
12,LOC653653,10123,0.9986556436696091,0.06005936488509178,0.05707285553216934,0.4909509966770808,0.11272295200208093,4,2.191884994506836,1.6744086742401123,0.0,2.53664493560791,KCNK1,potassium two pore domain channel subfamily K member 1,"This gene encodes one of the members of the superfamily of potassium channel proteins containing two pore-forming P domains. The product of this gene has not been shown to be a functional channel, however, it may require other non-pore-forming proteins for activity. [provided by RefSeq, Jul 2008].",False,0.2
13,SHC4,15982,0.9986410309077971,0.06905095279216766,0.06351988017559052,0.4955053925514221,0.08580928878832794,4,2.279193639755249,1.7133411169052124,0.0,2.585968017578125,LOC653653,adaptor related protein complex 1 subunit sigma 2 pseudogene,,False,0.0
14,GPRC5C,7381,0.9986166763047772,0.07615293562412262,0.07160565257072449,0.4683639754851659,0.07294337094814263,4,1.962486982345581,1.566808819770813,0.0,2.0884323120117188,SHC4,SHC adaptor protein 4,"Predicted to enable receptor tyrosine kinase binding activity. Predicted to be involved in transmembrane receptor protein tyrosine kinase signaling pathway. Predicted to act upstream of or within several processes, including apoptotic process; positive regulation of cell population proliferation; an",False,0.4
15,ROPN1B,15155,0.9985874507811532,0.13710248470306396,0.12642371654510498,0.5162818878889084,0.10704970305495998,4,2.469142198562622,1.794579029083252,0.0,3.0193145275115967,GPRC5C,G protein-coupled receptor class C group 5 member C,"The protein encoded by this gene is a member of the type 3 G protein-coupled receptor family. Members of this superfamily are characterized by a signature 7-transmembrane domain motif. The specific function of this protein is unknown; however, this protein may mediate the cellular effects of retinoi",False,0.2
16,BIRC7,1523,0.9985387415751132,0.07707749307155609,0.07070469111204147,0.49053971469402313,0.09694290227322466,4,2.330425262451172,1.7357064485549927,0.0,2.3857662677764893,ROPN1B,rhophilin associated tail protein 1B,"Enables protein heterodimerization activity. Predicted to be involved in several processes, including flagellated sperm motility; protein localization to cilium; and sperm capacitation. Located in cytoplasm and motile cilium. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
17,ANK3,668,0.9985289997339053,0.05922725051641464,0.0577680766582489,0.4887775033712387,0.0889999678736666,4,2.333503007888794,1.7370389699935913,0.0,2.329822063446045,BIRC7,baculoviral IAP repeat containing 7,"This gene encodes a member of the inhibitor of apoptosis protein (IAP) family, and contains a single copy of a baculovirus IAP repeat (BIR) as well as a RING-type zinc finger domain. The BIR domain is essential for inhibitory activity and interacts with caspases, while the RING finger domain sometim",False,0.4
18,SPRYD5,17200,0.9985241288133013,0.3266887366771698,0.30045825242996216,0.5924341877301534,0.1506388955964728,4,4.302884578704834,2.4067773818969727,0.0,3.4701409339904785,ANK3,ankyrin 3,"Ankyrins are a family of proteins that are believed to link the integral membrane proteins to the underlying spectrin-actin cytoskeleton and play key roles in activities such as cell motility, activation, proliferation, contact, and the maintenance of specialized membrane domains. Multiple isoforms ",False,0.4
