rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,ASB18,1092,0.9990794137693602,0.06102422624826431,0.05652725324034691,0.46108319362004596,0.08205668428468327,4,2.040039539337158,1.6040900945663452,0.0,1.7924561500549316,ASB18,ankyrin repeat and SOCS box containing 18,The protein encoded by this gene is a member of the ankyrin repeat and SOCS box-containing (ASB) family of proteins. They contain ankyrin repeat sequence and a SOCS box domain. The SOCS box serves to couple suppressor of cytokine signalling (SOCS) proteins and their binding partners with the elongin,False,0.2
2,UTF1,19300,0.9986264181531888,0.08574949204921722,0.08304857462644577,0.4671683410803477,0.09215492193304331,4,1.7604560852050781,1.4649066925048828,0.0,2.254594087600708,UTF1,undifferentiated embryonic cell transcription factor 1,The protein encoded by this gene is a leucine zipper-containing transcriptional coactivator that may link the upstream activator ATF2 with the basal transcription complex. The encoded protein is closely associated with chromatin and is required for the proper differentiation of embryonic carcinoma a,False,0.2
3,PRR25,14169,0.998470548693861,0.0642058402299881,0.06221042945981026,0.42794352769851685,0.0801214450080392,4,1.4701194763183594,1.304580807685852,0.0,1.368186354637146,PRR25,proline rich 25,,False,0.0
4,C20orf201,2304,0.9981782934576213,0.04382363706827164,0.04206516593694687,0.4385170290867488,0.08439592417508313,4,1.4567341804504395,1.2967417240142822,0.0,1.6987766027450562,LKAAEAR1,LKAAEAR motif containing 1,,False,0.0
5,FUT2,6719,0.9979785857128576,0.040316272526979446,0.03959695249795914,0.4458748797575633,0.0779929666796908,4,1.4902794361114502,1.3163076639175415,0.0,1.8859668970108032,FUT2,fucosyltransferase 2 (H blood group),"This gene is one of two encoding the galactoside 2-L-fucosyltransferase enzyme. The encoded protein is important for the final step in the soluble ABO blood group antigen synthesis pathway. It is also involved in cell-cell interaction, cell surface expression, and cell proliferation. Mutations in th",False,0.4
6,SBK2,15527,0.9979298765068176,0.04928823933005333,0.046392276883125305,0.42188457151254016,0.09110271883708321,4,1.2750935554504395,1.185925841331482,0.0,1.3814436197280884,SBK2,SH3 domain binding kinase family member 2,"Predicted to enable MAP kinase kinase activity. Predicted to be involved in MAPK cascade and protein phosphorylation. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
7,GAGE12J,6806,0.9978227162535297,0.12666046619415283,0.12088318914175034,0.4844212532043457,0.08083361478976814,4,2.187547445297241,1.672446846961975,0.0,2.34509015083313,GAGE12J,G antigen 12J,,False,0.0
8,KRTAP4-8,9337,0.9968193066091069,0.06711362302303314,0.06457876414060593,0.43687451879183453,0.0851159876753218,4,1.6161510944366455,1.3874458074569702,0.0,1.4900845289230347,KRTAP4-8,keratin associated protein 4-8,"Involved in aging and hair cycle. Predicted to be located in cytosol. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
9,HIST1H4K,7874,0.9963260069880426,0.05544204264879227,0.05410735309123993,0.42830852170785266,0.07563799407554384,4,1.44149649143219,1.287765622138977,0.0,1.407759189605713,H4C12,H4 clustered histone 12,"Histones are basic nuclear proteins that are responsible for the nucleosome structure of the chromosomal fiber in eukaryotes. Two molecules of each of the four core histones (H2A, H2B, H3, and H4) form an octamer, around which approximately 146 bp of DNA is wrapped in repeating units, called nucleos",False,0.4
10,FGF4,6393,0.9927505163929149,0.05865443870425224,0.05585670471191406,0.4179849177598953,0.07542815871423336,4,1.2533210515975952,1.1720529794692993,0.0,1.286226511001587,FGF4,fibroblast growth factor 4,"The protein encoded by this gene is a member of the fibroblast growth factor (FGF) family. FGF family members possess broad mitogenic and cell survival activities and are involved in a variety of biological processes including embryonic development, cell growth, morphogenesis, tissue repair, tumor g",False,0.4
11,PEG3AS,13230,0.9919850455602662,0.10296675562858582,0.0983220636844635,0.4680531471967697,0.07252565621890028,4,1.8999260663986206,1.5360162258148193,0.0,2.1416683197021484,PEG3-AS1,PEG3 antisense RNA 1,"This gene is located in the paternally expressed gene 3 (PEG3) imprinted region on chromosome 19. The corresponding transcript in mouse is imprinted and regulates expression of the mouse Peg3 gene. [provided by RefSeq, Sep 2016].",False,0.2
12,TUBB4,18948,0.9915663815639733,0.036586157977581024,0.03589053079485893,0.4259815663099289,0.07163330988225947,4,1.294130802154541,1.19794762134552,0.0,1.4853161573410034,TUBB3,tubulin beta 3 class III,This gene encodes a class III member of the beta tubulin protein family. Beta tubulins are one of two core protein families (alpha and beta tubulins) that heterodimerize and assemble to form microtubules. This protein is primarily expressed in neurons and may be involved in neurogenesis and axon gui,False,0.4
13,OR2D3,12462,0.9888655142553398,0.1492254137992859,0.1413576453924179,0.45829453070958454,0.06985033361767345,4,2.248070001602173,1.6995826959609985,0.0,1.5007659196853638,TUBB4A,tubulin beta 4A class IVa,This gene encodes a member of the beta tubulin family. Beta tubulins are one of two core protein families (alpha and beta tubulins) that heterodimerize and assemble to form microtubules. Mutations in this gene cause hypomyelinating leukodystrophy-6 and autosomal dominant torsion dystonia-4. Alternat,False,0.4
