rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,GFRA4,6979,0.9992596378744545,0.10772930830717087,0.09905202686786652,0.5149979790051779,0.1449549125084466,4,3.0764706134796143,2.027320623397827,0.0,2.3734688758850098,GFRA4,GDNF family receptor alpha 4,"The protein encoded by this gene is a member of the GDNF receptor family. It is a glycosylphosphatidylinositol(GPI)-linked cell surface receptor for persephin, and mediates activation of the RET tyrosine kinase receptor. This gene is a candidate gene for RET-associated diseases. Alternatively splice",False,0.2
2,GFRA2,6977,0.9992206705096227,0.05088656768202782,0.04855906963348389,0.48206647237141925,0.12873017088320182,4,1.9705185890197754,1.5707148313522339,0.0,2.4914755821228027,GFRA2,GDNF family receptor alpha 2,"Glial cell line-derived neurotrophic factor (GDNF) and neurturin (NTN) are two structurally related, potent neurotrophic factors that play key roles in the control of neuron survival and differentiation. The protein encoded by this gene is a member of the GDNF receptor family. It is a glycosylphosph",False,0.2
3,GAL3ST3,6818,0.9990696719708988,0.06691858172416687,0.06509795784950256,0.5438954383134842,0.16351198432909197,4,2.4921350479125977,1.8041093349456787,0.0,3.824728012084961,GAL3ST3,galactose-3-O-sulfotransferase 3,"This gene encodes a member of the galactose-3-O-sulfotransferase protein family. The product of this gene catalyzes sulfonation by transferring a sulfate group to the 3' position of galactose in N-acetyllactosamine in both type 2 (Gal-beta-1-4GlcNAc-R) oligosaccharides and core-2-branched O-glycans,",False,0.2
4,TMEM233,18282,0.9990696719708988,0.0987381860613823,0.09256505966186523,0.511749804019928,0.15240974241182048,4,2.42486834526062,1.7760485410690308,0.0,2.9276256561279297,TMEM233,transmembrane protein 233,"Predicted to be integral component of membrane. Predicted to be active in membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
5,SLC17A5,16135,0.9990160918442549,0.07224863767623901,0.061490487307310104,0.49179336428642273,0.18074118691859575,4,2.139849901199341,1.650695562362671,0.0,2.6139509677886963,SLC17A5,solute carrier family 17 member 5,"This gene encodes a membrane transporter that exports free sialic acids that have been cleaved off of cell surface lipids and proteins from lysosomes. Mutations in this gene cause sialic acid storage diseases, including infantile sialic acid storage disorder and and Salla disease, an adult form. [pr",False,0.4
6,SNX5,16982,0.9989478989557989,0.11491573601961136,0.11025037616491318,0.5224915792544683,0.1914177518875777,4,2.412592649459839,1.770868182182312,0.0,3.2621548175811768,SNX5,sorting nexin 5,"This gene encodes a member of the sorting nexin family. Members of this family contain a phox (PX) domain, which is a phosphoinositide binding domain, and are involved in intracellular trafficking. This protein functions in endosomal sorting, the phosphoinositide-signaling pathway, and macropinocyto",False,0.4
7,OTOS,12789,0.9989089315909669,0.18620489537715912,0.172471821308136,0.5808742741743723,0.20096566251311843,4,3.5194451808929443,2.1761457920074463,0.0,3.906783103942871,OTOS,otospiralin,"Otospiralin is synthesized by nonsensory cells (fibrocytes) of the inner ear, and downregulation of otospiralin in guinea pigs leads to deafness (Lavigne-Rebillard et al., 2003 [PubMed 12687421]).[supplied by OMIM, Mar 2008].",False,0.2
8,SFTA3,15896,0.998894318829155,0.11271147429943085,0.1093989908695221,0.5967305699984232,0.1692122347679128,4,2.8829712867736816,1.9571610689163208,0.0,5.018946170806885,SFTA3,surfactant associated 3,"Involved in wound healing. Located in cytoplasm and extracellular space. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
9,IYD,8683,0.998855351464323,0.1101602241396904,0.10512124747037888,0.5280585785706838,0.22042155958509424,4,2.396763563156128,1.7641607522964478,0.0,3.444993734359741,IYD,iodotyrosine deiodinase,"This gene encodes an enzyme that catalyzes the oxidative NADPH-dependent deiodination of mono- and diiodotyrosine, which are the halogenated byproducts of thyroid hormone production. The N-terminus of the protein functions as a membrane anchor. Mutations in this gene cause congenital hypothyroidism ",False,0.4
10,FSCN2,6680,0.9987969004170751,0.08271751552820206,0.07701677083969116,0.5254451831181844,0.19470538617471767,4,2.3067855834960938,1.7254295349121094,0.0,3.4565699100494385,FSCN2,"fascin actin-bundling protein 2, retinal",This gene encodes a member of the fascin protein family. Fascins crosslink actin into filamentous bundles within dynamic cell extensions. This family member is proposed to play a role in photoreceptor disk morphogenesis. A mutation in this gene results in one form of autosomal dominant retinitis pig,False,0.2
11,LOC286002,9936,0.9987822876552632,0.12058785557746887,0.1082100123167038,0.5419484376907349,0.17488935715999365,4,2.928287982940674,1.9739006757736206,0.0,3.330165147781372,LOC286002,Unknown,,False,0.0
12,TPO,18552,0.9987774167346591,0.17689944803714752,0.15446966886520386,0.5928550859292349,0.2326313580788666,4,3.6421594619750977,2.2147960662841797,0.0,4.143493175506592,THPO,thrombopoietin,"Megakaryocytopoiesis is the cellular development process that leads to platelet production. The main functional protein encoded by this gene is a humoral growth factor that is necessary for megakaryocyte proliferation and maturation, as well as for thrombopoiesis. This protein is the ligand for MLP/",False,0.4
13,SNX22,16970,0.9987481912110352,0.12411966174840927,0.11056085675954819,0.5322451790173849,0.1516492832166294,4,2.700299024581909,1.8876419067382812,0.0,3.2670562267303467,TPO,thyroid peroxidase,This gene encodes a membrane-bound glycoprotein. The encoded protein acts as an enzyme and plays a central role in thyroid gland function. The protein functions in the iodination of tyrosine residues in thyroglobulin and phenoxy-ester formation between pairs of iodinated tyrosines to generate the th,False,0.4
14,SNX1,16964,0.9987384493698273,0.07852829247713089,0.06956978887319565,0.54092804590861,0.1971340027523656,4,2.796433925628662,1.924644947052002,0.0,3.4314074516296387,SNX22,sorting nexin 22,"The protein encoded by this gene is a sorting nexin that is found in the cytoplasm, where it interacts with membrane-bound phosphatidylinositol 3-phosphate. The encoded protein may play a role in intracellular trafficking. Two transcript variants, one protein-coding and the other not protein-coding,",False,0.2
15,CYP1A2,4554,0.9986653855607672,0.047880593687295914,0.04717477783560753,0.47084153691927594,0.153992720597675,4,1.7901984453201294,1.480367660522461,0.0,2.335047721862793,SNX1,sorting nexin 1,"This gene encodes a member of the sorting nexin family. Members of this family contain a phox (PX) domain, which is a phosphoinositide binding domain, and are involved in intracellular trafficking. This endosomal protein regulates the cell-surface expression of epidermal growth factor receptor. This",False,0.4
