rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,PAX1,12976,0.973019835390333,0.17358087003231049,0.17147645354270935,0.7180007000764211,0.051719001095012596,4,4.976214408874512,2.5792319774627686,0.0,6.563806533813477,PAX1,paired box 1,This gene is a member of the paired box (PAX) family of transcription factors. Members of the PAX family typically contain a paired box domain and a paired-type homeodomain. These genes play critical roles during fetal development. This gene plays a role in pattern formation during embryogenesis and,False,0.2
2,PRSS16,14189,0.9684797716388825,0.04031025990843773,0.03995873034000397,0.508536676565806,0.04932026640587983,4,2.6028151512145996,1.8491246700286865,0.0,2.653285264968872,PRSS16,serine protease 16,"This gene encodes a serine protease expressed exclusively in the thymus. It is thought to play a role in the alternative antigen presenting pathway used by cortical thymic epithelial cells during the positive selection of T cells. The gene is found in the large histone gene cluster on chromosome 6, ",False,0.2
3,PSMB11,14254,0.9683589632055304,0.32891738414764404,0.3273349404335022,0.7551266849040985,0.049313737763880594,4,8.469290733337402,3.2432563304901123,0.0,4.184509754180908,PSMB11,proteasome subunit beta 11,"Proteasomes generate peptides that are presented by major histocompatibility complex (MHC) I molecules to other cells of the immune system. Proteolysis is conducted by 20S proteasomes, complexes of 28 subunits arranged as a cylinder in 4 heteroheptameric rings: alpha-1 to -7, beta-1 to -7, beta-1 to",False,0.4
4,C10orf27,1702,0.966201881922915,0.35767996311187744,0.35757964849472046,0.8019794225692749,0.04757884210398511,4,8.307674407958984,3.2184207439422607,0.0,5.751708030700684,TBATA,"thymus, brain and testes associated","This gene encodes a protein that regulates thymic epithelial cell proliferation and thymus size. It has been identified as a ligand for the class I human leukocyte antigen (HLA-I) in thymus. Studies of the orthologous mouse protein suggest that it may also play a role in spermatid differentiation, a",False,0.2
5,CCL25,3230,0.9601841409385304,0.16956137120723724,0.1694711446762085,0.6699557304382324,0.04369694762366372,4,5.193111896514893,2.630664587020874,0.0,4.90556001663208,CCL25,C-C motif chemokine ligand 25,This antimicrobial gene belongs to the subfamily of small cytokine CC genes. Cytokines are a family of secreted proteins involved in immunoregulatory and inflammatory processes. The CC cytokines are proteins characterized by two adjacent cysteines. The cytokine encoded by this gene displays chemotac,False,0.4
6,PLTP,13638,0.9582420929247768,0.053829584270715714,0.05463395640254021,0.5123094419638315,0.04325238982977897,4,2.6011877059936523,1.8484728336334229,0.0,2.7680954933166504,PLTP,phospholipid transfer protein,"The protein encoded by this gene is one of at least two lipid transfer proteins found in human plasma. The encoded protein transfers phospholipids from triglyceride-rich lipoproteins to high density lipoprotein (HDL). In addition to regulating the size of HDL particles, this protein may be involved ",False,0.4
7,CD1B,3311,0.957704339997174,0.0968417227268219,0.09566296637058258,0.5806679328282675,0.042026345450619784,4,4.503548622131348,2.460362195968628,0.0,2.916489362716675,CD1B,CD1b molecule,"This gene encodes a member of the CD1 family of transmembrane glycoproteins, which are structurally related to the major histocompatibility complex (MHC) proteins and form heterodimers with beta-2-microglobulin. The CD1 proteins mediate the presentation of primarily lipid and glycolipid antigens of ",False,0.4
8,PTCRA,14316,0.9561498575425108,0.10157868266105652,0.09871809184551239,0.5795582135518392,0.04183745656173099,4,4.754863739013672,2.5247817039489746,0.0,2.631882667541504,PTCRA,pre T cell antigen receptor alpha,"The protein encoded by this gene is a single-pass type I membrane protein that is found in immmature but not mature T-cells. Along with TCRB and CD3 complex, the encoded protein forms the pre-T-cell receptor complex, which regulates early T-cell development. Four transcript variants encoding differe",False,0.4
9,RAG1,14599,0.9549851362787531,0.0645698681473732,0.0652465745806694,0.5582644740740458,0.04075373811716654,4,3.868311882019043,2.283421516418457,0.0,2.879622220993042,RAG1,recombination activating 1,"The protein encoded by this gene is involved in activation of immunoglobulin V-D-J recombination. The encoded protein is involved in recognition of the DNA substrate, but stable binding and cleavage activity also requires RAG2. Defects in this gene can be the cause of several diseases. [provided by ",False,0.4
10,CD1E,3314,0.9544745405592534,0.05826999619603157,0.0569722019135952,0.5477932393550873,0.039979037216019364,4,3.6094021797180176,2.2045795917510986,0.0,2.824394941329956,CD1E,CD1e molecule,"This gene encodes a member of the CD1 family of transmembrane glycoproteins, which are structurally related to the major histocompatibility complex (MHC) proteins and form heterodimers with beta-2-microglobulin. The CD1 proteins mediate the presentation of primarily lipid and glycolipid antigens of ",False,0.4
11,C14orf23,1899,0.9513793506074428,0.13153469562530518,0.13214045763015747,0.5785064895947775,0.038245613568057335,4,4.009501934051514,2.32466721534729,0.0,3.3456926345825195,LINC01551,long intergenic non-protein coding RNA 1551,,False,0.0
12,RAG2,14601,0.9506072539336425,0.1528729945421219,0.14905644953250885,0.6269223590691885,0.038062607799381976,4,5.87890625,2.782179117202759,0.0,2.928764581680298,RAG2,recombination activating 2,"This gene encodes a protein that is involved in the initiation of V(D)J recombination during B and T cell development. This protein forms a complex with the product of the adjacent recombination activating gene 1, and this complex can form double-strand breaks by cleaving DNA at conserved recombinat",False,0.4
13,LOC284551,9899,0.9503802120786398,0.09601423144340515,0.0945836752653122,0.5665080944697062,0.03821618298236906,4,4.512940883636475,2.462822198867798,0.0,2.482301950454712,LOC284551,Unknown,,False,0.0
14,TCF7,17808,0.9487802242497143,0.04330776631832123,0.043854426592588425,0.5140769481658936,0.03696087581832175,4,3.0740139484405518,2.0264508724212646,0.0,2.348294496536255,TCF7,transcription factor 7,This gene encodes a member of the T-cell factor/lymphoid enhancer-binding factor family of high mobility group (HMG) box transcriptional activators. This gene is expressed predominantly in T-cells and plays a critical role in natural killer cell and innate lymphoid cell development. The encoded prot,False,0.4
15,CD1A,3310,0.9484615189519618,0.03458157926797867,0.03354969620704651,0.520336369673411,0.03605717640679407,4,2.989684581756592,1.996274709701538,0.0,2.62040638923645,CD1A,CD1a molecule,"This gene encodes a member of the CD1 family of transmembrane glycoproteins, which are structurally related to the major histocompatibility complex (MHC) proteins and form heterodimers with beta-2-microglobulin. The CD1 proteins mediate the presentation of primarily lipid and glycolipid antigens of ",False,0.4
16,FOXN1,6626,0.947439739219599,0.056899379938840866,0.0568055585026741,0.5431634386380514,0.036460163856788075,4,2.79399037361145,1.9237160682678223,0.0,3.50091290473938,CD1D,CD1d molecule,"This gene encodes a divergent member of the CD1 family of transmembrane glycoproteins, which are structurally related to the major histocompatibility complex (MHC) proteins and form heterodimers with beta-2-microglobulin. The CD1 proteins mediate the presentation of primarily lipid and glycolipid an",False,0.4
17,FAM163A,5963,0.9470427665936678,0.04070324823260307,0.04033572971820831,0.5625739296277364,0.03593301481028943,4,3.2665462493896484,2.0930685997009277,0.0,3.6106717586517334,CD1E,CD1e molecule,"This gene encodes a member of the CD1 family of transmembrane glycoproteins, which are structurally related to the major histocompatibility complex (MHC) proteins and form heterodimers with beta-2-microglobulin. The CD1 proteins mediate the presentation of primarily lipid and glycolipid antigens of ",False,0.4
18,CCR9,3283,0.9458648597152275,0.07088395953178406,0.07085072994232178,0.5722451210021973,0.03421994626609637,4,4.478813171386719,2.4538633823394775,0.0,2.688540458679199,CD1B,CD1b molecule,"This gene encodes a member of the CD1 family of transmembrane glycoproteins, which are structurally related to the major histocompatibility complex (MHC) proteins and form heterodimers with beta-2-microglobulin. The CD1 proteins mediate the presentation of primarily lipid and glycolipid antigens of ",False,0.4
19,DNTT,5124,0.9456009981713673,0.1709592640399933,0.1677320897579193,0.646331399679184,0.034828000837486384,4,6.077639579772949,2.823268413543701,0.0,3.312302589416504,CD1C,CD1c molecule,"This gene encodes a member of the CD1 family of transmembrane glycoproteins, which are structurally related to the major histocompatibility complex (MHC) proteins and form heterodimers with beta-2-microglobulin. The CD1 proteins mediate the presentation of primarily lipid and glycolipid antigens of ",False,0.4
