rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,CAPS,2961,0.9991232520746254,0.048666950315237045,0.04648752138018608,0.4615853776534398,0.09300111542807477,4,1.9230217933654785,1.5474605560302734,0.0,1.9245394468307495,CADPS,calcium dependent secretion activator,"This gene encodes a novel neural/endocrine-specific cytosolic and peripheral membrane protein required for the Ca2+-regulated exocytosis of secretory vesicles. The protein acts at a stage in exocytosis that follows ATP-dependent priming, which involves the essential synthesis of phosphatidylinositol",False,0.2
2,SCGB2A1,15589,0.9988650932826137,0.10636500269174576,0.09805065393447876,0.49803311626116437,0.12774687248218708,4,2.3513102531433105,1.744725227355957,0.0,2.5896832942962646,CAPS,calcyphosine,"This gene encodes a calcium-binding protein, which may play a role in the regulation of ion transport. A similar protein was first described as a potentially important regulatory protein in the dog thyroid and was termed as R2D5 antigen in rabbit. Alternative splicing of this gene generates two tran",False,0.2
3,CEACAM8,3543,0.9984364522694622,0.06171435862779617,0.05637134984135628,0.427992249528567,0.10525414717920323,4,1.4490047693252563,1.2921955585479736,0.0,1.3907628059387207,SCGB2A1,secretoglobin family 2A member 1,"Involved in androgen receptor signaling pathway. Located in extracellular space. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
4,MSX1,11265,0.9983049374131544,0.16047683358192444,0.14775213599205017,0.49606887996196747,0.10062316129077997,4,2.552743911743164,1.8289337158203125,0.0,2.329322576522827,CEACAM8,CEA cell adhesion molecule 8,"Enables protein heterodimerization activity. Involved in heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules. Located in cell surface and extracellular space. Biomarker of severe acute respiratory syndrome. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
5,DLX5,5013,0.9978957800824189,0.09932045638561249,0.09251438081264496,0.48169205089410144,0.11236127255963324,4,2.107189416885376,1.6356102228164673,0.0,2.3435721397399902,MSX1,msh homeobox 1,"This gene encodes a member of the muscle segment homeobox gene family. The encoded protein functions as a transcriptional repressor during embryogenesis through interactions with components of the core transcription complex and other homeoproteins. It may also have roles in limb-pattern formation, c",False,0.4
6,SOX17,17024,0.9978275871939629,0.17320694029331207,0.15719451010227203,0.5342886646588644,0.13677447602559578,4,2.6995229721069336,1.8873392343521118,0.0,3.329136848449707,DLX5,distal-less homeobox 5,"This gene encodes a member of a homeobox transcription factor gene family similiar to the Drosophila distal-less gene. The encoded protein may play a role in bone development and fracture healing. Mutation in this gene, which is located in a tail-to-tail configuration with another member of the fami",False,0.4
7,DLX6,5014,0.9976083957667832,0.09204164147377014,0.08666931837797165,0.49002135296662647,0.11802792380963933,4,2.1619958877563477,1.6608355045318604,0.0,2.538644790649414,SOX17,SRY-box transcription factor 17,This gene encodes a member of the SOX (SRY-related HMG-box) family of transcription factors involved in the regulation of embryonic development and in the determination of the cell fate. The encoded protein may act as a transcriptional regulator after forming a protein complex with other proteins. [,False,0.4
8,STX18,17440,0.9973989461808115,0.13005276024341583,0.12344211339950562,0.4944698264201482,0.11238141578588845,4,2.82696270942688,1.9361997842788696,0.0,2.007132053375244,DLX6,distal-less homeobox 6,This gene encodes a member of a homeobox transcription factor gene family similiar to the Drosophila distal-less gene. This family is comprised of at least 6 different members that encode proteins with roles in forebrain and craniofacial development. This gene is in a tail-to-tail configuration with,False,0.2
9,LYPLAL1,10436,0.9973502369747715,0.15121683478355408,0.14546628296375275,0.47600023945172626,0.09356407090070085,4,2.358658790588379,1.7478852272033691,0.0,1.9213484525680542,STX18,syntaxin 18,"This gene encodes a member of the syntaxin family of soluble N-ethylmaleimide-sensitive factor attachment protein receptors (SNAREs) which is part of a membrane tethering complex that includes other SNAREs and several peripheral membrane proteins, and is involved in vesicular transport between the e",False,0.4
10,PAX8,12983,0.9964090130341942,0.04864788055419922,0.04680173471570015,0.4498708446820577,0.0905625451275811,4,1.5489206314086914,1.349886417388916,0.0,1.9472047090530396,LYPLAL1,lysophospholipase like 1,Predicted to enable carboxylic ester hydrolase activity and palmitoyl-(protein) hydrolase activity. Predicted to be involved in protein depalmitoylation. Predicted to act upstream of or within negative regulation of Golgi to plasma membrane protein transport. Located in cytosol. [provided by Allianc,False,0.2
11,ASRGL1,1132,0.9948531895014725,0.06637824326753616,0.06095058470964432,0.4623694022496541,0.09016804619841379,4,1.8178222179412842,1.494580626487732,0.0,2.05325984954834,PAX8,paired box 8,"This gene encodes a member of the paired box (PAX) family of transcription factors. Members of this gene family typically encode proteins that contain a paired box domain, an octapeptide, and a paired-type homeodomain. This nuclear protein is involved in thyroid follicular cell development and expre",False,0.4
12,NR3C1,12089,0.99379743690721,0.041919659823179245,0.038325391709804535,0.4519849419593811,0.08773506690512045,4,1.7769583463668823,1.4735056161880493,0.0,1.7825897932052612,ASRGL1,asparaginase and isoaspartyl peptidase 1,"Enables asparaginase activity and beta-aspartyl-peptidase activity. Involved in asparagine catabolic process via L-aspartate. Located in cytoplasm. [provided by Alliance of Genome Resources, Apr 2022]",False,0.4
13,RPS26P11,15292,0.9936534213923391,0.07165991514921188,0.06662794202566147,0.4427126944065094,0.08845755768168106,4,1.5770378112792969,1.3657137155532837,0.0,1.7043429613113403,NR3C1,nuclear receptor subfamily 3 group C member 1,"This gene encodes glucocorticoid receptor, which can function both as a transcription factor that binds to glucocorticoid response elements in the promoters of glucocorticoid responsive genes to activate their transcription, and as a regulator of other transcription factors. This receptor is typical",False,0.4
14,KLHL14,9139,0.9935379789073342,0.05787713825702667,0.05533791705965996,0.4617738723754883,0.08778838807495482,4,1.6717312335968018,1.4177749156951904,0.0,2.1814849376678467,RPS26P11,ribosomal protein S26 pseudogene 11,,False,0.0
15,CCL23,3228,0.9933905937188504,0.03855561465024948,0.0349663607776165,0.41608527054389316,0.10627903089197166,4,1.267225742340088,1.1809279918670654,0.0,1.2153323888778687,RPS26P11,ribosomal protein S26 pseudogene 11,"Predicted to enable mRNA binding activity. Predicted to be a structural constituent of ribosome. Predicted to be involved in translation. Predicted to be part of cytosolic small ribosomal subunit. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
