rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,LYPLAL1,10436,0.9471471632551497,0.07180867344141006,0.0725628063082695,0.5054644147555033,0.023593405706833215,4,2.9690213203430176,1.988783359527588,6.581832418615164e-29,2.194911241531372,LYPLAL1,lysophospholipase like 1,Predicted to enable carboxylic ester hydrolase activity and palmitoyl-(protein) hydrolase activity. Predicted to be involved in protein depalmitoylation. Predicted to act upstream of or within negative regulation of Golgi to plasma membrane protein transport. Located in cytosol. [provided by Allianc,False,0.2
2,EMID2,5558,0.9435168456809422,0.02591678686439991,0.026369793340563774,0.5060495386521021,0.02181187568427423,4,2.3507471084594727,1.7444827556610107,8.298975799364513e-31,2.8307390213012695,COL26A1,collagen type XXVI alpha 1 chain,"This gene encodes a protein containing an emilin domain and two collagen stretches. This gene may be associated with aspirin-intolerant asthma. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2013].",False,0.4
3,CACNA1G,2864,0.9347056629299331,0.01803135871887207,0.017587846145033836,0.4847933153311412,0.016982067811742052,4,2.2210068702697754,1.687511682510376,4.782369751890763e-27,2.3227925300598145,CACNA1G,calcium voltage-gated channel subunit alpha1 G,"Voltage-sensitive calcium channels mediate the entry of calcium ions into excitable cells, and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division, and cell death. This gene en",False,0.4
4,PRAME,13979,0.9306810112098715,0.0134141119197011,0.013509778305888176,0.4590358187754949,0.0158966615530991,4,1.5851901769638062,1.3702704906463623,8.602517358352143e-26,2.185884475708008,PRAME,PRAME nuclear receptor transcriptional regulator,"This gene encodes an antigen that is preferentially expressed in human melanomas and that is recognized by cytolytic T lymphocytes. It is not expressed in normal tissues, except testis. The encoded protein acts as a repressor of retinoic acid receptor, and likely confers a growth advantage to cancer",False,0.2
5,TMEM101,18139,0.9301408657302238,0.04866136237978935,0.04879714548587799,0.5311842362085978,0.014351712465503708,4,3.2854490280151367,2.0994462966918945,7.27947385800814e-30,2.6500778198242188,TMEM101,transmembrane protein 101,"Involved in positive regulation of I-kappaB kinase/NF-kappaB signaling. Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
6,NT5DC2,12153,0.9293616824092431,0.011120888404548168,0.011082240380346775,0.45540136595567066,0.01467990522360818,4,1.607913851737976,1.3828963041305542,5.132686265472713e-27,2.0541272163391113,NT5DC2,5'-nucleotidase domain containing 2,"Predicted to enable 5'-nucleotidase activity. Predicted to be involved in dephosphorylation. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
7,ZNF346,20107,0.9289043314275763,0.011564656160771847,0.011203655041754246,0.44819868604342145,0.014378621037468564,4,1.6636632680892944,1.4134117364883423,8.80098666588145e-23,1.7822973728179932,ZNF346,zinc finger protein 346,"The protein encoded by this gene is a nucleolar, zinc finger protein that preferentially binds to double-stranded (ds) RNA or RNA/DNA hybrids, rather than DNA alone. Mutational studies indicate that the zinc finger domains are not only essential for dsRNA binding, but are also required for its nucle",False,0.2
8,TNMD,18457,0.9285289531150118,0.014188124798238277,0.012418962083756924,0.4645061095555623,0.015245567305562702,4,2.3617258071899414,1.749202013015747,9.942895786235821e-21,1.5734573602676392,TNMD,tenomodulin,"This gene encodes a protein that is related to chondromodulin-I, which is a cartilage-specific glycoprotein that functions to stimulate chondrocyte growth and to inhibit tube formation of endothelial cells. This protein is also an angiogenesis inhibitor. Genetic variation in this gene is associated ",False,0.2
9,ZBTB7A,19790,0.9276946015382966,0.01087938528507948,0.01036875881254673,0.4949094255765279,0.015460877501013659,4,2.375662088394165,1.755170464515686,3.3275296793025035e-29,2.471620798110962,ZBTB7A,zinc finger and BTB domain containing 7A,"Enables several functions, including SMAD binding activity; androgen receptor binding activity; and transcription corepressor binding activity. Involved in several processes, including erythrocyte maturation; negative regulation of signal transduction; and regulation of nucleobase-containing compoun",False,0.2
10,LRRC3B,10309,0.9276165504174856,0.019315792247653008,0.018753858283162117,0.44603293637434643,0.014027302644195938,4,1.6975876092910767,1.4316697120666504,1.6603795449623858e-21,1.6834003925323486,LRRC3B,leucine rich repeat containing 3B,"The protein encoded by this gene is a tumor suppressor, with lowered expression levels found in gastric, renal, colorectal, lung, and breast cancer tissues. The promoter of this gene is frequently hypermethylated in these cancer tissues, although the hypermethylation does not appear to be the cause ",False,0.2
