rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,TMEM200C,18252,0.9789774163587971,0.035096172243356705,0.033476587384939194,0.6038502554098765,0.04540161472572968,4,3.3958210945129395,2.1361327171325684,0.0,4.719686508178711,TMEM200C,transmembrane protein 200C,"Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,0.0
2,FAM53B,6097,0.9755311537776571,0.04513989016413689,0.04417610913515091,0.6536706884702047,0.04320481430392897,4,4.045429229736328,2.3349769115448,0.0,5.564691543579102,FAM53B,family with sequence similarity 53 member B,"Involved in positive regulation of canonical Wnt signaling pathway. Located in nucleus. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
3,TBC1D16,17713,0.9697206038090593,0.025290265679359436,0.023143811151385307,0.645598828792572,0.040748068272183025,4,4.077150344848633,2.3440189361572266,0.0,5.290814399719238,TBC1D16,TBC1 domain family member 16,"Enables GTPase activator activity. Involved in regulation of receptor recycling. Located in cytosol and early endosome. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
4,EXOC3,5774,0.9679759515555922,0.05220814421772957,0.051982201635837555,0.6443180640538534,0.039968194242791855,4,5.276597023010254,2.6499826908111572,0.0,4.052944660186768,EXOC3,exocyst complex component 3,"The protein encoded by this gene is a component of the exocyst complex, a multiple protein complex essential for targeting exocytic vesicles to specific docking sites on the plasma membrane. Though best characterized in yeast, the component proteins and functions of exocyst complex have been demonst",False,0.2
5,GAPDHS,6857,0.96789469502373,0.05314765125513077,0.05066126585006714,0.7777121464411417,0.04015951515863003,4,5.476372241973877,2.695185899734497,0.0,7.854991912841797,GAPDHS,"glyceraldehyde-3-phosphate dehydrogenase, spermatogenic","This gene encodes a protein belonging to the glyceraldehyde-3-phosphate dehydrogenase family of enzymes that play an important role in carbohydrate metabolism. Like its somatic cell counterpart, this sperm-specific enzyme functions in a nicotinamide adenine dinucleotide-dependent manner to remove hy",False,0.4
6,CABLES1,2849,0.9669299017261246,0.03050185739994049,0.027943018823862076,0.6083734234174093,0.039641719065834025,4,3.4182076454162598,2.143461227416992,0.0,4.8329949378967285,CABLES1,Cdk5 and Abl enzyme substrate 1,"This gene encodes a protein involved in regulation of the cell cycle through interactions with several cyclin-dependent kinases. One study (PMID: 16177568) reported aberrant splicing of transcripts from this gene which results in removal of the cyclin binding domain only in human cancer cells, and r",False,0.2
7,LRRN4CL,10353,0.9658062236418508,0.04265837371349335,0.04240626096725464,0.5931089421113332,0.03903284332255441,4,3.2054924964904785,2.072274684906006,0.0,4.587775707244873,LRRN4CL,LRRN4 C-terminal like,"Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,0.0
8,MLANA,10973,0.9655378379515139,0.05572427436709404,0.05628887563943863,0.7249054412047068,0.03891653740624812,4,4.684254169464111,2.5069711208343506,0.0,7.062909126281738,MLANA,melan-A,"Located in endoplasmic reticulum membrane; melanosome; and trans-Golgi network. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
9,CCDC140,3099,0.9650407784547506,0.07142957299947739,0.069431833922863,0.7443873882293701,0.03855052289758065,4,5.803324222564697,2.766239881515503,0.0,6.5282979011535645,CCDC140,CCDC140 long non-coding RNA,"This gene encodes a protein that appears to be restricted to select higher primate species. This protein contains a C-terminal coiled-coil domain, which is a versatile structural motif consisting of multiple amphipathic alpha-helices that twist around each other to form a supercoil. [provided by Ref",False,0.2
10,NANOS1,11534,0.9648605731520568,0.040665335953235626,0.038487378507852554,0.5606064399083456,0.038452372301487125,4,3.2865395545959473,2.099813461303711,0.0,3.531653642654419,NANOS1,nanos C2HC-type zinc finger 1,This gene encodes a CCHC-type zinc finger protein that is a member of the nanos family. This protein co-localizes with the RNA-binding protein pumilio RNA-binding family member 2 and may be involved in regulating translation as a post-transcriptional repressor. Mutations in this gene are associated ,False,0.2
