cancer_type,n_samples,n_biomarkers,n_known_cancer_genes,pct_known,top_biomarker,top_score,top_is_known,mean_validation_score
BLCA,100,50,0,0.0%,SNCG,0.9994788291216676,False,0.23600000000000002
THYM,100,50,0,0.0%,PAX1,0.973019835390333,False,0.252
BRCA,100,50,2,4.0%,ESR1,1.1486108339024477,True,0.26799999999999996
CESC,100,50,1,2.0%,CDKN2A,1.0981782950965708,True,0.25999999999999995
COAD,100,50,0,0.0%,NXPE1,0.9991573484810701,False,0.268
GBM,100,50,0,0.0%,PPIAL4C,0.999425249025069,False,0.17600000000000002
ESCA,100,50,0,0.0%,UTF1,0.9994447327179775,False,0.23199999999999998
KIRC,100,50,1,2.0%,VHL,1.0596060413470396,True,0.28
HNSC,100,50,0,0.0%,KRT14,0.9995324094093637,False,0.16
LIHC,100,50,0,0.0%,ABCB11,0.9992645087788102,False,0.33199999999999996
LGG,100,50,1,2.0%,PROC,1.0601550490042246,False,0.25199999999999995
KIRP,100,50,0,0.0%,RHEX,0.9994252490338775,False,0.268
LAML,100,50,1,2.0%,EGFR,1.050605321083913,True,0.272
LUAD,100,50,1,2.0%,ROS1,1.1470592020344612,True,0.288
PAAD,100,50,0,0.0%,PRSS3P2,0.9994690871928997,False,0.308
OV,100,50,0,0.0%,WT1,0.9988602223525671,False,0.22399999999999998
LUSC,100,50,0,0.0%,PSMD2,0.9991622193484577,False,0.28
UCEC,100,50,0,0.0%,CADPS,0.9991232520746254,False,0.21999999999999997
STAD,100,50,0,0.0%,ASB18,0.9990794137693602,False,0.252
TGCT,100,50,0,0.0%,LIM2,0.9992645085999089,False,0.24
PCPG,100,50,0,0.0%,DGKK,0.9994349909199481,False,0.25599999999999995
READ,100,50,0,0.0%,CDX1,0.9992742503113268,False,0.26799999999999996
PRAD,100,50,1,2.0%,TMPRSS2,1.032138475031268,True,0.284
SARC,100,50,0,0.0%,LOC407835,0.9991086391519439,False,0.14800000000000002
SKCM,100,50,0,0.0%,MFSD12,0.9991817030948406,False,0.256
THCA,100,50,0,0.0%,GFRA4,0.9992596378744545,False,0.29600000000000004
KICH,91,50,0,0.0%,BSND,0.9768964361220864,False,0.272
MESO,87,50,0,0.0%,CPA4,0.9617470909610739,False,0.264
UVM,80,50,0,0.0%,TMEM200C,0.9789774163587971,False,0.21999999999999997
ACC,79,50,0,0.0%,ZNF275,0.9768975514790865,False,0.26400000000000007
UCS,57,50,0,0.0%,LYPLAL1,0.9471471632551497,False,0.23999999999999996
DLBC,48,50,0,0.0%,NFKBIE,0.9859732351350339,False,0.27999999999999997
CHOL,45,50,0,0.0%,APCS,0.9485115625933135,False,0.28400000000000003
