cancer_type,n_patients,os_log_rank_p,os_median_by_risk,pfi_log_rank_p,pfi_median_by_risk
BRCA,1215,7.894874784306351e-19,"{'0': 3736.0, '1': 3461.0, '2': 1034.0}",7.085110700840115e-26,"{'0': 4456.0, '1': inf, '2': 792.0}"
KIRC,606,1.5888183865693038e-33,"{'0': inf, '1': 2564.0, '2': 722.0}",5.971087389776308e-70,"{'0': inf, '1': 2003.0, '2': 307.0}"
LUAD,576,5.203524861475081e-11,"{'0': 1725.0, '1': 879.0, '2': 976.0}",0.004404793297715391,"{'0': 1378.0, '1': 772.0, '2': 680.0}"
THCA,572,1.7085159625695057e-06,"{'0': inf, '1': inf, '2': 1854.0}",5.1777340834037675e-06,"{'0': inf, '1': inf, '2': 1708.0}"
HNSC,566,0.002175381147866859,"{'0': 2570.0, '1': 1718.0, '2': 1134.0}",0.0017552681463812731,"{'0': 2570.0, '1': 6417.0, '2': 1369.0}"
UCEC,555,0.00441154013278628,"{'0': 3112.0, '1': inf}",0.0013404380604585596,"{'0': 2113.0, '1': inf}"
LUSC,552,0.0006759940848899721,"{'0': 1736.0, '1': 965.0, '2': 716.0}",0.004257048775901812,"{'0': 2305.0, '1': 1278.0, '2': inf}"
LGG,529,0.008566600517782588,"{'0': 2660.0, '2': 561.0}",0.290916026942094,"{'0': 1242.0, '2': 561.0}"
COAD,492,2.96582425149274e-14,"{'0': 3042.0, '1': inf, '2': 858.0}",3.5070613347456715e-23,"{'0': inf, '1': inf, '2': 439.0}"
SKCM,473,7.111155001580333e-05,"{'0': 3379.0, '1': 1960.0, '2': 854.0}",2.1390100444043225e-06,"{'0': 1418.0, '1': 728.0, '2': 147.0}"
STAD,450,2.7824692343461963e-05,"{'0': 1811.0, '1': 779.0, '2': 476.0}",0.0031461260720582183,"{'0': inf, '1': 807.0, '2': 487.0}"
BLCA,427,5.77625646885877e-08,"{'0': 2828.0, '1': 1077.0, '2': 577.0}",4.659266588185161e-12,"{'0': 1665.0, '1': 3086.0, '2': 382.0}"
LIHC,423,3.723122209120341e-06,"{'0': 1852.0, '1': 802.0, '2': 223.0}",2.2193001124096786e-06,"{'0': 879.0, '1': 293.0, '2': 289.0}"
KIRP,323,3.6102185084998344e-16,"{'0': inf, '1': 2624.0, '2': 293.0}",3.995944333702301e-17,"{'0': 3228.0, '1': 1022.0, '2': 258.0}"
CESC,309,0.32166896337591155,"{'0': inf, '1': 1210.0, '2': 3097.0}",0.6244903185295893,"{'0': inf, '1': 1210.0, '2': inf}"
OV,308,0.6987103113683966,"{'0': 542.0, '1': 1348.0}",0.5157557044610686,"{'0': 2205.0, '1': 548.0}"
ESCA,196,0.0002809729002167202,"{'0': 1402.0, '1': 610.0, '2': 480.0}",0.013629261276431803,"{'0': 832.0, '1': 400.0, '2': 362.0}"
PAAD,183,0.8024857516486014,"{'0': 607.0, '1': inf, '2': inf}",0.9604653652732669,"{'0': 476.0, '1': 394.0, '2': 555.0}"
READ,170,0.026363524445582633,"{'0': inf, '1': 1741.0, '2': 1185.0}",7.833652497616066e-06,"{'0': 3316.0, '1': 1042.0, '2': 610.0}"
TGCT,139,0.2193254060501366,"{'0': inf, '1': inf}",0.11647087831549893,"{'0': 4323.0, '1': inf}"
KICH,91,6.099903521170608e-17,"{'0': inf, '1': inf, '2': 855.0}",1.4500774349188127e-17,"{'0': inf, '1': inf, '2': 148.0}"
MESO,87,0.9771647102081396,"{'0': 449.0, '1': 591.0, '2': 630.0}",0.5791293209921768,"{'0': 313.0, '1': 409.0, '2': 546.0}"
UVM,80,1.5219255877881922e-10,"{'0': 1396.0, '1': 1581.0, '2': 114.0}",3.0440170685142808e-05,"{'0': 1377.0, '1': 1299.0, '2': 82.0}"
ACC,79,1.4834192487488119e-06,"{'0': inf, '1': 1197.0, '2': 562.0}",4.236331746271362e-06,"{'0': inf, '1': 444.0, '2': 289.0}"
CHOL,45,0.21218499031688712,"{'0': 1220.0, '2': 924.0}",0.510354396937045,"{'0': 295.0, '2': 362.0}"
