rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,CDX1,3523,0.9992742503113268,0.0834503248333931,0.08089713007211685,0.5701889395713806,0.04261683552096307,4,2.9440605640411377,1.9796817302703857,0.0,4.16160774230957,CDX1,caudal type homeobox 1,"This gene is a member of the caudal-related homeobox transcription factor gene family. The encoded DNA-binding protein regulates intestine-specific gene expression and enterocyte differentiation. It has been shown to induce expression of the intestinal alkaline phosphatase gene, and inhibit beta-cat",False,0.2
2,CCL24,3229,0.9991476063756229,0.05079752951860428,0.049331795424222946,0.5194179018338522,0.03759535304640682,4,2.608380079269409,1.851351261138916,0.0,2.9741570949554443,CCL24,C-C motif chemokine ligand 24,This gene belongs to the subfamily of small cytokine CC genes. Cytokines are a family of secreted proteins involved in immunoregulatory and inflammatory processes. The CC cytokines are proteins characterized by two adjacent cysteines. The cytokine encoded by this gene displays chemotactic activity o,False,0.4
3,CASP5,2999,0.999137864534415,0.031711872667074203,0.032113149762153625,0.4893611470858256,0.02705666482685465,4,2.245295286178589,1.6983497142791748,0.0,2.4355390071868896,CASP5,caspase 5,This gene encodes a member of the cysteine-aspartic acid protease (caspase) family. Sequential activation of caspases plays a central role in the execution-phase of cell apoptosis. Caspases exist as inactive proenzymes which undergo proteolytic processing at conserved aspartic residues to produce tw,False,0.4
4,CEACAM7,3542,0.999118380851999,0.03183776140213013,0.03110738843679428,0.4875362465778987,0.023075716839761062,4,2.1508021354675293,1.6557191610336304,0.0,2.475285291671753,CEACAM7,CEA cell adhesion molecule 7,"This gene encodes a cell surface glycoprotein and member of the carcinoembryonic antigen (CEA) family of proteins. Expression of this gene may be downregulated in colon and rectal cancer. Additionally, lower expression levels of this gene may be predictive of rectal cancer recurrence. This gene is p",False,0.2
5,CDH17,3440,0.999098897169583,0.04998423531651497,0.0492415651679039,0.5508847733338674,0.043107016048706814,4,2.6757872104644775,1.8780533075332642,0.0,3.8507559299468994,CDH17,cadherin 17,"This gene is a member of the cadherin superfamily, genes encoding calcium-dependent, membrane-associated glycoproteins. The encoded protein is cadherin-like, consisting of an extracellular region, containing 7 cadherin domains, and a transmembrane region but lacking the conserved cytoplasmic domain.",False,0.4
6,CDX2,3524,0.999094026248979,0.06753870099782944,0.06693318486213684,0.561177005370458,0.04228236912693739,4,2.806180953979492,1.9283441305160522,0.0,4.0291290283203125,CDX2,caudal type homeobox 2,This gene is a member of the caudal-related homeobox transcription factor gene family. The encoded protein is a major regulator of intestine-specific genes involved in cell growth an differentiation. This protein also plays a role in early embryonic development of the intestinal tract. Aberrant expr,False,0.4
7,CEACAM5,3540,0.9990307042811271,0.03989645093679428,0.03886070102453232,0.49590587615966797,0.038735823548500914,4,2.010640859603882,1.5900706052780151,0.0,2.8665354251861572,CEACAM5,CEA cell adhesion molecule 5,This gene encodes a cell surface glycoprotein that represents the founding member of the carcinoembryonic antigen (CEA) family of proteins. The encoded protein is used as a clinical biomarker for gastrointestinal cancers and may promote tumor development through its role as a cell adhesion molecule.,False,0.2
8,SLC26A3,16234,0.9990063496781072,0.07623457908630371,0.07325222343206406,0.5222082932790121,0.03179294039257252,4,2.7692484855651855,1.9142769575119019,0.0,2.897000312805176,SLC26A3,solute carrier family 26 member 3,"The protein encoded by this gene is a transmembrane glycoprotein that transports chloride ions across the cell membrane in exchange for bicarbonate ions. It is localized to the mucosa of the lower intestinal tract, particularly to the apical membrane of columnar epithelium and some goblet cells. The",False,0.4
9,CELP,3568,0.9989868659956912,0.049304209649562836,0.04883776232600212,0.48026060064633685,0.023165022529950008,4,2.308242082595825,1.7260648012161255,0.0,2.099575996398926,CELP,carboxyl ester lipase pseudogene,,False,0.0
10,NKX2-3,11905,0.9989235440278392,0.06694363802671432,0.0646953284740448,0.4698468993107478,0.023362364127609725,4,1.8516228199005127,1.5117831230163574,0.0,2.243784189224243,NKX2-3,NK2 homeobox 3,"This gene encodes a homeodomain-containing transcription factor. The encoded protein is a member of the NKX family of homeodomain transcription factors. Studies of similar proteins in mouse and rat have indicated a potential role in cellular differentiation.[provided by RefSeq, Mar 2010].",False,0.2
