rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
1,VHL,19372,1.0596060413470396,0.04075150936841965,0.0388074666261673,0.42519085109233856,0.04525649435380408,4,1.3412635326385498,1.2272872924804688,0.0,1.4144619703292847,VHL,von Hippel-Lindau tumor suppressor,"This gene encodes a component of a ubiquitination complex. The encoded protein is involved in the ubiquitination and degradation of hypoxia-inducible-factor (HIF), which is a transcription factor that plays a central role in the regulation of gene expression by oxygen. In addition to oxygen-related ",True,1.0
2,HAVCR1,7649,0.9992109286384261,0.07928083091974258,0.07385120540857315,0.5105194300413132,0.10053919134103584,4,2.4572176933288574,1.7896114587783813,0.0,2.858365058898926,HAVCR1,hepatitis A virus cellular receptor 1,The protein encoded by this gene is a membrane receptor for both human hepatitis A virus (HHAV) and TIMD4. The encoded protein may be involved in the moderation of asthma and allergic diseases. The reference genome represents an allele that retains a MTTVP amino acid segment that confers protection ,False,0.2
3,SLC16A4,16125,0.9991524775911782,0.04581078886985779,0.04528100788593292,0.47598132491111755,0.10555908697185301,4,1.8285181522369385,1.5000463724136353,0.0,2.4509215354919434,SLC16A4,solute carrier family 16 member 4,"Predicted to enable monocarboxylic acid transmembrane transporter activity. Predicted to be involved in monocarboxylic acid transport. Predicted to be located in membrane. Predicted to be integral component of plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
4,ACSM2B,220,0.9990988974645342,0.06105266883969307,0.0562627948820591,0.5196966230869293,0.09234295486433841,4,2.4930777549743652,1.8044987916946411,0.0,3.09782075881958,ACSM2B,acyl-CoA synthetase medium chain family member 2B,"Enables benzoate-CoA ligase activity. Predicted to be involved in acyl-CoA metabolic process and fatty acid biosynthetic process. Located in mitochondrion. [provided by Alliance of Genome Resources, Apr 2022]",False,0.4
5,DMGDH,5021,0.9990648010203063,0.044304538518190384,0.04072742909193039,0.5023626387119293,0.11481964706661807,4,2.1151187419891357,1.6392871141433716,0.0,2.9557604789733887,DMGDH,dimethylglycine dehydrogenase,"This gene encodes an enzyme involved in the catabolism of choline, catalyzing the oxidative demethylation of dimethylglycine to form sarcosine. The enzyme is found as a monomer in the mitochondrial matrix, and uses flavin adenine dinucleotide and folate as cofactors. Mutation in this gene causes dim",False,0.4
6,ACMSD,180,0.9990160918142663,0.060926876962184906,0.05772719532251358,0.5155099928379059,0.08985702149294283,4,2.3518171310424805,1.7449434995651245,0.0,3.113482713699341,ACMSD,aminocarboxymuconate semialdehyde decarboxylase,"The neuronal excitotoxin quinolinate is an intermediate in the de novo synthesis pathway of NAD from tryptophan, and has been implicated in the pathogenesis of several neurodegenerative disorders. Quinolinate is derived from alpha-amino-beta-carboxy-muconate-epsilon-semialdehyde (ACMS). ACMSD (ACMS ",False,0.4
7,553137,18,0.9989819953700383,0.08537613600492477,0.0807248204946518,0.5423995852470398,0.1231993219584433,4,2.6145174503326416,1.853803038597107,0.0,3.6574699878692627,553137,Unknown,,False,0.0
8,SLC28A1,16247,0.9988797060373544,0.05857769027352333,0.05524894595146179,0.5390343070030212,0.09955023779685779,4,2.6829187870025635,1.8808495998382568,0.0,3.488110303878784,SLC28A1,solute carrier family 28 member 1,Enables azole transmembrane transporter activity; cytidine transmembrane transporter activity; and uridine transmembrane transporter activity. Involved in azole transmembrane transport; nucleoside transport; and pyrimidine-containing compound transmembrane transport. Located in cytosol; nuclear spec,False,0.2
9,GPR4,7348,0.9988602223549385,0.04410221055150032,0.04141637310385704,0.4713182399670283,0.11238544175240084,4,1.9141287803649902,1.5430645942687988,0.0,2.2254183292388916,GPR4,G protein-coupled receptor 4,"Enables G protein-coupled receptor activity. Involved in several processes, including G protein-coupled receptor signaling pathway; positive regulation of Rho protein signal transduction; and response to acidic pH. Located in plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
10,ENPP3,5600,0.9988358677519185,0.12306996434926987,0.11235427856445312,0.49342889587084454,0.1288170391488921,4,2.259836435317993,1.7047995328903198,0.0,2.5430305004119873,ENPP3,ectonucleotide pyrophosphatase/phosphodiesterase 3,The protein encoded by this gene belongs to a series of ectoenzymes that are involved in hydrolysis of extracellular nucleotides. These ectoenzymes possess ATPase and ATP pyrophosphatase activities and are type II transmembrane proteins. Expression of the related rat mRNA has been found in a subset ,False,0.4
11,ACSM2A,219,0.9988115131488986,0.051929593086242676,0.04877059534192085,0.5234845727682114,0.1138290220996383,4,2.4945406913757324,1.805102825164795,0.0,3.209996461868286,ACSM2A,acyl-CoA synthetase medium chain family member 2A,"This gene encodes a mitochondrial acyl-coenzyme A synthetase that is specific for medium chain fatty acids. These enzymes catalyze fatty acid activation, the first step of fatty acid metabolism, through the transfer of acyl-CoA. These enzymes also participate in the glycine conjugation pathway in th",False,0.4
12,SLC5A12,16379,0.9988066422282945,0.06261628121137619,0.061100393533706665,0.49027881522973377,0.10831040487067956,4,2.347078800201416,1.7429025173187256,0.0,2.36128568649292,SLC5A12,solute carrier family 5 member 12,"Normal blood lactate is maintained at about 1.5 mM, and little filtered lactate is excreted in urine. Reabsorption of lactate is mediated by the low-affinity Na(+)-coupled lactate transporter SLC5A12 in the initial part of the proximal tubule and by the high-affinity Na(+)-coupled lactate transporte",False,0.2
13,SLC6A13,16392,0.9987628039428587,0.07400228828191757,0.07050948590040207,0.5162265251080195,0.11647260121424785,4,2.440758466720581,1.7827266454696655,0.0,3.046037197113037,SLC6A13,solute carrier family 6 member 13,"Enables amino acid transmembrane transporter activity and monocarboxylic acid transmembrane transporter activity. Involved in amino acid import across plasma membrane and monocarboxylic acid transport. Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]",False,0.4
14,GLYAT,7113,0.9987189656574227,0.06186700984835625,0.05763983353972435,0.5139996210734049,0.11015276872001234,4,2.406146287918091,1.768140435218811,0.0,3.0138423442840576,GLYAT,glycine-N-acyltransferase,The glycine-N-acyltransferase protein conjugates glycine with acyl-CoA substrates in the mitochondria. The protein is thought to be important in the detoxification of endogenous and xenobiotic acyl-CoA's. Two transcript variants encoding different isoforms have been found for this gene. [provided by,False,0.4
15,SLC6A3,16402,0.9986702564513827,0.1591940075159073,0.1493675857782364,0.5070244272549947,0.1190666001758438,4,2.785848617553711,1.9206167459487915,0.0,2.424884080886841,SLC6A3,solute carrier family 6 member 3,"This gene encodes a dopamine transporter which is a member of the sodium- and chloride-dependent neurotransmitter transporter family. The 3' UTR of this gene contains a 40 bp tandem repeat, referred to as a variable number tandem repeat or VNTR, which can be present in 3 to 11 copies. Variation in t",False,0.4
16,LOC100131551,9711,0.9986605146101747,0.16979892551898956,0.15899094939231873,0.5014847218990326,0.13732845187860487,4,2.5779671669006348,1.8391401767730713,0.0,2.4665746688842773,LOC100131551,Unknown,,False,0.0
17,CDH16,3439,0.9986166763247388,0.06858708709478378,0.06459514796733856,0.5264649788538615,0.1283255265336991,4,2.3431670665740967,1.741215467453003,0.0,3.450782299041748,CDH17,cadherin 17,"This gene is a member of the cadherin superfamily, genes encoding calcium-dependent, membrane-associated glycoproteins. The encoded protein is cadherin-like, consisting of an extracellular region, containing 7 cadherin domains, and a transmembrane region but lacking the conserved cytoplasmic domain.",False,0.4
18,SLC13A1,16106,0.9985874508011148,0.0562300980091095,0.0514216385781765,0.512500524520874,0.11671299546320824,4,2.823216199874878,1.9347867965698242,0.0,2.5517995357513428,CDH16,cadherin 16,"This gene is a member of the cadherin superfamily, genes encoding calcium-dependent, membrane-associated glycoproteins. Mapped to a previously identified cluster of cadherin genes on chromosome 16q22.1, the gene localizes with superfamily members CDH1, CDH3, CDH5, CDH8 and CDH11. The protein consist",False,0.2
19,KCNJ16,8802,0.9985338706744709,0.044307686388492584,0.04101993143558502,0.4760754704475403,0.10138459885162088,4,1.7904878854751587,1.4805172681808472,0.0,2.49177622795105,SLC13A1,solute carrier family 13 member 1,"The protein encoded by this gene is an apical membrane Na(+)-sulfate cotransporter involved in sulfate homeostasis in the kidney. Defects in this gene lead to many pathophysiologic problems. [provided by RefSeq, May 2016].",False,0.2
20,SLC10A2,16089,0.9985241288332629,0.058540984988212585,0.0544855073094368,0.5213071803251902,0.12136895786650159,4,3.0178096294403076,2.0064094066619873,0.0,2.621405839920044,KCNJ16,potassium inwardly rectifying channel subfamily J member 16,"Potassium channels are present in most mammalian cells, where they participate in a wide range of physiologic responses. The protein encoded by this gene is an integral membrane protein and inward-rectifier type potassium channel. The encoded protein, which tends to allow potassium to flow into rath",False,0.4
21,GSTA2,7490,0.9984997742302429,0.04043298214673996,0.0398918092250824,0.485969344774882,0.09518751658069502,4,2.149583339691162,1.6551610231399536,0.0,2.429497003555298,SLC10A2,solute carrier family 10 member 2,"This gene encodes a sodium/bile acid cotransporter. This transporter is the primary mechanism for uptake of intestinal bile acids by apical cells in the distal ileum. Bile acids are the catabolic product of cholesterol metabolism, so this protein is also critical for cholesterol homeostasis. Mutatio",False,0.4
22,TMEM174,18217,0.998431581341787,0.058998964726924896,0.05393143743276596,0.5289344390233358,0.13025227797222505,4,3.205676555633545,2.0723378658294678,0.0,2.6623566150665283,GSTA2,glutathione S-transferase alpha 2,"Cytosolic and membrane-bound forms of glutathione S-transferase are encoded by two distinct supergene families. These enzymes function in the detoxification of electrophilic compounds, including carcinogens, therapeutic drugs, environmental toxins and products of oxidative stress, by conjugation wit",False,0.4
23,HAO2,7625,0.9983974848975591,0.057153135538101196,0.05546515807509422,0.4882383495569229,0.08846066604733327,4,2.26434588432312,1.7067939043045044,0.0,2.3828046321868896,TMEM174,transmembrane protein 174,"Predicted to be located in endoplasmic reticulum membrane. Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
24,GALNT14,6832,0.998392613976955,0.0450446642935276,0.04395991936326027,0.47698044776916504,0.1173225312349715,4,1.8318431377410889,1.5017414093017578,0.0,2.4775702953338623,HAO2,hydroxyacid oxidase 2,"This gene is one of three related genes that have 2-hydroxyacid oxidase activity. The encoded protein localizes to the peroxisome has the highest activity toward the substrate 2-hydroxypalmitate. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2014].",False,0.4
25,ESM1,5722,0.9983585175327271,0.047631047666072845,0.045821405947208405,0.4807291527589162,0.1422604689960436,4,1.999137282371521,1.5845476388931274,0.0,2.4227373600006104,GALNT14,polypeptide N-acetylgalactosaminyltransferase 14,This gene encodes a Golgi protein which is a member of the polypeptide N-acetylgalactosaminyltransferase (ppGalNAc-Ts) protein family. These enzymes catalyze the transfer of N-acetyl-D-galactosamine (GalNAc) to the hydroxyl groups on serines and threonines in target peptides. The encoded protein has,False,0.4
26,NRIP2,12113,0.9982416154382312,0.057784467935562134,0.053954124450683594,0.4913850724697113,0.11545287648717029,4,2.160203456878662,1.660017490386963,0.0,2.5813486576080322,ESM1,endothelial cell specific molecule 1,"This gene encodes a secreted protein which is mainly expressed in the endothelial cells in human lung and kidney tissues. The expression of this gene is regulated by cytokines, suggesting that it may play a role in endothelium-dependent pathological disorders. The transcript contains multiple polyad",False,0.2
27,FLT4,6546,0.9982221317558153,0.04128996282815933,0.04045076295733452,0.4673577646414439,0.10376595642535191,4,1.8285717964172363,1.500073790550232,0.0,2.1921610832214355,NRIP2,nuclear receptor interacting protein 2,"Predicted to enable aspartic-type endopeptidase activity. Predicted to be involved in proteolysis. Predicted to act upstream of or within Notch signaling pathway and negative regulation of transcription by RNA polymerase II. Located in cytoplasm. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
28,CUBN,4442,0.9982075189940033,0.05078918859362602,0.04562430456280708,0.5252948999404907,0.12999981059214538,4,2.6467795372009277,1.866623044013977,0.0,3.112067461013794,FLT4,fms related receptor tyrosine kinase 4,"This gene encodes a tyrosine kinase receptor for vascular endothelial growth factors C and D. The protein is thought to be involved in lymphangiogenesis and maintenance of the lymphatic endothelium. Mutations in this gene cause hereditary lymphedema type IA. [provided by RefSeq, Jul 2008].",False,0.4
29,SLC5A10,16377,0.9982026480733993,0.06189552694559097,0.05839412659406662,0.5187724431355795,0.10682348246079987,4,2.6742258071899414,1.877440333366394,0.0,2.8889474868774414,CUBN,cubilin,Cubilin (CUBN) acts as a receptor for intrinsic factor-vitamin B12 complexes. The role of receptor is supported by the presence of 27 CUB domains. Cubulin is located within the epithelium of intestine and kidney. Mutations in CUBN may play a role in autosomal recessive megaloblastic anemia. [provide,False,0.4
30,NPY6R,12069,0.9981636807085673,0.06014755368232727,0.055405393242836,0.4978020836909612,0.10534803816925975,4,2.317338705062866,1.730026364326477,0.0,2.6167237758636475,SLC5A10,solute carrier family 5 member 10,"This gene is a member of the sodium/glucose transporter family. Members of this family are sodium-dependent transporters and can be divided into two subfamilies based on sequence homology, one that co-transports sugars and the second that transports molecules such as ascorbate, choline, iodide, lipo",False,0.2
